Občina,Leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Basic or less,Education - TOTAL,Tertiary,Upper secondary,Active,Inactive,Population aged 15+ years  - TOTAL,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for men.1,Employment rate for men.2,Employment rate for women,Employment rate for women.1,Employment rate for women.2,Employment rate.1,Employment rate.2,Natural increase,Natural increase ,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Total increase per 1000 population 
ankaran/ancarano,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707.5,984.0,1832.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apače,2013,0.0,0.0,0.0,0.0,0.0,40.5,46.0,33.8,26.5,29.1,23.3,73.5,70.9,76.7,1074.5,3088.0,339.5,1674.0,1426.3333333333333,1919.3333333333333,1683.6666666666667,15.0,27.0,12.0,7.5,58.0,120.0,62.0,33.2,3.0,4.0,1.0,1.1,76.0,147.0,71.0,40.6,18.0,27.0,9.0,7.5,-12.0,-23.0,-11.0,-6.4,6.0,4.0,-2.0,1.1,0.0,0.0,48.0,0.0,0.0,40.0,0.0,44.2,0.0,10.0,0.0,27.0,-23.0,14.0,3.9,0.0
apače,2014,7033.123999999999,8236.6775,1069.7875,3143.9525000000003,217.85999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apače,2023,10648.294,12516.1425,1427.4275,5035.335,556.4425,45.0,50.6,38.7,25.8,29.4,21.7,74.2,70.6,78.3,1074.5,3088.0,339.5,1674.0,1426.3333333333333,1919.3333333333333,1683.6666666666667,5.0,11.0,6.0,3.1,55.0,112.0,57.0,31.5,16.0,31.0,15.0,8.7,89.0,143.0,54.0,40.2,34.0,31.0,-3.0,8.7,11.0,20.0,9.0,5.6,45.0,51.0,6.0,14.3,0.0,0.0,0.0,50.4,0.0,0.0,45.1,0.0,47.8,-9.0,0.0,31.0,20.0,42.0,11.8,0.0
apače,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.3333333333333,1919.3333333333333,1683.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beltinci,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,31.0,78.0,47.0,0.0,3.0,6.0,3.0,0.0,31.0,68.0,37.0,0.0,0.0,-10.0,-10.0,0.0,2.0,3.0,1.0,0.0,2.0,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-10.0,3.0,-27.0,0.0,0.0
beltinci,2000,0.0,0.0,0.0,0.0,0.0,41.0,44.1,37.6,26.0,27.4,24.4,74.0,72.6,75.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beltinci,2003,0.0,0.0,0.0,0.0,0.0,42.8,47.6,37.6,25.9,27.8,23.7,74.1,72.2,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.6,23.0,43.0,20.0,5.0,7.0,12.0,5.0,1.4,28.0,57.0,29.0,6.7,5.0,14.0,9.0,1.6,7.0,7.0,0.0,0.8,12.0,21.0,9.0,2.5,57.8,64.3,0.0,0.0,51.1,0.0,0.0,0.0,0.0,0.0,-13.0,14.0,7.0,8.0,0.0,0.9
beltinci,2013,0.0,0.0,0.0,0.0,0.0,41.5,46.5,35.6,23.5,25.7,20.9,76.5,74.3,79.1,2179.0,7027.0,1098.5,3749.5,3260.3333333333335,4261.333333333333,3924.3333333333335,16.0,24.0,8.0,2.9,137.0,289.0,152.0,34.6,8.0,11.0,3.0,1.3,166.0,340.0,174.0,40.8,29.0,51.0,22.0,6.1,-8.0,-13.0,-5.0,-1.6,21.0,38.0,17.0,4.6,0.0,0.0,56.8,0.0,0.0,50.3,0.0,53.7,0.0,-5.0,0.0,51.0,-13.0,33.0,4.0,0.0
beltinci,2014,7265.123999999999,7352.5199999999995,1078.1425,3359.575,268.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
