Občina,Leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Basic or less,Education - TOTAL,Tertiary,Upper secondary,Active,Inactive,Population aged 15+ years  - TOTAL,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for men.1,Employment rate for men.2,Employment rate for women,Employment rate for women.1,Employment rate for women.2,Employment rate.1,Employment rate.2,Natural increase,Natural increase ,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Total increase per 1000 population 
hodoš/hodos,2013,0.0,0.0,0.0,0.0,0.0,30.6,12.1,46.2,16.7,6.1,25.6,83.3,93.9,74.4,193.5,329.5,23.0,113.0,179.66666666666666,210.0,150.0,1.0,1.0,0.0,2.8,13.0,20.0,7.0,55.2,0.0,0.0,0.0,0.0,7.0,12.0,5.0,33.1,-6.0,-8.0,-2.0,-22.1,-1.0,-1.0,0.0,-2.8,-7.0,-9.0,-2.0,-24.9,0.0,0.0,39.4,0.0,0.0,34.8,0.0,37.1,0.0,-4.0,0.0,-8.0,-1.0,-13.0,-35.9,0.0
hodoš/hodos,2014,5584.302,5976.615,2321.32,2795.5575,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hodoš/hodos,2023,9261.564,6541.5675,3567.24,4871.95,61.79,24.4,15.0,34.2,11.5,7.5,15.8,88.5,92.5,84.2,193.5,329.5,23.0,113.0,179.66666666666666,210.0,150.0,4.0,7.0,3.0,19.4,13.0,18.0,5.0,50.0,1.0,3.0,2.0,8.3,15.0,19.0,4.0,52.8,2.0,1.0,-1.0,2.8,-3.0,-4.0,-1.0,-11.1,-1.0,-3.0,-2.0,-8.3,0.0,0.0,0.0,47.1,0.0,0.0,47.4,0.0,47.2,-8.0,0.0,1.0,-4.0,-11.0,-30.6,0.0
hodoš/hodos,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.66666666666666,210.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horjul,2000,0.0,0.0,0.0,0.0,0.0,54.4,63.3,43.5,34.9,38.3,30.8,65.1,61.7,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horjul,2003,0.0,0.0,0.0,0.0,0.0,62.4,68.7,54.3,37.1,39.4,34.0,62.9,60.6,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.1,14.0,31.0,17.0,11.7,0.0,0.0,0.0,0.0,18.0,34.0,16.0,12.9,4.0,3.0,-1.0,1.1,-2.0,-3.0,-1.0,-1.1,2.0,0.0,-2.0,0.0,62.6,69.7,0.0,0.0,55.3,0.0,0.0,0.0,0.0,0.0,14.0,3.0,-3.0,14.0,0.0,5.3
horjul,2013,0.0,0.0,0.0,0.0,0.0,77.8,84.8,68.4,37.4,42.2,31.0,62.6,57.8,69.0,566.5,2436.0,508.0,1361.5,1125.6666666666667,1438.6666666666667,1462.3333333333333,0.0,2.0,2.0,0.7,57.0,133.0,76.0,45.5,5.0,9.0,4.0,3.1,81.0,180.0,99.0,61.6,24.0,47.0,23.0,16.1,5.0,7.0,2.0,2.4,29.0,54.0,25.0,18.5,0.0,0.0,73.6,0.0,0.0,57.2,0.0,65.7,0.0,-26.0,0.0,47.0,7.0,28.0,9.6,0.0
horjul,2014,9108.33,9459.0675,1096.99,4087.9675,511.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horjul,2023,13767.374,13879.119999999999,1769.75,5863.7425,316.35,89.0,106.8,68.9,33.6,41.6,24.4,66.4,58.4,75.6,566.5,2436.0,508.0,1361.5,1125.6666666666667,1438.6666666666667,1462.3333333333333,8.0,14.0,6.0,4.6,37.0,81.0,44.0,26.9,7.0,12.0,5.0,4.0,62.0,134.0,72.0,44.4,25.0,53.0,28.0,17.6,-1.0,-2.0,-1.0,-0.7,24.0,51.0,27.0,16.9,0.0,0.0,0.0,75.8,0.0,0.0,68.8,0.0,72.4,-33.0,0.0,53.0,-2.0,18.0,6.0,0.0
horjul,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.6666666666667,1438.6666666666667,1462.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hoče - slivnica,2000,0.0,0.0,0.0,0.0,0.0,79.1,104.3,49.6,24.2,28.5,19.2,75.8,71.5,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hoče - slivnica,2003,0.0,0.0,0.0,0.0,0.0,78.3,100.4,52.2,22.9,25.8,19.5,77.1,74.2,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.7,44.0,96.0,52.0,9.8,8.0,12.0,4.0,1.2,74.0,161.0,87.0,16.4,30.0,65.0,35.0,6.6,4.0,5.0,1.0,0.5,34.0,70.0,36.0,7.1,51.7,56.2,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,-25.0,65.0,5.0,45.0,0.0,4.6
hoče - slivnica,2013,0.0,0.0,0.0,0.0,0.0,84.1,111.6,49.9,21.0,23.6,17.8,79.0,76.4,82.2,1947.5,9866.0,2210.5,5708.0,4511.666666666667,5744.0,5970.666666666667,44.0,58.0,14.0,5.2,459.0,717.0,258.0,63.9,57.0,72.0,15.0,6.4,458.0,725.0,267.0,64.6,-1.0,8.0,9.0,0.7,13.0,14.0,1.0,1.2,12.0,22.0,10.0,2.0,0.0,0.0,60.1,0.0,0.0,51.3,0.0,56.0,0.0,20.0,0.0,8.0,14.0,42.0,3.7,0.0
hoče - slivnica,2014,7945.24,8683.51,1120.7225,3836.36,410.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hoče - slivnica,2023,13383.706,14770.5275,1279.6399999999999,5589.745,1082.955,97.7,130.3,57.5,21.7,24.7,18.1,78.3,75.3,81.9,1947.5,9866.0,2210.5,5708.0,4511.666666666667,5744.0,5970.666666666667,109.0,128.0,19.0,10.7,420.0,698.0,278.0,58.6,203.0,244.0,41.0,20.5,431.0,719.0,288.0,60.3,11.0,21.0,10.0,1.8,94.0,116.0,22.0,9.7,105.0,137.0,32.0,11.5,0.0,0.0,0.0,69.5,0.0,0.0,64.5,0.0,67.2,-49.0,0.0,21.0,116.0,88.0,7.4,0.0
hoče - slivnica,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4511.666666666667,5744.0,5970.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrastnik,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,40.0,89.0,49.0,0.0,4.0,10.0,6.0,0.0,26.0,56.0,30.0,0.0,-14.0,-33.0,-19.0,0.0,4.0,7.0,3.0,0.0,-10.0,-26.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,0.0,-33.0,7.0,-85.0,0.0,0.0
hrastnik,2000,0.0,0.0,0.0,0.0,0.0,85.7,89.7,81.1,64.8,64.7,64.9,35.2,35.3,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrastnik,2003,0.0,0.0,0.0,0.0,0.0,67.2,61.3,74.9,51.4,46.1,58.2,48.6,53.9,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,45.0,13.0,4.3,34.0,69.0,35.0,6.6,44.0,55.0,11.0,5.3,51.0,106.0,55.0,10.2,17.0,37.0,20.0,3.6,12.0,10.0,-2.0,1.0,29.0,47.0,18.0,4.5,51.5,58.4,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,-40.0,37.0,10.0,7.0,0.0,0.7
hrastnik,2013,0.0,0.0,0.0,0.0,0.0,67.6,64.1,71.4,44.2,41.6,47.0,55.8,58.4,53.0,2548.0,8193.0,1239.5,4405.5,3771.3333333333335,5028.333333333333,4625.333333333333,23.0,46.0,23.0,4.8,191.0,367.0,176.0,38.0,20.0,39.0,19.0,4.0,152.0,284.0,132.0,29.4,-39.0,-83.0,-44.0,-8.6,-3.0,-7.0,-4.0,-0.7,-42.0,-90.0,-48.0,-9.3,0.0,0.0,53.5,0.0,0.0,50.0,0.0,51.8,0.0,-44.0,0.0,-83.0,-7.0,-134.0,-13.9,0.0
hrastnik,2014,7853.473999999999,8438.967499999999,1054.1875,4195.825,191.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrastnik,2023,12786.23,14071.5225,1196.8525,5795.7175,572.14,66.7,70.6,62.2,38.2,40.1,36.0,61.8,59.9,64.0,2548.0,8193.0,1239.5,4405.5,3771.3333333333335,5028.333333333333,4625.333333333333,48.0,78.0,30.0,8.7,156.0,282.0,126.0,31.5,59.0,91.0,32.0,10.2,182.0,320.0,138.0,35.8,26.0,38.0,12.0,4.2,11.0,13.0,2.0,1.5,37.0,51.0,14.0,5.7,0.0,0.0,0.0,68.0,0.0,0.0,63.3,0.0,65.7,-80.0,0.0,38.0,13.0,-29.0,-3.2,0.0
hrastnik,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3771.3333333333335,5028.333333333333,4625.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrpelje - kozina,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,17.0,0.0,5.0,7.0,2.0,0.0,11.0,24.0,13.0,0.0,3.0,-1.0,-4.0,0.0,5.0,7.0,2.0,0.0,8.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-1.0,7.0,-14.0,0.0,0.0
hrpelje - kozina,2000,0.0,0.0,0.0,0.0,0.0,80.5,77.8,84.6,42.9,39.3,48.6,57.1,60.7,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrpelje - kozina,2003,0.0,0.0,0.0,0.0,0.0,83.1,84.4,81.2,44.3,43.0,46.5,55.7,57.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,3.6,16.0,42.0,26.0,10.1,46.0,49.0,3.0,11.7,16.0,28.0,12.0,6.7,0.0,-14.0,-14.0,-3.4,34.0,34.0,0.0,8.1,34.0,20.0,-14.0,4.8,54.2,62.0,0.0,0.0,45.3,0.0,0.0,0.0,0.0,0.0,-33.0,-14.0,34.0,-13.0,0.0,-3.1
hrpelje - kozina,2013,0.0,0.0,0.0,0.0,0.0,87.3,90.0,83.5,35.2,34.7,35.8,64.8,65.3,64.2,1141.5,4058.5,753.5,2163.5,1900.0,2307.3333333333335,2241.3333333333335,21.0,40.0,19.0,9.4,126.0,248.0,122.0,58.0,39.0,59.0,20.0,13.8,102.0,186.0,84.0,43.5,-24.0,-62.0,-38.0,-14.5,18.0,19.0,1.0,4.4,-6.0,-43.0,-37.0,-10.1,0.0,0.0,63.4,0.0,0.0,49.5,0.0,56.8,0.0,-3.0,0.0,-62.0,19.0,-46.0,-10.8,0.0
hrpelje - kozina,2014,8350.934,9104.66,1089.22,3868.0299999999997,430.6725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrpelje - kozina,2023,14338.295999999998,13812.515,1308.0475,5481.315,939.8050000000001,73.2,77.2,67.6,26.2,25.7,26.8,73.8,74.3,73.2,1141.5,4058.5,753.5,2163.5,1900.0,2307.3333333333335,2241.3333333333335,90.0,133.0,43.0,25.6,144.0,256.0,112.0,49.3,93.0,119.0,26.0,22.9,156.0,303.0,147.0,58.3,12.0,47.0,35.0,9.0,3.0,-14.0,-17.0,-2.7,15.0,33.0,18.0,6.4,0.0,0.0,0.0,75.4,0.0,0.0,64.1,0.0,70.3,19.0,0.0,47.0,-14.0,52.0,10.0,0.0
hrpelje - kozina,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,2307.3333333333335,2241.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idrija,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,40.0,73.0,33.0,0.0,3.0,8.0,5.0,0.0,25.0,47.0,22.0,0.0,-15.0,-26.0,-11.0,0.0,3.0,6.0,3.0,0.0,-12.0,-20.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-26.0,6.0,-32.0,0.0,0.0
idrija,2000,0.0,0.0,0.0,0.0,0.0,105.2,110.7,98.4,84.1,83.9,84.3,15.9,16.1,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idrija,2003,0.0,0.0,0.0,0.0,0.0,101.0,108.5,91.4,78.9,80.1,77.4,21.1,19.9,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,4.0,1.0,24.0,62.0,38.0,5.2,35.0,44.0,9.0,3.7,15.0,39.0,24.0,3.3,-9.0,-23.0,-14.0,-1.9,27.0,32.0,5.0,2.7,18.0,9.0,-9.0,0.8,60.7,66.2,0.0,0.0,54.8,0.0,0.0,0.0,0.0,0.0,-29.0,-23.0,32.0,-20.0,0.0,-1.7
idrija,2013,0.0,0.0,0.0,0.0,0.0,115.3,124.5,103.4,72.9,72.3,73.6,27.1,27.7,26.4,3081.0,10131.5,2116.0,4934.5,4911.0,5982.0,5766.333333333333,30.0,48.0,18.0,4.0,231.0,416.0,185.0,34.7,53.0,85.0,32.0,7.1,208.0,386.0,178.0,32.2,-23.0,-30.0,-7.0,-2.5,23.0,37.0,14.0,3.1,0.0,7.0,7.0,0.6,0.0,0.0,68.2,0.0,0.0,58.7,0.0,63.8,0.0,-3.0,0.0,-30.0,37.0,4.0,0.3,0.0
idrija,2014,9275.164,9305.3725,1098.8999999999999,4358.555,516.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idrija,2023,14090.682,14268.41,1063.125,5892.1175,1513.875,102.6,108.1,95.8,65.8,66.3,65.3,34.2,33.7,34.7,3081.0,10131.5,2116.0,4934.5,4911.0,5982.0,5766.333333333333,54.0,79.0,25.0,6.7,210.0,395.0,185.0,33.7,96.0,158.0,62.0,13.5,170.0,369.0,199.0,31.5,-40.0,-26.0,14.0,-2.2,42.0,79.0,37.0,6.7,2.0,53.0,51.0,4.5,0.0,0.0,0.0,77.8,0.0,0.0,69.5,0.0,73.9,-103.0,0.0,-26.0,79.0,-50.0,-4.3,0.0
idrija,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4911.0,5982.0,5766.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ig,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,29.0,60.0,31.0,0.0,5.0,9.0,4.0,0.0,47.0,94.0,47.0,0.0,18.0,34.0,16.0,0.0,3.0,7.0,4.0,0.0,21.0,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,34.0,7.0,57.0,0.0,0.0
ig,2000,0.0,0.0,0.0,0.0,0.0,45.9,39.4,53.1,22.9,26.1,19.4,77.1,73.9,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ig,2003,0.0,0.0,0.0,0.0,0.0,48.8,43.5,54.9,21.1,22.9,19.0,78.9,77.1,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,4.0,2.7,24.0,55.0,31.0,9.9,4.0,10.0,6.0,1.8,89.0,182.0,93.0,32.8,65.0,127.0,62.0,22.9,-7.0,-5.0,2.0,-0.9,58.0,122.0,64.0,22.0,59.4,63.1,0.0,0.0,55.6,0.0,0.0,0.0,0.0,0.0,10.0,127.0,-5.0,132.0,0.0,23.8
ig,2013,0.0,0.0,0.0,0.0,0.0,48.6,40.8,57.3,21.5,23.4,19.3,78.5,76.6,80.7,1427.0,6094.0,1379.5,3287.5,2890.0,3496.6666666666665,3637.0,13.0,30.0,17.0,4.3,202.0,436.0,234.0,62.4,17.0,35.0,18.0,5.0,196.0,422.0,226.0,60.4,-6.0,-14.0,-8.0,-2.0,4.0,5.0,1.0,0.7,-2.0,-9.0,-7.0,-1.3,0.0,0.0,64.5,0.0,0.0,57.2,0.0,60.9,0.0,40.0,0.0,-14.0,5.0,31.0,4.4,0.0
ig,2014,8830.236,9027.6275,1259.3125,4213.74,318.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ig,2023,14307.059999999998,14383.685,1354.28,5863.21,931.6525,56.0,48.0,65.5,22.3,25.0,19.0,77.7,75.0,81.0,1427.0,6094.0,1379.5,3287.5,2890.0,3496.6666666666665,3637.0,47.0,79.0,32.0,10.1,212.0,439.0,227.0,56.1,75.0,112.0,37.0,14.3,232.0,466.0,234.0,59.5,20.0,27.0,7.0,3.4,28.0,33.0,5.0,4.2,48.0,60.0,12.0,7.7,0.0,0.0,0.0,73.4,0.0,0.0,66.3,0.0,70.0,13.0,0.0,27.0,33.0,73.0,9.3,0.0
ig,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2890.0,3496.6666666666665,3637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilirska bistrica,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,25.0,57.0,32.0,0.0,35.0,59.0,24.0,0.0,19.0,41.0,22.0,0.0,-6.0,-16.0,-10.0,0.0,31.0,54.0,23.0,0.0,25.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,0.0,-16.0,54.0,-24.0,0.0,0.0
ilirska bistrica,2000,0.0,0.0,0.0,0.0,0.0,73.0,72.3,73.9,64.1,62.7,66.1,35.9,37.3,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
