obcina,leto,Employment rate,Employment rate for men,Employment rate for women
bloke,2008,73,86.9,55.9
bloke,2009,70.7,81.2,58.2
bloke,2010,65.8,72.8,57.5
bloke,2011,66.3,72.4,59
bloke,2012,63.4,68.2,57.7
bloke,2013,60.2,63.5,56.3
bloke,2014,62.9,67.2,57.6
bloke,2015,64.1,68.9,58.2
bloke,2016,65.9,68.9,62.2
bloke,2017,70.8,76,64.5
bloke,2018,76.4,82.9,68.6
bloke,2019,76.3,81.4,69.9
bloke,2020,74.9,77.6,71.7
bloke,2021,74.7,76.5,72.5
bloke,2022,75.4,78.6,71.6
bloke,2023,75,79.4,69.8
bohinj,2002,59.7,66.3,53.1
bohinj,2003,58.7,65.2,52.1
bohinj,2004,59.8,66,53.4
bohinj,2005,63.3,70.3,56
bohinj,2006,62.9,69.6,56
bohinj,2007,63.5,71,55.8
bohinj,2008,64.5,70.9,57.7
bohinj,2009,64.2,70.6,57.5
bohinj,2010,62,67.6,55.9
bohinj,2011,59.6,64.7,54
bohinj,2012,59.7,65,53.8
bohinj,2013,59.7,64.7,54.2
bohinj,2014,60.7,65.7,55.2
bohinj,2015,61.8,66.4,56.9
bohinj,2016,62.4,66.1,58.3
bohinj,2017,65.9,70.4,60.9
bohinj,2018,69,73.7,63.8
bohinj,2019,70.7,74.9,66.1
bohinj,2020,69.6,72.1,66.7
bohinj,2021,73.5,75.5,71.2
bohinj,2022,72.8,75.8,69.5
bohinj,2023,70.4,73,67.5
borovnica,2002,61.5,66.6,55.8
borovnica,2003,60.3,65.6,54.7
borovnica,2004,60.2,65.2,55
borovnica,2005,63.9,69.3,58.4
borovnica,2006,64.1,69,59
borovnica,2007,66.4,71.8,60.5
borovnica,2008,66.8,72.4,60.7
borovnica,2009,65.2,70.3,59.6
borovnica,2010,64,69.1,58.3
borovnica,2011,62.2,67,56.8
borovnica,2012,60,64,55.7
borovnica,2013,57.9,61.6,54
borovnica,2014,58.4,61.6,55.1
borovnica,2015,58.7,61.4,55.9
borovnica,2016,60.3,63.2,57.3
borovnica,2017,62.9,66.2,59.4
borovnica,2018,66.3,69.4,63.1
borovnica,2019,67.3,70.5,63.9
borovnica,2020,68,71,64.8
borovnica,2021,69.2,72.4,65.7
borovnica,2022,71.8,75.9,67.5
borovnica,2023,71.5,75.2,67.5
bovec,2002,56.1,62.2,49.1
bovec,2003,56.4,62.8,49.3
bovec,2004,56.1,62.2,49.7
bovec,2005,57.7,64.4,50.6
bovec,2006,56.7,63.8,49.1
bovec,2007,58.3,65.9,50
bovec,2008,60.7,68.1,52.7
bovec,2009,60.2,66.9,52.9
bovec,2010,57.4,63.9,50.3
bovec,2011,58.5,64.6,52
bovec,2012,58.8,64.2,53.2
bovec,2013,56.1,60,51.8
bovec,2014,56.5,60.7,51.8
bovec,2015,57.3,60.9,53.3
bovec,2016,59.3,62.6,55.6
bovec,2017,62.9,66,59.5
bovec,2018,66.6,70,63
bovec,2019,68.7,72.9,64.2
bovec,2020,66.8,70.3,63
bovec,2021,67.2,69.1,65.2
bovec,2022,69.1,71.9,66.2
bovec,2023,70.4,73.9,66.5
braslovče,2002,54.8,58.9,50.5
braslovče,2003,54.2,58.7,49.6
braslovče,2004,54.7,59.2,50
braslovče,2005,57.9,62.6,53
braslovče,2006,59.1,63.5,54.6
braslovče,2007,62.1,66.3,57.7
braslovče,2008,63.5,67.7,59
braslovče,2009,62.4,66.9,57.7
braslovče,2010,61.1,65.5,56.4
braslovče,2011,60.4,65.1,55.3
braslovče,2012,60,64.8,55
braslovče,2013,58.8,62.9,54.6
braslovče,2014,59.7,64.1,54.9
braslovče,2015,60,63.2,56.6
braslovče,2016,61.7,64.4,58.8
braslovče,2017,63.6,65.9,61.1
braslovče,2018,65.9,68.4,63.2
braslovče,2019,67,69.6,64.2
braslovče,2020,69.3,72,66.3
braslovče,2021,70.5,73.1,67.8
braslovče,2022,71.1,73.2,68.9
braslovče,2023,71.5,73.3,69.5
brda,2002,51.1,52.3,49.7
brda,2003,49.1,50.4,47.7
brda,2004,49.5,50.6,48.4
brda,2005,52.5,53.7,51.2
brda,2006,53.2,54.1,52.2
brda,2007,55.9,57.4,54.3
brda,2008,57.5,58.4,56.5
brda,2009,56.5,57.3,55.7
brda,2010,54.9,55.6,54.2
brda,2011,54.1,54.4,53.7
brda,2012,54.3,55,53.6
brda,2013,53.5,54,52.9
brda,2014,53.5,55.3,51.5
brda,2015,56.5,57.1,55.8
brda,2016,58,59,56.9
brda,2017,60,60.7,59.3
brda,2018,62.4,63.1,61.6
brda,2019,64.1,64.9,63.3
brda,2020,66.1,68,64.1
brda,2021,67.5,69.7,65.2
brda,2022,68.6,70.6,66.6
brda,2023,69.6,71.4,67.8
brezovica,2002,58.6,63.1,53.7
brezovica,2003,58.2,63,53.4
brezovica,2004,58.5,63.2,53.7
brezovica,2005,61.5,66.5,56.5
brezovica,2006,61.8,67,56.5
brezovica,2007,62.8,68.7,56.8
brezovica,2008,64,69.7,58.1
brezovica,2009,63.1,68.8,57.3
brezovica,2010,63.5,68.7,58.3
brezovica,2011,62.9,67.5,58.2
brezovica,2012,62.6,67,58.1
brezovica,2013,61.7,65.2,58.2
brezovica,2014,62.5,66.3,58.6
brezovica,2015,63,66.8,59.1
brezovica,2016,64.8,68.5,61
brezovica,2017,66.8,70.2,63.4
brezovica,2018,69.5,73.1,65.8
brezovica,2019,70.7,74.2,67
brezovica,2020,69.9,72.7,66.8
brezovica,2021,71.4,75.5,67.1
brezovica,2022,71.9,75.3,68.3
brezovica,2023,72.1,75.8,68.3
brežice,2002,52.5,58.8,45.9
brežice,2003,50.4,57.3,43.2
brežice,2004,51.1,58.4,43.3
brežice,2005,54.4,62.8,45.8
brežice,2006,55.1,63.3,46.7
brežice,2007,57.3,65.5,48.7
brežice,2008,59.2,66.8,51.1
brežice,2009,58.8,65.6,51.5
brežice,2010,57.3,63.5,50.6
brežice,2011,57.2,63.2,50.9
brežice,2012,55.4,60.9,49.5
brežice,2013,55.5,60.6,50.1
brežice,2014,55.7,61.6,49.4
brežice,2015,56.5,62.3,50.3
brežice,2016,57.1,62.2,51.7
brežice,2017,60.1,65.6,54.2
brežice,2018,62.8,68.2,57.2
brežice,2019,65.1,70.5,59.3
brežice,2020,65.2,69.9,60
brežice,2021,66.7,71.7,61.4
brežice,2022,69.4,74.3,64
brežice,2023,70.8,75.5,65.4
cankova,2002,52.9,56.5,49.6
cankova,2003,49.8,53.7,45.5
cankova,2004,50.9,54.8,46.6
cankova,2005,48.9,53.5,43.9
cankova,2006,49.5,54.6,43.8
cankova,2007,51.2,55.4,46.5
cankova,2008,51.9,55.9,47.5
cankova,2009,50.8,54.6,46.6
cankova,2010,48.2,54.1,41.7
cankova,2011,48,53.6,41.9
cankova,2012,45.9,50.6,40.7
cankova,2013,45.3,50.4,39.7
cankova,2014,45,49.7,39.7
cankova,2015,44.1,47.2,40.6
cankova,2016,43.5,45.1,41.8
cankova,2017,46.3,48.9,43.5
cankova,2018,47,48.8,45.1
cankova,2019,48.3,50.1,46.4
cankova,2020,49.9,52.7,46.9
cankova,2021,50.8,54.2,47.2
cankova,2022,51.8,55,48.4
cankova,2023,53.4,56.2,50.2
celje,2002,53.1,57.9,48.6
celje,2003,53.3,58.1,48.5
celje,2004,53.4,58.4,48.4
celje,2005,55.5,61.1,49.9
celje,2006,56.5,62.2,50.7
celje,2007,58.9,65.5,52.3
celje,2008,61.6,68.6,54.2
celje,2009,60.2,66.4,53.6
celje,2010,58.3,63.6,52.8
celje,2011,57.3,62.2,52.1
celje,2012,56.6,61.3,51.6
celje,2013,55.3,59.6,50.8
celje,2014,55.9,60.5,51.1
celje,2015,56.8,61.4,51.8
celje,2016,58.4,63.1,53.2
celje,2017,61.6,66.5,56.1
celje,2018,64.6,69.8,58.8
celje,2019,67.3,73.6,60.2
celje,2020,66.3,71.9,60
celje,2021,68.6,74.5,61.9
celje,2022,71.5,77.6,64.6
celje,2023,72.5,78.9,65.4
cerklje na gorenjskem,2002,59.6,64.8,54.1
cerklje na gorenjskem,2003,59,64.1,53.7
cerklje na gorenjskem,2004,59.3,64.4,54
cerklje na gorenjskem,2005,61.2,66.9,55.3
cerklje na gorenjskem,2006,61.6,68.5,54.3
cerklje na gorenjskem,2007,63.4,70.8,55.6
cerklje na gorenjskem,2008,64.1,70.9,56.9
cerklje na gorenjskem,2009,63.3,70.7,55.3
cerklje na gorenjskem,2010,61.8,68.3,54.8
cerklje na gorenjskem,2011,61.2,67,55
cerklje na gorenjskem,2012,60.8,65.5,55.8
cerklje na gorenjskem,2013,60.8,64.6,56.8
cerklje na gorenjskem,2014,62.6,67.1,57.8
cerklje na gorenjskem,2015,63.8,68.5,59
cerklje na gorenjskem,2016,66,70.3,61.5
cerklje na gorenjskem,2017,67.6,71.9,63.1
cerklje na gorenjskem,2018,69.1,73.3,64.7
cerklje na gorenjskem,2019,70.5,74,66.8
cerklje na gorenjskem,2020,70,73.5,66.4
cerklje na gorenjskem,2021,71.8,75,68.3
cerklje na gorenjskem,2022,73.8,77.2,70.2
cerklje na gorenjskem,2023,74.1,77.9,70
cerknica,2002,61.1,67,54.8
cerknica,2003,60.7,66.2,54.8
cerknica,2004,61.6,67.2,55.6
cerknica,2005,63.7,69.9,57
cerknica,2006,64.5,70.4,58.3
cerknica,2007,66.2,72.7,59.2
cerknica,2008,67.6,74.1,60.5
cerknica,2009,66.9,72.3,60.8
cerknica,2010,64.3,69,59.1
cerknica,2011,64,67.8,59.6
cerknica,2012,63.4,67.5,58.7
cerknica,2013,62.4,66.4,57.9
cerknica,2014,63.1,67.1,58.6
cerknica,2015,64,67.5,60.2
cerknica,2016,65.6,68.8,62.1
cerknica,2017,66.8,70.3,62.8
cerknica,2018,69.3,72.9,65.3
cerknica,2019,71,74.6,67
cerknica,2020,71.9,75.3,68
cerknica,2021,72.5,76.2,68.2
cerknica,2022,74.1,78.4,69.3
cerknica,2023,74.5,78.5,70.1
cerkno,2002,63.2,68.3,57.3
cerkno,2003,62.6,67.3,57.5
cerkno,2004,63.6,68.6,58
cerkno,2005,67.4,72.9,61.1
cerkno,2006,67.6,73.1,61.5
cerkno,2007,68.9,74.5,62.6
cerkno,2008,70.3,75.5,64.3
cerkno,2009,69.3,74.8,62.9
cerkno,2010,66.7,72.6,59.8
cerkno,2011,66,71.8,59.4
cerkno,2012,67.3,73.9,59.6
cerkno,2013,66.2,72.6,58.9
cerkno,2014,67.2,74.2,59.2
cerkno,2015,66.8,72.6,60.4
cerkno,2016,66.2,70.5,61.2
cerkno,2017,68.5,73.6,62.9
cerkno,2018,70.6,75.8,64.8
cerkno,2019,71.9,77.6,65.6
cerkno,2020,71.8,76.1,67
cerkno,2021,72.6,77,67.6
cerkno,2022,73.4,78.1,68
cerkno,2023,73.8,78.5,68.5
cerkvenjak,2002,46.9,50.1,43.6
cerkvenjak,2003,45.2,48.6,41.5
cerkvenjak,2004,48.2,52.1,43.8
cerkvenjak,2005,51.2,54.7,47.1
cerkvenjak,2006,52.3,56.1,47.9
cerkvenjak,2007,56.2,59.1,52.7
cerkvenjak,2008,59.8,63.7,55
cerkvenjak,2009,58.6,64.7,51.2
cerkvenjak,2010,55.8,63.4,46.6
cerkvenjak,2011,57.5,63.5,50.3
cerkvenjak,2012,55.9,61.6,49.3
cerkvenjak,2013,55.1,60.4,49.1
cerkvenjak,2014,58.7,67.2,48.6
cerkvenjak,2015,57.4,66.8,46.4
cerkvenjak,2016,57.4,64.8,48.7
cerkvenjak,2017,59.4,68.3,49.1
cerkvenjak,2018,61.3,68.7,52.4
cerkvenjak,2019,62.3,68.8,54
cerkvenjak,2020,59.7,61.5,57.4
cerkvenjak,2021,62.2,64.5,59.2
cerkvenjak,2022,64.3,66.4,61.7
cerkvenjak,2023,65.3,65.9,64.5
cirkulane,2002,-,-,-
cirkulane,2003,-,-,-
cirkulane,2004,-,-,-
cirkulane,2005,-,-,-
cirkulane,2006,-,-,-
cirkulane,2007,54.3,60.8,47
cirkulane,2008,59.1,64.8,52.4
cirkulane,2009,57.9,65.3,49.1
cirkulane,2010,56.9,65.5,46.5
cirkulane,2011,56.4,62.8,48.5
cirkulane,2012,56.4,62.6,48.9
cirkulane,2013,55.2,60.4,48.8
cirkulane,2014,57.8,64.1,49.9
cirkulane,2015,55.9,59.4,51.4
cirkulane,2016,57,60.6,52.5
cirkulane,2017,57.2,59.3,54.4
cirkulane,2018,60.6,63.1,57.3
cirkulane,2019,61.9,64.9,57.7
cirkulane,2020,60,63.4,55.5
cirkulane,2021,61.2,64.4,56.9
cirkulane,2022,63.5,66.5,59.6
cirkulane,2023,64.7,67.5,60.9
destrnik,2002,49.9,58,42.3
destrnik,2003,49.9,57.2,42.5
destrnik,2004,50.5,58.1,42.8
destrnik,2005,54.2,62.1,46.1
destrnik,2006,55.2,63.1,47
