obcina,leto,Employment rate,Employment rate for men,Employment rate for women
domžale,2003,58.6,62.5,54.8
domžale,2004,58.7,62.7,54.9
domžale,2005,61.1,65.5,56.8
domžale,2006,61.7,66.3,57.1
domžale,2007,63.3,68.6,58.2
domžale,2008,64.5,69.8,59.3
domžale,2009,63.8,68.8,58.8
domžale,2010,62.9,67.3,58.4
domžale,2011,61.8,65.8,57.7
domžale,2012,61.1,64.7,57.4
domžale,2013,60.5,63.6,57.5
domžale,2014,61.1,63.9,58.2
domžale,2015,62.4,65.1,59.7
domžale,2016,64.1,66.6,61.5
domžale,2017,66.3,69.4,63.3
domžale,2018,68.2,71.5,64.9
domžale,2019,69.4,72.5,66.2
domžale,2020,69.3,72.2,66.4
domžale,2021,69.8,72.7,66.9
domžale,2022,71.3,73.9,68.5
domžale,2023,71.9,74.4,69.4
dornava,2002,50.6,55.3,45.8
dornava,2003,49.9,54.9,44.7
dornava,2004,51.3,55.1,47.2
dornava,2005,54.5,58.8,50
dornava,2006,55.9,59.8,51.7
dornava,2007,58.8,63.5,53.7
dornava,2008,57.3,61.7,52.4
dornava,2009,51.1,55.5,46.3
dornava,2010,49.7,53.7,45.2
dornava,2011,50.3,53.7,46.5
dornava,2012,48.2,51.3,44.8
dornava,2013,48.4,50.7,45.9
dornava,2014,48.9,52.3,45.1
dornava,2015,50.9,54.2,47.2
dornava,2016,51.6,53.6,49.5
dornava,2017,52.4,54,50.6
dornava,2018,54.9,55.6,54
dornava,2019,55.9,56.2,55.5
dornava,2020,56.5,57.1,55.8
dornava,2021,57.6,59,56
dornava,2022,59.1,60.9,57
dornava,2023,59.7,61.1,58.1
dravograd,2002,57.2,60.7,53.1
dravograd,2003,55.4,59.4,51.2
dravograd,2004,55.9,59.5,51.9
dravograd,2005,59,63.1,54.6
dravograd,2006,59.2,63.7,54.4
dravograd,2007,60.8,65.2,56.1
dravograd,2008,62.2,65.9,58
dravograd,2009,61.4,65.3,56.9
dravograd,2010,59,63.9,53.4
dravograd,2011,58.7,63.6,53.1
dravograd,2012,57.8,61.9,53.2
dravograd,2013,55.6,59.1,51.6
dravograd,2014,55.6,59.4,51.4
dravograd,2015,55.6,59.1,51.7
dravograd,2016,56.1,58.5,53.5
dravograd,2017,58.4,60.7,55.9
dravograd,2018,61.1,63,59
dravograd,2019,62.7,65.3,59.7
dravograd,2020,62.8,64.6,60.8
dravograd,2021,63.7,65.6,61.6
dravograd,2022,65.3,67.5,62.8
dravograd,2023,64.9,67.3,62.1
duplek,2002,52,58.7,45.9
duplek,2003,52.5,58.9,46
duplek,2004,52.7,59.3,45.9
duplek,2005,55.6,62.6,48.4
duplek,2006,55.9,63.3,48.4
duplek,2007,57.9,64.7,51
duplek,2008,59.7,65.8,53.4
duplek,2009,59.9,65.4,54.2
duplek,2010,58.5,64,52.8
duplek,2011,58.3,63.2,53.3
duplek,2012,56.6,60.5,52.7
duplek,2013,55.9,59.5,52.1
duplek,2014,56.4,60.4,52.4
duplek,2015,56.6,60.4,52.8
duplek,2016,57.9,61.3,54.6
duplek,2017,60.5,65.1,56.1
duplek,2018,62.1,65,59.3
duplek,2019,63.6,66,61.2
duplek,2020,62.9,64.7,61.1
duplek,2021,63.3,65.1,61.4
duplek,2022,64.7,65.8,63.5
duplek,2023,65.2,66.4,64.1
gorenja vas - poljane,2002,59.6,65.2,53.2
gorenja vas - poljane,2003,58.7,65.4,51.5
gorenja vas - poljane,2004,60.1,67.2,52.6
gorenja vas - poljane,2005,62.8,70.5,54.6
gorenja vas - poljane,2006,63.2,71,54.8
gorenja vas - poljane,2007,64.2,71.6,56.3
gorenja vas - poljane,2008,64.7,71.6,57.3
gorenja vas - poljane,2009,63.4,69.7,56.7
gorenja vas - poljane,2010,61.8,67.2,56.1
gorenja vas - poljane,2011,63.1,69.7,56.1
gorenja vas - poljane,2012,63.6,68.7,58.2
gorenja vas - poljane,2013,63.7,68.6,58.4
gorenja vas - poljane,2014,63.7,70,56.9
gorenja vas - poljane,2015,64.9,71.1,58.2
gorenja vas - poljane,2016,64.6,68.7,60.1
gorenja vas - poljane,2017,68.1,73.1,62.7
gorenja vas - poljane,2018,70.5,75.2,65.5
gorenja vas - poljane,2019,70.3,73.8,66.4
gorenja vas - poljane,2020,71.1,75.2,66.6
gorenja vas - poljane,2021,72,76.5,67.1
gorenja vas - poljane,2022,73.5,77.6,69
gorenja vas - poljane,2023,73.5,77.4,69.2
gorišnica,2002,51.8,57.1,45.9
gorišnica,2003,50.4,55.6,44.5
gorišnica,2004,51.6,56.9,45.7
gorišnica,2005,52.3,58.2,45.8
gorišnica,2006,53.6,59.9,46.6
gorišnica,2007,57.3,64.2,49.8
gorišnica,2008,59.3,65.9,52.1
gorišnica,2009,59.2,65.7,52.1
gorišnica,2010,57.9,64,51.2
gorišnica,2011,59.7,65.2,53.6
gorišnica,2012,58.7,63.8,53.1
gorišnica,2013,58.6,62.9,53.7
gorišnica,2014,58.6,64.4,52.2
gorišnica,2015,59.4,65.2,53.1
gorišnica,2016,58.9,62.5,54.9
gorišnica,2017,60.2,64.5,55.5
gorišnica,2018,62.5,65.9,58.5
gorišnica,2019,63.3,65.9,60.4
gorišnica,2020,64.8,66.7,62.5
gorišnica,2021,65.8,69.1,62
gorišnica,2022,67.4,69.6,64.9
gorišnica,2023,68.6,69.6,67.5
gorje,2002,-,-,-
gorje,2003,-,-,-
gorje,2004,-,-,-
gorje,2005,-,-,-
gorje,2006,-,-,-
gorje,2007,57.8,63.1,52.4
gorje,2008,59.3,63.7,54.8
gorje,2009,57.7,61.4,53.9
gorje,2010,57,60.2,53.6
gorje,2011,57.5,60.4,54.4
gorje,2012,58.2,60.8,55.4
gorje,2013,57.6,60.5,54.6
gorje,2014,58.1,61.5,54.6
gorje,2015,59.3,62,56.5
gorje,2016,61.7,65.1,58.2
gorje,2017,63.2,66,60.2
gorje,2018,64.7,67,62.3
gorje,2019,66.3,68.2,64.3
gorje,2020,66,70.3,61.5
gorje,2021,67.4,71.8,62.8
gorje,2022,70.4,74.6,66
gorje,2023,70.6,73.1,68
gornja radgona,2002,48.6,52.6,44.7
gornja radgona,2003,48.4,52.4,44.2
gornja radgona,2004,49.7,54.2,45
gornja radgona,2005,52,56.6,47.1
gornja radgona,2006,52.8,57.9,47.5
gornja radgona,2007,56.7,62.2,51
gornja radgona,2008,58.3,63.4,53
gornja radgona,2009,57.2,62.7,51.5
gornja radgona,2010,54.7,60.3,48.9
gornja radgona,2011,53.8,59.1,48.4
gornja radgona,2012,52.7,57.5,47.5
gornja radgona,2013,51,54.8,46.9
gornja radgona,2014,50.8,55.9,45.3
gornja radgona,2015,51.2,56,46.1
gornja radgona,2016,51.2,54.1,48.2
gornja radgona,2017,53.7,57,50.1
gornja radgona,2018,54.7,57.6,51.7
gornja radgona,2019,56,58.8,53
gornja radgona,2020,56.5,58.5,54.4
gornja radgona,2021,56.8,58.7,54.7
gornja radgona,2022,57.9,60.1,55.6
gornja radgona,2023,58.5,60.9,55.9
gornji grad,2002,56.1,62,49.7
gornji grad,2003,55.8,62,49.3
gornji grad,2004,55.8,61.4,49.8
gornji grad,2005,57.4,61.8,52.7
gornji grad,2006,57.3,61.8,52.4
gornji grad,2007,58.8,63,54.1
gornji grad,2008,59.9,63.6,55.7
gornji grad,2009,58.4,63.1,53.3
gornji grad,2010,57.5,62.3,52
gornji grad,2011,56.6,60.9,51.8
gornji grad,2012,55.6,59.6,51.1
gornji grad,2013,55.3,58.4,51.7
gornji grad,2014,58.3,62.6,53.3
gornji grad,2015,58.6,62.2,54.4
gornji grad,2016,59.5,63.3,55.1
gornji grad,2017,62.6,66.1,58.8
gornji grad,2018,64.4,68.2,60.2
gornji grad,2019,66.1,69,63
gornji grad,2020,70.3,74.5,65.7
gornji grad,2021,71.2,75.7,66.2
gornji grad,2022,71.8,76.3,66.7
gornji grad,2023,72.9,76.6,68.5
gornji petrovci,2002,59.9,68.9,51.7
gornji petrovci,2003,56.1,64.2,47.8
gornji petrovci,2004,57.5,64.2,50.3
gornji petrovci,2005,54.7,60.6,48.6
gornji petrovci,2006,56,62.7,49.1
gornji petrovci,2007,58.9,65.5,52
gornji petrovci,2008,61.1,67.1,54.7
gornji petrovci,2009,59.9,68.2,51.1
gornji petrovci,2010,57.1,68,45.7
gornji petrovci,2011,58.9,68.7,48.8
gornji petrovci,2012,50,55.3,44.4
gornji petrovci,2013,50.2,55.5,44.7
gornji petrovci,2014,49.6,57,42
gornji petrovci,2015,49.4,55.2,43.4
gornji petrovci,2016,48.9,53.2,44.4
gornji petrovci,2017,52.1,57.2,46.9
gornji petrovci,2018,53.9,57.1,50.5
gornji petrovci,2019,55,58.2,51.7
gornji petrovci,2020,55.8,58.1,53.4
gornji petrovci,2021,57.1,59.1,55
gornji petrovci,2022,58,60,56
gornji petrovci,2023,59.8,61.5,57.9
grad,2002,49.7,57.7,42
grad,2003,47.3,54.7,38.9
grad,2004,49.9,58.3,40.2
grad,2005,48.6,56.3,39.7
grad,2006,50.1,58.5,40.4
grad,2007,53.1,61.1,43.8
grad,2008,55.3,62.9,46.6
grad,2009,53.3,61,44.6
grad,2010,49.3,58.9,38.5
grad,2011,51.5,60.4,41.7
grad,2012,41.5,46.7,35.5
grad,2013,42.2,47.4,36.4
grad,2014,40.8,47,33.9
grad,2015,41.1,48.1,33.4
grad,2016,41.3,47.2,34.8
grad,2017,42.9,48,37.3
grad,2018,44.8,48.9,40.2
grad,2019,46.5,50.7,41.8
grad,2020,46.8,51.1,41.9
grad,2021,47.7,51.7,43.1
grad,2022,49.1,52.8,44.9
grad,2023,49.5,53.2,45.5
grosuplje,2002,61.7,65.7,57.2
grosuplje,2003,61.1,65.7,56.3
grosuplje,2004,61.4,66.3,56.3
grosuplje,2005,63.8,69.1,58.3
grosuplje,2006,64.1,69.1,58.8
grosuplje,2007,65.8,71.5,59.8
grosuplje,2008,66.4,71.8,60.6
grosuplje,2009,65.6,70.9,60
grosuplje,2010,64.3,68.8,59.6
grosuplje,2011,63.3,67.3,59
grosuplje,2012,62,65.2,58.6
grosuplje,2013,61,64,57.8
grosuplje,2014,61.8,65.1,58.3
grosuplje,2015,62.8,66.4,58.9
grosuplje,2016,64.6,68,60.9
grosuplje,2017,67.4,71.5,62.7
grosuplje,2018,69.2,73.2,64.6
grosuplje,2019,70.6,75,65.6
grosuplje,2020,69.9,73.7,65.5
grosuplje,2021,70.3,74.4,65.6
grosuplje,2022,72.3,77.1,66.9
grosuplje,2023,72.5,76.8,67.6
hajdina,2002,50,53.8,46.3
hajdina,2003,50.4,54.3,46.4
hajdina,2004,51.9,55.9,47.8
hajdina,2005,54,58.2,49.8
hajdina,2006,55.5,60.5,50.5
hajdina,2007,58.1,63.9,52.3
hajdina,2008,60.8,66.7,54.9
hajdina,2009,59.4,64.9,53.8
hajdina,2010,57.9,63.3,52.4
hajdina,2011,57.9,62.2,53.4
hajdina,2012,57.9,61.8,53.9
hajdina,2013,57.3,60.3,54.1
hajdina,2014,58,60.9,55
hajdina,2015,59,61.2,56.7
hajdina,2016,59.9,61.4,58.4
hajdina,2017,60.3,62.5,57.9
hajdina,2018,63.9,66.5,61.2
hajdina,2019,64.7,66.6,62.7
hajdina,2020,63.6,65.4,61.5
hajdina,2021,66.5,70.2,62.3
hajdina,2022,70.5,75.2,65
hajdina,2023,72.9,78.1,66.7
hodoš/hodos,2002,48.5,59.2,39.3
hodoš/hodos,2003,46.6,54.3,37.7
hodoš/hodos,2004,47.4,57.3,36.6
hodoš/hodos,2005,46.4,56.7,35.2
hodoš/hodos,2006,50,61.8,36.9
hodoš/hodos,2007,52.8,62.7,42.3
hodoš/hodos,2008,55.8,64.4,46.5
hodoš/hodos,2009,55.5,63.4,46.8
hodoš/hodos,2010,54.7,65.1,43.6
hodoš/hodos,2011,48.8,54.4,43.1
hodoš/hodos,2012,36.6,41.4,31.7
hodoš/hodos,2013,37.1,39.4,34.8
hodoš/hodos,2014,37.4,39,35.9
hodoš/hodos,2015,36.3,38.5,33.9
hodoš/hodos,2016,35.9,38.4,33.3
hodoš/hodos,2017,36.3,39.7,32.8
hodoš/hodos,2018,37.7,39.8,35.3
hodoš/hodos,2019,36,35.7,36.3
hodoš/hodos,2020,46.6,48.7,44.3
hodoš/hodos,2021,47.3,47.8,46.8
hodoš/hodos,2022,46.5,47,45.9
hodoš/hodos,2023,47.2,47.1,47.4
horjul,2002,63,70.2,55.3
horjul,2003,62.6,69.7,55.3
horjul,2004,62.5,69.7,55
horjul,2005,66.7,74.7,58.3
horjul,2006,66.6,74.4,58.4
horjul,2007,68.2,76.5,59.1
horjul,2008,69.3,77.9,59.8
horjul,2009,67.7,76.8,57.6
horjul,2010,66,74.4,56.7
horjul,2011,67.2,74.8,58.8
horjul,2012,66,73.4,58
horjul,2013,65.7,73.6,57.2
horjul,2014,65.9,73.4,57.8
horjul,2015,67,73.6,60
horjul,2016,66.8,72.4,60.9
horjul,2017,68.2,73.7,62.3
horjul,2018,70.8,75.2,66
horjul,2019,72.6,77.1,67.7
horjul,2020,71.8,76,67.2
horjul,2021,71.7,75.3,67.7
horjul,2022,72,75.4,68.3
horjul,2023,72.4,75.8,68.8
hoče - slivnica,2002,51,55.8,46.8
hoče - slivnica,2003,51.7,56.2,47.1
hoče - slivnica,2004,52.2,56.7,47.7
hoče - slivnica,2005,55,59.9,50.1
hoče - slivnica,2006,56,61.3,50.4
hoče - slivnica,2007,59.1,65.6,52.4
hoče - slivnica,2008,61.6,67.6,54.9
hoče - slivnica,2009,60.1,65.1,54.7
hoče - slivnica,2010,58.5,63.1,53.7
hoče - slivnica,2011,57.6,62.7,52.2
hoče - slivnica,2012,56.9,61.4,52
hoče - slivnica,2013,56,60.1,51.3
hoče - slivnica,2014,56.4,61.1,51.3
hoče - slivnica,2015,58.4,63.7,52.4
hoče - slivnica,2016,59.8,64.8,54.2
hoče - slivnica,2017,62.7,68.6,56.1
hoče - slivnica,2018,64.4,69.8,58
hoče - slivnica,2019,65,69.4,59.5
hoče - slivnica,2020,63.3,65.9,60.1
hoče - slivnica,2021,65,67.6,61.9
hoče - slivnica,2022,67.2,70.4,63.4
hoče - slivnica,2023,67.2,69.5,64.5
hrastnik,2002,51.2,56.4,46
hrastnik,2003,51.5,58.4,44.5
hrastnik,2004,51.6,58.5,44.5
hrastnik,2005,53.7,60.9,46.2
hrastnik,2006,54.9,62.5,47.2
hrastnik,2007,56.8,64.9,48.5
hrastnik,2008,59.4,67.7,50.8
hrastnik,2009,57,63,50.8
hrastnik,2010,54,57.7,50
hrastnik,2011,53.5,56.3,50.5
hrastnik,2012,52.7,54.9,50.3
hrastnik,2013,51.8,53.5,50
hrastnik,2014,52.1,53.7,50.4
hrastnik,2015,52.9,54.2,51.5
hrastnik,2016,54.9,56.2,53.4
hrastnik,2017,57.6,58.3,56.9
hrastnik,2018,60.3,61.4,59.1
hrastnik,2019,61.3,62.5,60
hrastnik,2020,61,62.6,59.4
hrastnik,2021,62.2,64.1,60.2
hrastnik,2022,64.6,66.7,62.4
hrastnik,2023,65.7,68,63.3
hrpelje - kozina,2002,54.1,62.5,44.7
hrpelje - kozina,2003,54.2,62,45.3
hrpelje - kozina,2004,56,64.3,46.6
hrpelje - kozina,2005,58.4,67.7,48.2
hrpelje - kozina,2006,59.8,68.1,50.4
hrpelje - kozina,2007,61.5,70.6,51.1
hrpelje - kozina,2008,62.7,71.8,52.2
hrpelje - kozina,2009,62.6,71.6,52.2
hrpelje - kozina,2010,61.1,69.8,50.9
hrpelje - kozina,2011,60,67.8,51
hrpelje - kozina,2012,58.1,64.9,50.3
hrpelje - kozina,2013,56.8,63.4,49.5
hrpelje - kozina,2014,57.8,64.2,50.4
hrpelje - kozina,2015,58.5,64.8,51.5
hrpelje - kozina,2016,60.4,65.6,54.6
hrpelje - kozina,2017,62.9,68.2,57.1
hrpelje - kozina,2018,65.9,70.8,60.4
hrpelje - kozina,2019,67,71.7,61.6
hrpelje - kozina,2020,66.9,71.6,61.3
hrpelje - kozina,2021,68.2,73.8,61.6
hrpelje - kozina,2022,69.6,75,63.2
hrpelje - kozina,2023,70.3,75.4,64.1
idrija,2002,60.6,66.1,54.4
idrija,2003,60.7,66.2,54.8
idrija,2004,60.9,66.1,55.2
idrija,2005,63.7,69.3,57.6
idrija,2006,64.4,70.1,58
idrija,2007,65.5,71.3,59
idrija,2008,66.5,72.4,59.8
idrija,2009,65,70.9,58.5
idrija,2010,62.6,67.9,56.7
idrija,2011,62.2,67.1,56.7
idrija,2012,64.1,69,58.5
idrija,2013,63.8,68.2,58.7
idrija,2014,63.9,68.4,58.7
idrija,2015,64.9,69.3,59.8
idrija,2016,65.5,69.7,60.7
idrija,2017,68.3,72.3,63.8
idrija,2018,71.6,75.5,67.1
idrija,2019,72.8,77.1,67.8
idrija,2020,70.7,74.1,66.7
idrija,2021,71.8,75.1,67.8
idrija,2022,73.8,77.5,69.6
idrija,2023,73.9,77.8,69.5
ig,2002,59.9,63.1,56.1
ig,2003,59.4,63.1,55.6
ig,2004,60.2,63.7,56.5
ig,2005,63.8,67.4,60
ig,2006,65.3,69,61.4
ig,2007,66.2,70.7,61.5
ig,2008,66.1,71.4,60.6
ig,2009,64,69.1,58.6
ig,2010,63,67.6,58.2
ig,2011,61.7,65.4,57.7
ig,2012,61.6,66,57
ig,2013,60.9,64.5,57.2
ig,2014,61.1,65.4,56.6
ig,2015,61.7,66.2,57.1
ig,2016,63,67.1,58.9
ig,2017,64.9,69.3,60.4
ig,2018,66.3,70,62.5
ig,2019,68.5,72.6,64.2
ig,2020,67.7,71,64.1
ig,2021,68.5,71.7,65.2
ig,2022,69.9,73,66.5
ig,2023,70,73.4,66.3
ilirska bistrica,2002,54.1,62.1,45.6
ilirska bistrica,2003,53.9,62,45.1
ilirska bistrica,2004,54.6,62.6,45.9
ilirska bistrica,2005,56.7,64.9,47.9
ilirska bistrica,2006,57.7,65.7,49
ilirska bistrica,2007,60.4,68.4,51.6
ilirska bistrica,2008,62.6,70.4,54
ilirska bistrica,2009,62.1,69.5,53.7
ilirska bistrica,2010,59.7,66.5,52.1
ilirska bistrica,2011,59.2,65.9,51.8
ilirska bistrica,2012,58.9,65.2,51.7
ilirska bistrica,2013,57.8,63.8,51
ilirska bistrica,2014,58.6,65.4,50.9
ilirska bistrica,2015,59.4,66.3,51.7
ilirska bistrica,2016,61,66.8,54.5
ilirska bistrica,2017,64,70.4,56.9
ilirska bistrica,2018,67,72.9,60.3
ilirska bistrica,2019,68.9,74.9,62
ilirska bistrica,2020,69.6,75.9,62.3
ilirska bistrica,2021,71.3,77.4,64.2
ilirska bistrica,2022,73,79.1,65.9
ilirska bistrica,2023,73.9,80.2,66.7
ivančna gorica,2002,60.7,65.3,55.3
ivančna gorica,2003,59.9,65.2,54.1
ivančna gorica,2004,61,66.6,55
ivančna gorica,2005,64.6,70.8,58
ivančna gorica,2006,64.9,70.9,58.5
ivančna gorica,2007,66.7,72.7,60.1
ivančna gorica,2008,67.3,73.3,60.8
ivančna gorica,2009,66.6,72.9,59.7
ivančna gorica,2010,65.6,72.1,58.5
ivančna gorica,2011,65.6,71.5,59.3
ivančna gorica,2012,64.2,69.4,58.5
ivančna gorica,2013,63.2,68.2,57.7
ivančna gorica,2014,64.1,69.8,57.9
ivančna gorica,2015,65.2,70.6,59.4
ivančna gorica,2016,66.3,71,61.2
ivančna gorica,2017,68.7,73.8,63.2
ivančna gorica,2018,71.6,76.8,65.8
ivančna gorica,2019,73.4,78.5,67.7
ivančna gorica,2020,72.8,77.6,67.3
ivančna gorica,2021,74.8,80.9,67.9
ivančna gorica,2022,78.3,84.8,71
ivančna gorica,2023,79.5,86,72.3
izola/isola,2002,55.3,58.9,51.4
izola/isola,2003,54.6,58.1,51
izola/isola,2004,55,58.5,51.2
izola/isola,2005,58,62,53.7
izola/isola,2006,59.3,63.9,54.4
izola/isola,2007,61.1,66.8,54.9
izola/isola,2008,62.6,68.9,55.5
izola/isola,2009,62.5,68.6,55.7
izola/isola,2010,59.9,64.3,55.2
izola/isola,2011,58.2,61.8,54.3
izola/isola,2012,57.5,61,53.6
izola/isola,2013,55.7,58,53.2
izola/isola,2014,56.6,59.5,53.5
izola/isola,2015,58,61.4,54.4
izola/isola,2016,60.1,63.6,56.3
izola/isola,2017,63.4,67.4,59.3
izola/isola,2018,66.4,70.9,61.7
izola/isola,2019,68,73,62.6
izola/isola,2020,66,70.5,61.1
izola/isola,2021,66.8,71.1,62
izola/isola,2022,69.1,73.9,64
izola/isola,2023,69.8,74.3,64.8
jesenice,2002,53.4,58.9,47.8
jesenice,2003,53.4,58.9,47.6
jesenice,2004,53.7,59.2,47.9
jesenice,2005,56,62.1,49.6
jesenice,2006,57.2,63.3,50.7
jesenice,2007,59.6,65.7,53.3
jesenice,2008,61.3,67.4,54.8
jesenice,2009,59.5,65.5,53.1
jesenice,2010,57.8,63.2,52
jesenice,2011,56.6,61.5,51.5
jesenice,2012,55.5,59.3,51.4
jesenice,2013,54.1,57.6,50.4
jesenice,2014,55.1,58.7,51.3
jesenice,2015,56.8,60.4,53
jesenice,2016,59.4,62.9,55.6
jesenice,2017,62.2,65.7,58.5
jesenice,2018,64.6,68.6,60.4
jesenice,2019,66.4,70.5,62
jesenice,2020,65.1,69.1,60.5
jesenice,2021,66,69.4,62.1
jesenice,2022,68.2,71.5,64.5
jesenice,2023,69.2,72.4,65.5
jezersko,2002,54.4,59.4,48.9
jezersko,2003,52.4,56.2,48.3
jezersko,2004,51.5,55.8,46.8
jezersko,2005,55.3,59.2,51.1
jezersko,2006,55.7,58.2,52.9
jezersko,2007,57.1,59.6,54.1
jezersko,2008,59.6,61.3,57.8
jezersko,2009,60.4,63.2,57.2
jezersko,2010,57.8,61.8,53.5
jezersko,2011,58.1,60,55.9
jezersko,2012,57.5,57.2,57.8
jezersko,2013,57.2,59.6,54.6
jezersko,2014,57.6,61.9,52.9
jezersko,2015,59.6,63.4,55.7
jezersko,2016,61.7,65.8,57.4
jezersko,2017,64.1,68.2,59.7
jezersko,2018,66.5,68.8,64.1
jezersko,2019,70.4,71.8,68.9
jezersko,2020,73.3,75.9,70.6
jezersko,2021,73.7,76,71.4
jezersko,2022,75.4,76.5,74.4
jezersko,2023,74.8,78.7,70.6
juršinci,2002,41.8,47.8,35
juršinci,2003,42,48.2,35
juršinci,2004,44,49.8,37.4
juršinci,2005,50.3,56.1,43.8
juršinci,2006,51.8,57.2,45.6
juršinci,2007,55.5,61.3,48.8
juršinci,2008,57,63,50
juršinci,2009,55.2,61.7,47.4
juršinci,2010,52.5,58.3,45.7
juršinci,2011,55.4,62,47.7
juršinci,2012,52.9,58.4,46.4
juršinci,2013,52.3,57.6,46.2
juršinci,2014,53.9,60.8,45.9
juršinci,2015,54.7,61.3,47.2
juršinci,2016,55.3,60.5,49.3
juršinci,2017,55.8,60.7,50.2
juršinci,2018,57.1,59.9,53.8
juršinci,2019,57.3,59.8,54.3
juršinci,2020,58.9,59.8,57.8
juršinci,2021,59.4,60.6,58
juršinci,2022,61.5,62.1,60.9
juršinci,2023,61.9,62.1,61.6
kamnik,2002,59,63.2,54.6
kamnik,2003,58.7,63,54.3
kamnik,2004,58.7,63,54.2
kamnik,2005,61.5,66.2,56.7
kamnik,2006,61.7,66.8,56.5
kamnik,2007,63.8,69.1,58.3
kamnik,2008,64.7,70.1,59.2
kamnik,2009,63.8,69.1,58.3
kamnik,2010,61.9,66.3,57.4
kamnik,2011,61.4,65,57.7
kamnik,2012,60.7,64.4,56.8
kamnik,2013,60.2,63.9,56.4
kamnik,2014,60.6,64.2,56.8
kamnik,2015,61.2,65,57.3
kamnik,2016,63.2,67,59.4
kamnik,2017,65.6,69.4,61.7
kamnik,2018,68,72,63.9
kamnik,2019,69.5,73.5,65.3
kamnik,2020,69.1,72.8,65
kamnik,2021,70.1,73.8,66.2
kamnik,2022,71.8,75.9,67.4
kamnik,2023,72.4,76.4,68.1
kanal,2002,49.9,51.6,47.8
kanal,2003,48.8,50.8,46.7
kanal,2004,48.6,50,47.2
kanal,2005,51.9,53.8,49.8
kanal,2006,53.8,55.7,51.6
kanal,2007,55.9,59,52.6
kanal,2008,58.6,62,54.8
kanal,2009,59,63.2,54.4
kanal,2010,57,61.3,52.4
kanal,2011,56.4,60.1,52.4
kanal,2012,54.2,56.1,52.1
kanal,2013,53.5,55.3,51.5
kanal,2014,53.9,54.7,52.9
kanal,2015,55.3,56.4,54
kanal,2016,58,59.2,56.6
kanal,2017,60.3,61.7,58.8
kanal,2018,62.3,63.9,60.6
kanal,2019,63.7,65.3,61.8
kanal,2020,64.5,65.8,63.1
kanal,2021,65.6,66.9,64.1
kanal,2022,68.7,69.6,67.7
kanal,2023,69.2,70.3,68
kidričevo,2002,53,57.5,48.4
kidričevo,2003,52.8,56.9,48.6
kidričevo,2004,53.7,57.1,50.2
kidričevo,2005,55.4,59.7,51.1
kidričevo,2006,56.3,60.9,51.7
kidričevo,2007,59.2,64.8,53.5
kidričevo,2008,60.6,66.5,54.4
kidričevo,2009,58.3,64.5,52
kidričevo,2010,56,61.3,50.7
kidričevo,2011,58.4,64.4,52.3
kidričevo,2012,57.7,63.1,52.4
kidričevo,2013,57.8,63.1,52.5
kidričevo,2014,59.1,64.4,53.7
kidričevo,2015,59.3,63.9,54.6
kidričevo,2016,60.1,63.9,56.2
kidričevo,2017,62,64.8,59.1
kidričevo,2018,64.2,66,62.4
kidričevo,2019,66.3,68.2,64.3
kidričevo,2020,67.3,69.6,64.9
kidričevo,2021,67.9,70.4,65.2
kidričevo,2022,70.5,74.4,66.5
kidričevo,2023,70.4,74.2,66.5
kobarid,2002,54.2,56,52.3
kobarid,2003,53.7,55.2,52
kobarid,2004,53.7,56.1,51.1
kobarid,2005,57.1,60.7,53.1
kobarid,2006,57.3,61.1,53
kobarid,2007,58.5,62.9,53.7
kobarid,2008,59,62.7,54.8
kobarid,2009,58.6,61.3,55.6
kobarid,2010,56,58,53.7
kobarid,2011,58,59.8,55.9
kobarid,2012,56.5,57.6,55.2
kobarid,2013,55.4,56.4,54.2
kobarid,2014,55.4,57.7,52.7
kobarid,2015,55.5,58.2,52.7
kobarid,2016,57.1,58.8,55.3
kobarid,2017,60.3,63.6,56.8
kobarid,2018,63.4,67.1,59.4
kobarid,2019,64.9,67.8,61.8
kobarid,2020,66.1,68.3,63.8
kobarid,2021,66.4,68.4,64.2
kobarid,2022,66.9,69.5,64.2
kobarid,2023,67.4,70.7,63.9
kobilje,2002,55.6,64.9,47.7
kobilje,2003,52.1,58.5,45.7
kobilje,2004,50.3,56.2,44.4
kobilje,2005,44.3,50.7,37.8
kobilje,2006,46.9,53.1,40.6
kobilje,2007,51.7,57.5,46.1
kobilje,2008,53.4,57.8,49
kobilje,2009,51.9,56.1,47.9
kobilje,2010,48.8,54.4,43.1
kobilje,2011,50.3,57.1,43.5
kobilje,2012,53.9,61,47
kobilje,2013,53.2,57.7,48.9
kobilje,2014,52.7,58,47.4
kobilje,2015,53.7,59.2,48.1
kobilje,2016,53.7,55.6,51.7
kobilje,2017,53.8,55.1,52.3
kobilje,2018,58.4,58.9,57.9
kobilje,2019,61.6,60.1,63.3
kobilje,2020,62,56.4,68.4
kobilje,2021,63.2,60.1,66.8
kobilje,2022,65.9,63.4,68.8
kobilje,2023,67,64.6,69.6
komen,2002,57.8,65.6,49.6
komen,2003,57.3,65,49.4
komen,2004,58.1,65.7,50.2
komen,2005,59.7,67.3,51.8
komen,2006,59.7,66.4,52.7
komen,2007,60.4,66.6,53.9
komen,2008,61.6,67.8,55.2
komen,2009,60.6,67.1,53.8
komen,2010,59.3,65.3,52.8
komen,2011,59.1,63.7,54.2
komen,2012,57.5,62,52.6
komen,2013,55.5,60,50.6
