obcina,leto,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women
ilirska bistrica,2023,58.7,59.7,57.3,46.4,44.7,48.7,53.6,55.3,51.3
ilirska bistrica,2024,59,59.8,58,46.4,44.8,48.5,53.6,55.2,51.5
ivančna gorica,2000,48.7,50.2,46.9,32.1,31.8,32.5,67.9,68.2,67.5
ivančna gorica,2001,48.5,50.1,46.6,31.8,31.3,32.3,68.2,68.7,67.7
ivančna gorica,2002,48,50.2,45.3,30.9,30.9,30.9,69.1,69.1,69.1
ivančna gorica,2003,51.8,55.6,47,31.4,31.8,30.8,68.6,68.2,69.2
ivančna gorica,2004,55.3,59.2,50.3,30.7,31.2,29.9,69.3,68.8,70.1
ivančna gorica,2005,52.1,57.8,45,29.6,31.1,27.9,70.4,68.9,72.1
ivančna gorica,2006,53.2,59.5,45.3,29.1,30.8,26.9,70.9,69.2,73.1
ivančna gorica,2007,56.7,62.8,48.9,29.1,30.6,27.2,70.9,69.4,72.8
ivančna gorica,2008,58.1,65.4,48.8,29.4,31.3,27,70.6,68.7,73
ivančna gorica,2009,56,63.5,46.6,28.9,31.1,26.1,71.1,68.9,73.9
ivančna gorica,2010,55.1,62.2,46.1,28.7,31.2,25.7,71.3,68.8,74.3
ivančna gorica,2011,55.9,63,47.2,29.2,31.1,26.8,70.8,68.9,73.2
ivančna gorica,2012,57.3,66,46.6,28.8,31.1,26,71.2,68.9,74
ivančna gorica,2013,56.6,64.8,46.4,29.1,31.8,25.9,70.9,68.2,74.1
ivančna gorica,2014,57.9,66.4,47.5,29.2,31.3,26.6,70.8,68.7,73.4
ivančna gorica,2015,60.5,69,50.1,30,32.1,27.4,70,67.9,72.6
ivančna gorica,2016,59.2,66.7,50.1,29.3,30.7,27.7,70.7,69.3,72.3
ivančna gorica,2017,61.8,71,50.4,29.8,31.7,27.4,70.2,68.3,72.6
ivančna gorica,2018,61.4,70.6,49.9,29.1,30.6,27.3,70.9,69.4,72.7
ivančna gorica,2019,61.5,71.3,49.4,28.5,29.9,26.7,71.5,70.1,73.3
ivančna gorica,2020,60.9,69,50.6,27.3,28,26.4,72.7,72,73.6
ivančna gorica,2021,65.6,74.7,54.3,27.1,27.8,26.1,72.9,72.2,73.9
ivančna gorica,2022,68.3,76.9,57.7,27.9,28.7,26.9,72.1,71.3,73.1
ivančna gorica,2023,68.2,77,57.4,27.7,28.2,27,72.3,71.8,73
ivančna gorica,2024,65.8,72.2,57.8,27.5,28,26.8,72.5,72,73.2
izola/isola,2000,85.9,74.5,99.4,45.6,41.4,50.7,54.4,58.6,49.3
izola/isola,2001,89.9,77.3,105.1,44.6,40.4,49.7,55.4,59.6,50.3
izola/isola,2002,89.6,76.8,104.7,44,40.4,48.2,56,59.6,51.8
izola/isola,2003,87.4,74.4,103,43,39.4,47.3,57,60.6,52.7
izola/isola,2004,87,75.8,100.6,42.3,39.5,45.7,57.7,60.5,54.3
izola/isola,2005,86.4,75.3,100.1,42.1,39.7,44.9,57.9,60.3,55.1
izola/isola,2006,85,74.9,97.8,42.1,41,43.6,57.9,59,56.4
izola/isola,2007,82.3,72.5,95.7,40.4,39.6,41.4,59.6,60.4,58.6
izola/isola,2008,85.7,75.9,99.2,41.9,41.2,42.8,58.1,58.8,57.2
izola/isola,2009,86,78.5,95.8,40.3,40.3,40.3,59.7,59.7,59.7
izola/isola,2010,87.4,78.9,98.1,39.5,40,38.9,60.5,60,61.1
izola/isola,2011,87.3,78.6,98,38.8,39.6,37.8,61.2,60.4,62.2
izola/isola,2012,85,76.5,95.1,38.2,38.9,37.4,61.8,61.1,62.6
izola/isola,2013,86.1,78,95.5,38.2,38.7,37.7,61.8,61.3,62.3
izola/isola,2014,82.4,74.1,92,36.3,36.3,36.3,63.7,63.7,63.7
izola/isola,2015,83.3,75.1,93.1,36.2,36.1,36.3,63.8,63.9,63.7
izola/isola,2016,83.2,75.4,92.2,35.8,35.8,35.8,64.2,64.2,64.2
izola/isola,2017,84.9,75.6,96.1,35.6,34.9,36.5,64.4,65.1,63.5
izola/isola,2018,84.5,76.2,94.8,35.7,35.9,35.5,64.3,64.1,64.5
izola/isola,2019,83.3,75.9,92.8,35.5,35.8,35.1,64.5,64.2,64.9
izola/isola,2020,85.4,77.1,95.9,34.5,34.5,34.5,65.5,65.5,65.5
izola/isola,2021,86.2,79.2,94.7,34.2,34.1,34.4,65.8,65.9,65.6
izola/isola,2022,87.8,82.6,94.3,34.3,34.2,34.3,65.7,65.8,65.7
izola/isola,2023,91.5,85,99.8,35.5,35.8,35.2,64.5,64.2,64.8
izola/isola,2024,92.5,86.4,100.2,35.2,35.1,35.3,64.8,64.9,64.7
jesenice,2000,93,96.9,88.2,61.2,63.3,58.6,38.8,36.7,41.4
jesenice,2001,92.8,96.2,88.5,60.4,62.4,57.8,39.6,37.6,42.2
jesenice,2002,91.9,95,87.9,59.9,62.3,56.9,40.1,37.7,43.1
jesenice,2003,90.4,92.8,87.4,58.9,61.2,56,41.1,38.8,44
jesenice,2004,86,86.2,85.8,56.5,57.2,55.4,43.5,42.8,44.6
jesenice,2005,83.6,83.6,83.6,54.3,54.8,53.6,45.7,45.2,46.4
jesenice,2006,80.4,80.9,79.9,52.1,53.2,50.7,47.9,46.8,49.3
jesenice,2007,79.3,80.3,78,51.4,53,49.3,48.6,47,50.7
jesenice,2008,81.1,81.7,80.3,52.6,54.3,50.5,47.4,45.7,49.5
jesenice,2009,81.6,82.1,81,52,53.6,49.9,48,46.4,50.1
jesenice,2010,82,82,82.1,51.1,52.2,49.8,48.9,47.8,50.2
jesenice,2011,80.5,77.9,83.6,49.3,49.5,49,50.7,50.5,51
jesenice,2012,83.1,82.1,84.3,50.1,51.5,48.6,49.9,48.5,51.4
jesenice,2013,83.3,81.6,85.3,49.8,50.7,48.9,50.2,49.3,51.1
jesenice,2014,81.2,79.3,83.4,49.4,50.6,48,50.6,49.4,52
jesenice,2015,79.6,77.5,82.2,48.1,48.7,47.5,51.9,51.3,52.5
jesenice,2016,79,77.6,80.7,48.1,48.9,47.1,51.9,51.1,52.9
jesenice,2017,79,78.3,79.9,48,49.5,46.3,52,50.5,53.7
jesenice,2018,78,76.6,79.7,47.5,48.9,45.7,52.5,51.1,54.3
jesenice,2019,77.5,76.8,78.4,47.3,49,45.2,52.7,51,54.8
jesenice,2020,77.9,75.6,80.8,47.2,47.7,46.6,52.8,52.3,53.4
jesenice,2021,76.9,75.1,79.1,46.8,47.2,46.3,53.2,52.8,53.7
jesenice,2022,74.2,72.4,76.5,45.6,46,45.1,54.4,54,54.9
jesenice,2023,74.1,71.9,76.8,45.2,45.7,44.6,54.8,54.3,55.4
jesenice,2024,75,73.6,76.7,45.4,46.7,43.7,54.6,53.3,56.3
jezersko,2000,42.5,47.2,36.2,13.8,12.7,15.2,86.2,87.3,84.8
jezersko,2001,51.4,51.4,51.4,13,11.3,15.2,87,88.7,84.8
jezersko,2002,53.9,53.3,54.7,10,10.4,9.4,90,89.6,90.6
jezersko,2003,53.4,54.5,51.9,11.9,12.1,11.5,88.1,87.9,88.5
jezersko,2004,55.5,48.9,64.4,13.9,10.2,18.8,86.1,89.8,81.2
jezersko,2005,59.3,54.7,64.9,14.9,11.7,18.9,85.1,88.3,81.1
jezersko,2006,56.1,53.8,59.1,16.2,14,19.1,83.8,86,80.9
jezersko,2007,34.1,29.9,39.3,13,12.5,13.7,87,87.5,86.3
jezersko,2008,35.8,32.7,39.8,13.4,13.3,13.6,86.6,86.7,86.4
jezersko,2009,46.5,46,47.2,14,14.6,13.2,86,85.4,86.8
jezersko,2010,46.9,47.3,46.4,14.5,15.3,13.6,85.5,84.7,86.4
jezersko,2011,49.1,47.1,51.5,14.3,14,14.6,85.7,86,85.4
jezersko,2012,36.2,31.9,40.7,13.4,14.3,12.4,86.6,85.7,87.6
jezersko,2013,36.9,29.4,45.3,13.3,14.3,12.3,86.7,85.7,87.7
jezersko,2014,37,30.8,43.9,14.1,15,13.1,85.9,85,86.9
jezersko,2015,39.8,32,49.1,15.6,17.6,13.2,84.4,82.4,86.8
jezersko,2016,42,37.9,46.7,17.3,20.2,14,82.7,79.8,86
jezersko,2017,38.6,32.1,46.4,16.2,17.6,14.5,83.8,82.4,85.5
jezersko,2018,39.8,33.8,46.4,16.1,16.2,16,83.9,83.8,84
jezersko,2019,42,38.1,46.2,16.7,18,15.4,83.3,82,84.6
jezersko,2020,41.2,35.9,46.7,17.3,18.3,16.3,82.7,81.7,83.7
jezersko,2021,43.9,38.9,49.3,19.4,20.8,17.9,80.6,79.2,82.1
jezersko,2022,43.1,37.6,49.3,20.8,22.1,19.4,79.2,77.9,80.6
jezersko,2023,40.6,34.2,48.1,21.9,22.4,21.4,78.1,77.6,78.6
jezersko,2024,40.7,32,50.4,21.4,21.8,21.1,78.6,78.2,78.9
juršinci,2000,20.5,18.9,23.1,12.9,14.3,10.6,87.1,85.7,89.4
juršinci,2001,21.6,18.6,26.3,14,13.8,14.3,86,86.2,85.7
juršinci,2002,20,16.9,25,12.8,11.7,14.7,87.2,88.3,85.3
juršinci,2003,20,16.5,25.5,12.7,11.4,14.6,87.3,88.6,85.4
juršinci,2004,21,18.7,24.6,13.5,12.9,14.5,86.5,87.1,85.5
juršinci,2005,20.1,16.7,25.1,12.6,11.6,14,87.4,88.4,86
juršinci,2006,21.9,18.5,27.1,12.8,11.5,14.6,87.2,88.5,85.4
juršinci,2007,19.7,16.5,24.4,11,9.7,13,89,90.3,87
juršinci,2008,21.4,18.3,26.4,11.7,10.3,14,88.3,89.7,86
juršinci,2009,20.9,18.1,24.8,12.5,11.4,14.2,87.5,88.6,85.8
juršinci,2010,21.7,19.4,24.7,13.3,12.3,14.5,86.7,87.7,85.5
juršinci,2011,23.5,20.4,28,14.8,13,17.4,85.2,87,82.6
juršinci,2012,26.7,22.9,31.7,16.6,14.6,19.3,83.4,85.4,80.7
juršinci,2013,26,23.4,29.5,15.7,13.6,18.5,84.3,86.4,81.5
juršinci,2014,24.4,21.1,29,15.2,14.1,16.8,84.8,85.9,83.2
juršinci,2015,24.2,21.9,27.3,14.7,14.2,15.3,85.3,85.8,84.7
juršinci,2016,24.3,20.5,29.4,13.4,11.6,15.8,86.6,88.4,84.2
juršinci,2017,24.8,21.1,29.6,14.2,12.6,16.4,85.8,87.4,83.6
juršinci,2018,27.1,24.7,29.9,15,13.6,16.6,85,86.4,83.4
juršinci,2019,25.4,22.1,29.1,14.2,12.2,16.4,85.8,87.8,83.6
juršinci,2020,26,23.6,28.9,14.1,12.7,15.9,85.9,87.3,84.1
juršinci,2021,24.9,21.8,28.8,13.2,11.8,15,86.8,88.2,85
juršinci,2022,25.5,23.8,27.5,13.9,12.9,15.2,86.1,87.1,84.8
juršinci,2023,26.2,23.5,29.5,13.9,12.8,15.4,86.1,87.2,84.6
juršinci,2024,24.5,21.1,28.8,14.7,13.1,16.6,85.3,86.9,83.4
kamnik,2000,75.1,74.1,76.1,53.2,52.7,53.7,46.8,47.3,46.3
kamnik,2001,75.3,73.8,77,52.7,51.8,53.8,47.3,48.2,46.2
kamnik,2002,73.1,71.3,75.3,51.3,50.6,52.1,48.7,49.4,47.9
kamnik,2003,70.5,68.4,72.8,48.6,47.9,49.3,51.4,52.1,50.7
kamnik,2004,70.1,69,71.3,47.9,47.5,48.3,52.1,52.5,51.7
kamnik,2005,67.7,66.6,69,46.1,46.1,46.2,53.9,53.9,53.8
kamnik,2006,66.6,65.5,67.8,45.1,45.2,44.9,54.9,54.8,55.1
kamnik,2007,64.4,63.1,65.9,43.6,43.7,43.5,56.4,56.3,56.5
kamnik,2008,63,61.9,64.4,42.3,42.3,42.3,57.7,57.7,57.7
kamnik,2009,61.4,60.8,62.1,40.6,41,40.1,59.4,59,59.9
kamnik,2010,59.9,60.1,59.7,39.6,40.3,38.8,60.4,59.7,61.2
kamnik,2011,61.2,61.5,60.9,39.6,40.5,38.6,60.4,59.5,61.4
kamnik,2012,61.9,61.9,61.9,39.1,40.2,37.9,60.9,59.8,62.1
kamnik,2013,62,62.2,61.9,39.2,40,38.3,60.8,60,61.7
kamnik,2014,61.5,61.2,61.8,38.6,39.3,37.9,61.4,60.7,62.1
kamnik,2015,61.4,62.5,60.1,37.9,39.2,36.6,62.1,60.8,63.4
kamnik,2016,62.2,63.7,60.5,37.6,38.9,36.2,62.4,61.1,63.8
kamnik,2017,62.7,65,60.1,37.4,39,35.5,62.6,61,64.5
kamnik,2018,62.4,64.2,60.2,37.2,38.8,35.3,62.8,61.2,64.7
kamnik,2019,64.4,67.5,60.7,37,38.6,35.1,63,61.4,64.9
kamnik,2020,64.6,68.4,60.1,35.7,37.7,33.3,64.3,62.3,66.7
kamnik,2021,66.7,71.2,61.4,35.9,38.1,33.3,64.1,61.9,66.7
kamnik,2022,67.7,72.6,62,36.3,38.4,33.8,63.7,61.6,66.2
kamnik,2023,68.4,73.6,62.3,36.5,38.6,34,63.5,61.4,66
kamnik,2024,69.4,74.6,63.5,36.4,38,34.6,63.6,62,65.4
kanal,2000,65,79.3,48.3,46.7,55.1,36.8,53.3,44.9,63.2
kanal,2001,63.1,77.1,47.4,45.8,53.9,36.8,54.2,46.1,63.2
kanal,2002,61.9,74.1,48.1,45.7,53.5,36.7,54.3,46.5,63.3
kanal,2003,61.7,74.4,47.4,45,53.4,35.7,55,46.6,64.3
kanal,2004,60.9,73,47.5,44.6,52.4,36,55.4,47.6,64
kanal,2005,57.5,67.9,45.7,42.5,49.4,34.6,57.5,50.6,65.4
kanal,2006,55.4,65.2,44.4,40.8,47.1,33.6,59.2,52.9,66.4
kanal,2007,54.6,64,43.6,39.8,46,32.6,60.2,54,67.4
kanal,2008,53.6,63.3,41.9,38.5,44.1,31.7,61.5,55.9,68.3
kanal,2009,55.8,66,43.6,38.9,44.5,32.2,61.1,55.5,67.8
kanal,2010,56.7,66.4,45,38.1,44.2,30.8,61.9,55.8,69.2
kanal,2011,57.2,66.3,46.4,38.7,44.4,31.9,61.3,55.6,68.1
kanal,2012,56.3,65.6,45.5,38,43.7,31.4,62,56.3,68.6
kanal,2013,56.3,65.5,45.7,38.6,44.7,31.4,61.4,55.3,68.6
kanal,2014,54.4,62.9,44.8,37.6,43.5,31,62.4,56.5,69
kanal,2015,54.6,62.8,45,37.1,42.7,30.6,62.9,57.3,69.4
kanal,2016,54.8,63.8,44.3,36.3,42.4,29.3,63.7,57.6,70.7
kanal,2017,54.8,64.2,43.8,35.1,41.7,27.4,64.9,58.3,72.6
kanal,2018,57.1,68.3,44,34.4,41.3,26.4,65.6,58.7,73.6
kanal,2019,55.6,66.4,42.7,33.3,39.6,25.8,66.7,60.4,74.2
kanal,2020,55.4,67.2,41.6,32.2,38.8,24.5,67.8,61.2,75.5
kanal,2021,55.6,66.8,42.4,32.2,38.7,24.6,67.8,61.3,75.4
kanal,2022,57.2,68.2,44.3,32.4,38.4,25.4,67.6,61.6,74.6
kanal,2023,59.6,71.1,45.8,32.9,39.2,25.3,67.1,60.8,74.7
kanal,2024,59.8,72.7,44.3,32.3,39.9,23.2,67.7,60.1,76.8
kidričevo,2000,146.8,145,148.8,40.7,41.8,39.4,59.3,58.2,60.6
kidričevo,2001,160.3,154,167.7,42.1,42.2,41.9,57.9,57.8,58.1
kidričevo,2002,178.5,158.3,202.9,43,41.6,44.7,57,58.4,55.3
kidričevo,2003,177.4,154.9,203.2,42.2,40.7,43.8,57.8,59.3,56.2
kidričevo,2004,173.9,149.1,202.4,40.4,40.2,40.6,59.6,59.8,59.4
kidričevo,2005,175.8,146.4,210.1,39.1,37.7,40.6,60.9,62.3,59.4
kidričevo,2006,164,140.2,191.8,37.3,35.6,39.3,62.7,64.4,60.7
kidričevo,2007,147.1,131.3,166.6,35,34.5,35.6,65,65.5,64.4
kidričevo,2008,143.9,131.8,158.4,34.7,34.3,35.2,65.3,65.7,64.8
kidričevo,2009,144.6,134.9,155.9,36.2,37,35.2,63.8,63,64.8
kidričevo,2010,163,144.8,183.9,37.2,38.5,35.8,62.8,61.5,64.2
kidričevo,2011,171.3,146,199,37.7,38.5,36.8,62.3,61.5,63.2
kidričevo,2012,161.2,145.8,178.4,37,38.4,35.6,63,61.6,64.4
kidričevo,2013,167.8,152.1,185.3,37.4,39.2,35.4,62.6,60.8,64.6
kidričevo,2014,178.7,166.3,192.7,37.6,39.7,35.3,62.4,60.3,64.7
kidričevo,2015,191.6,164.3,222.1,37.1,39.6,34.3,62.9,60.4,65.7
kidričevo,2016,195.8,174.9,218.6,37.6,40.5,34.3,62.4,59.5,65.7
kidričevo,2017,180.5,171.3,190.4,36.6,39.4,33.6,63.4,60.6,66.4
kidričevo,2018,177.1,173.4,180.9,36.7,40.1,33.1,63.3,59.9,66.9
kidričevo,2019,169.3,171.6,166.9,36.3,39.8,32.6,63.7,60.2,67.4
kidričevo,2020,139.9,164.4,113.3,34.5,38.9,29.7,65.5,61.1,70.3
kidričevo,2021,134.8,159.8,108.2,33.8,37.6,29.7,66.2,62.4,70.3
kidričevo,2022,132.9,154.3,108.9,33.4,37.2,29.2,66.6,62.8,70.8
kidričevo,2023,124.1,144.1,102.3,31.8,35.4,27.9,68.2,64.6,72.1
kidričevo,2024,117.7,140.2,92.8,30.8,34,27.3,69.2,66,72.7
kobarid,2000,58.8,61,56.3,45.1,46.6,43.4,54.9,53.4,56.6
kobarid,2001,57.9,58.3,57.4,46,46.3,45.7,54,53.7,54.3
kobarid,2002,58.5,59.2,57.8,46.2,47,45.3,53.8,53,54.7
kobarid,2003,60.2,60.4,59.9,45.9,47.4,44.2,54.1,52.6,55.8
kobarid,2004,62.5,62.1,63,46.8,47.2,46.3,53.2,52.8,53.7
kobarid,2005,66.5,65.6,67.5,47.9,48.4,47.2,52.1,51.6,52.8
kobarid,2006,65,63.8,66.5,45.6,45.6,45.5,54.4,54.4,54.5
kobarid,2007,59.8,55.5,64.9,42.4,41.3,43.8,57.6,58.7,56.3
kobarid,2008,58.6,54.5,63.5,42.1,41.6,42.8,57.9,58.4,57.2
kobarid,2009,60.8,56.3,66.1,42.5,42,43,57.5,58,57
kobarid,2010,58.1,50.3,67.1,39.3,36.3,42.7,60.7,63.7,57.3
kobarid,2011,57.7,49.5,67,38.6,35.9,41.8,61.4,64.1,58.2
kobarid,2012,57.6,48.2,68.2,38.7,34.6,43.3,61.3,65.4,56.7
kobarid,2013,58.3,48.8,69,39.5,34.9,44.6,60.5,65.1,55.4
kobarid,2014,58.6,50.1,68.5,39.1,35.8,43,60.9,64.2,57
kobarid,2015,57.1,50.9,64.2,39.6,37.2,42.4,60.4,62.8,57.6
kobarid,2016,56.4,50.7,62.7,38.5,37.2,40,61.5,62.8,60
kobarid,2017,57.1,49.4,65.8,39.4,37.1,42,60.6,62.9,58
kobarid,2018,59.4,53.1,66.8,40.9,39.7,42.4,59.1,60.3,57.6
kobarid,2019,58.2,51,66.2,40.4,37.5,43.6,59.6,62.5,56.4
kobarid,2020,59.1,53.1,65.6,39.4,37.6,41.4,60.6,62.4,58.6
kobarid,2021,60.1,55.3,65.3,38.6,37.4,39.9,61.4,62.6,60.1
kobarid,2022,60.8,56.2,66,39.1,38.3,40,60.9,61.7,60
kobarid,2023,60.5,56.7,65,39.5,39.1,39.9,60.5,60.9,60.1
kobarid,2024,57.9,55.4,60.9,38.5,38.4,38.5,61.5,61.6,61.5
kobilje,2000,96,52.7,148.4,28.9,20,39.6,71.1,80,60.4
kobilje,2001,97.5,63.8,143,26.7,20.7,34.9,73.3,79.3,65.1
kobilje,2002,49.5,36,66.3,24,18.9,30.3,76,81.1,69.7
kobilje,2003,77.5,42.9,119.8,23,18.1,29.1,77,81.9,70.9
kobilje,2004,29.1,28.4,29.9,15.6,12.7,19.5,84.4,87.3,80.5
kobilje,2005,27.2,26.2,28.6,13.9,10.7,18.2,86.1,89.3,81.8
kobilje,2006,27.3,25.7,29.2,15.7,11,21.3,84.3,89,78.7
kobilje,2007,28.8,28.6,29,15.6,10.7,21,84.4,89.3,79
kobilje,2008,25.9,27.4,24.3,12.5,8.8,16.5,87.5,91.2,83.5
kobilje,2009,32.6,28.4,37.6,15.5,9.8,22.4,84.5,90.2,77.6
kobilje,2010,30.3,28.7,32.3,15.4,10.2,21.5,84.6,89.8,78.5
kobilje,2011,27.5,25.7,29.7,13.5,11,16.5,86.5,89,83.5
kobilje,2012,28,25.3,30.9,12.2,10.5,13.8,87.8,89.5,86.2
kobilje,2013,21.3,16,27,11.5,9.6,13.5,88.5,90.4,86.5
kobilje,2014,24.9,18.7,31.4,13.6,11,16.3,86.4,89,83.7
kobilje,2015,24.9,16.7,33.7,14.6,9.4,20.2,85.4,90.6,79.8
kobilje,2016,26,17.6,34.4,16,9.9,22.2,84,90.1,77.8
kobilje,2017,21.5,13.3,29.7,11.6,5.6,17.6,88.4,94.4,82.4
kobilje,2018,23.7,17.6,30.4,12.4,10.8,14.1,87.6,89.2,85.9
kobilje,2019,22.2,13.5,30.2,11.9,6.7,16.7,88.1,93.3,83.3
kobilje,2020,21.2,15,27.6,10.1,7,13.3,89.9,93,86.7
kobilje,2021,20.8,14.3,27.8,10.9,6.7,15.5,89.1,93.3,84.5
kobilje,2022,22.9,15.7,30.1,11.2,6.9,15.5,88.8,93.1,84.5
kobilje,2023,22.9,14.7,31.3,10.4,4.9,16.2,89.6,95.1,83.8
kobilje,2024,25.7,16.7,35,13.4,6.9,20,86.6,93.1,80
komen,2000,48.8,54.2,40.9,35.3,39,29.8,64.7,61,70.2
komen,2001,50,55.8,41.8,34.4,38.4,28.7,65.6,61.6,71.3
komen,2002,50.5,55.7,43.3,35.4,38,31.9,64.6,62,68.1
komen,2003,49.6,55.2,42,34,37.1,29.7,66,62.9,70.3
komen,2004,53.2,57.9,46.5,34.5,37.4,30.5,65.5,62.6,69.5
komen,2005,54.2,59.8,46.5,34.1,37.6,29.3,65.9,62.4,70.7
komen,2006,56.5,61.1,50.1,33.8,37.1,29.3,66.2,62.9,70.7
komen,2007,52,57.5,44.6,32.1,35.9,27.1,67.9,64.1,72.9
komen,2008,50.9,56.2,43.7,31.4,35.4,26.2,68.6,64.6,73.8
komen,2009,46.9,52,40.3,29.8,32.9,25.7,70.2,67.1,74.3
komen,2010,47.8,54.3,39.7,29.6,34.1,24,70.4,65.9,76
komen,2011,46.7,51.9,40.3,28.5,32.2,24,71.5,67.8,76
komen,2012,47.2,50.6,42.9,28.4,31.1,24.9,71.6,68.9,75.1
komen,2013,47.1,48.8,45,28.3,30,26.1,71.7,70,73.9
komen,2014,47.6,52.2,41.9,27.8,30.5,24.6,72.2,69.5,75.4
komen,2015,47.5,51.1,43.2,27.8,30.4,24.6,72.2,69.6,75.4
komen,2016,46.6,49.5,43.1,26.8,28.3,24.9,73.2,71.7,75.1
komen,2017,49.3,54.6,42.5,27.8,30.5,24.3,72.2,69.5,75.7
komen,2018,51.3,55.9,45.7,27.2,30.1,23.7,72.8,69.9,76.3
komen,2019,52.8,58.1,46.5,26.4,28.7,23.7,73.6,71.3,76.3
komen,2020,49.7,54.5,44.2,24.6,26.2,22.7,75.4,73.8,77.3
komen,2021,48.3,52.6,43.3,23.6,25.4,21.4,76.4,74.6,78.6
komen,2022,47.3,50.5,43.5,23.3,24.9,21.4,76.7,75.1,78.6
komen,2023,50.9,52,49.5,23.9,25.2,22.4,76.1,74.8,77.6
komen,2024,51.8,53.2,50.2,24.1,25.4,22.7,75.9,74.6,77.3
komenda,2000,46.7,49,44.1,23.7,29.8,16.9,76.3,70.2,83.1
komenda,2001,41.7,46,36.7,22.9,28.4,16.5,77.1,71.6,83.5
komenda,2002,45,49.9,39.3,23.3,29.4,16.3,76.7,70.6,83.7
komenda,2003,46.1,53.8,37.6,22.6,29.3,15.1,77.4,70.7,84.9
komenda,2004,45.7,56,34.3,22,29,14.3,78,71,85.7
komenda,2005,48,60.6,33.6,21.8,28.5,14.2,78.2,71.5,85.8
komenda,2006,55.3,66.4,42,24,31.7,14.7,76,68.3,85.3
komenda,2007,64.1,79.9,45.5,23.8,31.1,15.1,76.2,68.9,84.9
komenda,2008,66.9,83.8,46.6,24.2,31.9,15,75.8,68.1,85
komenda,2009,65.1,79.8,47.9,23.6,30.2,15.7,76.4,69.8,84.3
komenda,2010,71.2,84,56.5,24.5,30.3,17.8,75.5,69.7,82.2
komenda,2011,70.3,81.6,57.2,23.1,28.3,17.1,76.9,71.7,82.9
komenda,2012,76.7,89.2,62.7,23.9,29.2,17.9,76.1,70.8,82.1
komenda,2013,83.5,99.8,64.9,24.5,30.5,17.6,75.5,69.5,82.4
komenda,2014,87.8,106.1,67.2,24.4,29.6,18.5,75.6,70.4,81.5
komenda,2015,93.4,112.6,71.4,25.8,31.6,19.2,74.2,68.4,80.8
komenda,2016,93.8,114.5,70.7,25.6,30.9,19.8,74.4,69.1,80.2
komenda,2017,96.4,115.5,75.5,24.5,29.3,19.2,75.5,70.7,80.8
komenda,2018,114.4,133.2,93.2,24.5,29.4,19,75.5,70.6,81
komenda,2019,118.2,136.4,97.6,24.3,29.3,18.7,75.7,70.7,81.3
komenda,2020,124.4,139,107.6,23.7,28.5,18.2,76.3,71.5,81.8
komenda,2021,134.1,143.9,122.5,23.8,28.6,18,76.2,71.4,82
komenda,2022,133.7,147.4,117.9,24,29.3,17.9,76,70.7,82.1
komenda,2023,148.9,162.7,133,24.9,29.9,19.2,75.1,70.1,80.8
komenda,2024,149.3,161.3,135.5,25.1,29.9,19.5,74.9,70.1,80.5
koper/capodistria,2000,106.3,113,98.4,78.3,80,76.3,21.7,20,23.7
koper/capodistria,2001,105.7,111.9,98.3,77.2,78.8,75.3,22.8,21.2,24.7
koper/capodistria,2002,105.7,111.1,99.2,76.6,78.1,74.7,23.4,21.9,25.3
koper/capodistria,2003,105.5,110.8,99,76.1,77.2,74.7,23.9,22.8,25.3
koper/capodistria,2004,106.3,111.7,99.6,75,75.9,74,25,24.1,26
koper/capodistria,2005,106.3,112.4,98.8,73.9,75.1,72.5,26.1,24.9,27.5
koper/capodistria,2006,106.8,112.9,98.9,72.9,74.1,71.4,27.1,25.9,28.6
koper/capodistria,2007,111.2,117.1,103.5,72.8,74.1,71,27.2,25.9,29
koper/capodistria,2008,108.2,112.7,102.3,71,72.1,69.5,29,27.9,30.5
koper/capodistria,2009,108.9,113.6,102.8,70.4,71,69.7,29.6,29,30.3
koper/capodistria,2010,110.5,115.8,104,70.4,71.6,68.9,29.6,28.4,31.1
koper/capodistria,2011,109.5,114.1,103.7,70,71.2,68.5,30,28.8,31.5
koper/capodistria,2012,106.3,111.4,100.1,69.6,71.2,67.8,30.4,28.8,32.2
koper/capodistria,2013,107.6,113,101.1,69.7,71.2,67.9,30.3,28.8,32.1
koper/capodistria,2014,109,114.9,102,70,71.8,67.8,30,28.2,32.2
koper/capodistria,2015,117.6,125.9,107.9,68.5,71,65.5,31.5,29,34.5
koper/capodistria,2016,116.2,125.3,105.3,67.5,70.5,64,32.5,29.5,36
koper/capodistria,2017,113.5,122.6,103,66.4,69.2,63.3,33.6,30.8,36.7
koper/capodistria,2018,112.1,119.8,102.8,65.1,67.3,62.4,34.9,32.7,37.6
koper/capodistria,2019,113.1,121.6,103.2,65.1,67.4,62.3,34.9,32.6,37.7
koper/capodistria,2020,110,120.2,98.3,63.8,66.6,60.5,36.2,33.4,39.5
koper/capodistria,2021,108.5,118.2,97.3,63.3,66.4,59.7,36.7,33.6,40.3
