obcina,leto,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women
beltinci,2001,41.9,45.7,37.9,25.7,27.1,24.2,74.3,72.9,75.8
beltinci,2002,41.2,44.4,37.7,25.8,27,24.4,74.2,73,75.6
beltinci,2003,42.8,47.6,37.6,25.9,27.8,23.7,74.1,72.2,76.3
beltinci,2004,44.6,54.7,33,25,28.5,21,75,71.5,79
beltinci,2005,44,53.5,32.8,23.4,27.1,19.2,76.6,72.9,80.8
beltinci,2006,45.3,55.6,32.8,23.6,27.7,18.6,76.4,72.3,81.4
beltinci,2007,46.9,57.6,33.9,23.7,27.5,19.2,76.3,72.5,80.8
beltinci,2008,44.8,52.8,35.4,24,26.7,20.7,76,73.3,79.3
beltinci,2009,48.3,54.4,40.6,26.4,29.1,22.9,73.6,70.9,77.1
beltinci,2010,41.4,46,35.9,23.7,26.2,20.7,76.3,73.8,79.3
beltinci,2011,43.4,49.7,35.9,22.7,25.2,19.7,77.3,74.8,80.3
beltinci,2012,40.8,45.6,35.2,22.9,25.2,20.2,77.1,74.8,79.8
beltinci,2013,41.5,46.5,35.6,23.5,25.7,20.9,76.5,74.3,79.1
beltinci,2014,42.1,45.6,37.9,24,25.1,22.6,76,74.9,77.4
beltinci,2015,42.3,44.3,39.9,23.1,23.8,22.4,76.9,76.2,77.6
beltinci,2016,41.1,42.3,39.7,22.3,22.9,21.7,77.7,77.1,78.3
beltinci,2017,40,42,37.9,20.5,21.4,19.6,79.5,78.6,80.4
beltinci,2018,42,46.6,37.2,20.8,22.1,19.4,79.2,77.9,80.6
beltinci,2019,41,44.4,37.3,20.6,21.7,19.4,79.4,78.3,80.6
beltinci,2020,39.7,44.8,34.4,20.5,21.7,19.4,79.5,78.3,80.6
beltinci,2021,41.9,47.1,36.5,21,22.7,19.2,79,77.3,80.8
beltinci,2022,41.4,46.3,36.2,20.9,22.7,19,79.1,77.3,81
beltinci,2023,40.1,45,34.8,21.1,23.4,18.6,78.9,76.6,81.4
beltinci,2024,41.1,47.1,34.6,21.1,23.3,18.7,78.9,76.7,81.3
benedikt,2000,27.2,31.1,22.4,15.9,19.8,11.2,84.1,80.2,88.8
benedikt,2001,29.1,33.1,24.3,15.8,19.9,10.8,84.2,80.1,89.2
benedikt,2002,29.2,31.6,26.1,15.6,18.4,12,84.4,81.6,88
benedikt,2003,26.6,26.7,26.5,13.1,14.2,11.8,86.9,85.8,88.2
benedikt,2004,28.2,28.8,27.3,14.4,16,12.4,85.6,84,87.6
benedikt,2005,28.2,27.7,28.8,14.5,14.4,14.7,85.5,85.6,85.3
benedikt,2006,30.2,31.3,28.9,14.7,15.5,13.6,85.3,84.5,86.4
benedikt,2007,29.3,27.9,31.4,14.3,14.9,13.5,85.7,85.1,86.5
benedikt,2008,29.8,29,30.9,15,15.1,14.9,85,84.9,85.1
benedikt,2009,29.3,27.9,31.1,15.8,15,16.9,84.2,85,83.1
benedikt,2010,31.3,31.8,30.7,16.6,17.1,16,83.4,82.9,84
benedikt,2011,30.6,31.8,29.1,15.8,16.8,14.5,84.2,83.2,85.5
benedikt,2012,32.3,33,31.4,16.8,17.3,16.2,83.2,82.7,83.8
benedikt,2013,33.1,34.3,31.6,17.4,18.6,16.1,82.6,81.4,83.9
benedikt,2014,35.5,36.9,33.7,19,20.5,17.1,81,79.5,82.9
benedikt,2015,35.2,37.1,33,19.1,21.1,16.7,80.9,78.9,83.3
benedikt,2016,38.1,39.2,36.8,18.9,19.8,17.9,81.1,80.2,82.1
benedikt,2017,36.9,39.2,34.3,18.1,19.7,16.3,81.9,80.3,83.7
benedikt,2018,37.9,40.2,35.3,17.8,19.3,16.1,82.2,80.7,83.9
benedikt,2019,38.5,39.3,37.6,18.7,19.7,17.6,81.3,80.3,82.4
benedikt,2020,37.8,41.3,34.1,18,19.4,16.6,82,80.6,83.4
benedikt,2021,37.2,40.7,33.4,18.2,20,16.2,81.8,80,83.8
benedikt,2022,38.4,41,35.9,17.4,19.6,15.2,82.6,80.4,84.8
benedikt,2023,40.7,43.1,38.2,19.1,21.1,17,80.9,78.9,83
benedikt,2024,41.3,41.8,40.8,19.2,21.5,16.8,80.8,78.5,83.2
bistrica ob sotli,2000,74.1,55.5,95.2,39.4,33.6,46,60.6,66.4,54
bistrica ob sotli,2001,68.5,54.5,85,37.6,31.7,44.5,62.4,68.3,55.5
bistrica ob sotli,2002,77.4,59.1,96.4,40.3,32.8,47.9,59.7,67.2,52.1
bistrica ob sotli,2003,75,56.9,95.7,40.7,33.2,49.2,59.3,66.8,50.8
bistrica ob sotli,2004,84.8,69.8,102.8,38.4,30.2,48.3,61.6,69.8,51.7
bistrica ob sotli,2005,81.2,69.5,95.4,39.4,30,50.9,60.6,70,49.1
bistrica ob sotli,2006,47.4,51.4,42.4,22.6,22,23.3,77.4,78,76.7
bistrica ob sotli,2007,59.7,70.9,44.6,21.1,21.1,21.1,78.9,78.9,78.9
bistrica ob sotli,2008,58.2,69.6,42.9,21.8,22.7,20.7,78.2,77.3,79.3
bistrica ob sotli,2009,51.6,50.4,52.9,30.5,32.3,28.3,69.5,67.7,71.7
bistrica ob sotli,2010,59.1,61.7,56,31.9,33.9,29.5,68.1,66.1,70.5
bistrica ob sotli,2011,57.6,58.3,56.7,29.8,29.8,29.9,70.2,70.2,70.1
bistrica ob sotli,2012,56.8,58.3,55,29,30.9,26.7,71,69.1,73.3
bistrica ob sotli,2013,58,57.7,58.5,31.9,33.2,30.3,68.1,66.8,69.7
bistrica ob sotli,2014,57.2,56.2,58.5,29.9,29.6,30.3,70.1,70.4,69.7
bistrica ob sotli,2015,57.9,54.5,61.9,29.9,28.9,31,70.1,71.1,69
bistrica ob sotli,2016,58.6,55,62.6,30,29.2,30.8,70,70.8,69.2
bistrica ob sotli,2017,56.4,53,60.2,26.7,25.1,28.5,73.3,74.9,71.5
bistrica ob sotli,2018,55.8,53.9,58.1,27,27.6,26.3,73,72.4,73.7
bistrica ob sotli,2019,54.4,52.1,57,26,27.8,24,74,72.2,76
bistrica ob sotli,2020,49.9,47.5,52.7,23.1,24.2,21.8,76.9,75.8,78.2
bistrica ob sotli,2021,43.1,41.2,45.3,19.4,20.1,18.6,80.6,79.9,81.4
bistrica ob sotli,2022,42.2,43.7,40.4,20,21.3,18.4,80,78.7,81.6
bistrica ob sotli,2023,32.4,31.8,33.2,18.9,21.2,15.9,81.1,78.8,84.1
bistrica ob sotli,2024,35.7,34.4,37.5,21.1,23.8,17.7,78.9,76.2,82.3
bled,2000,84.2,83.8,84.7,44,45.5,42.3,56,54.5,57.7
bled,2001,88.9,88,89.8,44.8,46.4,42.9,55.2,53.6,57.1
bled,2002,89.9,87,93.3,44.7,45.8,43.3,55.3,54.2,56.7
bled,2003,87.5,84.2,91.5,43.8,45.1,42.4,56.2,54.9,57.6
bled,2004,88.3,88,88.5,43.7,45.7,41.4,56.3,54.3,58.6
bled,2005,85.9,84.8,87.3,41.8,43.2,40.1,58.2,56.8,59.9
bled,2006,86.4,85.2,87.9,41.2,42.6,39.5,58.8,57.4,60.5
bled,2007,103.3,103.4,103.3,39,40.5,37.1,61,59.5,62.9
bled,2008,109.1,109.3,108.9,39,41.4,36.1,61,58.6,63.9
bled,2009,105,106.1,103.6,38.8,41.4,35.9,61.2,58.6,64.1
bled,2010,101.2,103.7,98.4,38.5,41.8,34.6,61.5,58.2,65.4
bled,2011,98.5,98.4,98.7,37.2,40.2,33.8,62.8,59.8,66.2
bled,2012,98,97.3,98.9,37.4,40.9,33.5,62.6,59.1,66.5
bled,2013,91.8,92.1,91.5,37,40,33.7,63,60,66.3
bled,2014,91.8,94,89.4,36.8,40.1,33.3,63.2,59.9,66.7
bled,2015,90.1,89.2,91,37.6,40.6,34.3,62.4,59.4,65.7
bled,2016,89,85.7,92.8,37.2,39,35.2,62.8,61,64.8
bled,2017,91.7,88.9,94.9,37.3,38.8,35.5,62.7,61.2,64.5
bled,2018,90.3,87.3,93.6,37,38.6,35.2,63,61.4,64.8
bled,2019,88.8,84,94.4,36.8,37.7,35.8,63.2,62.3,64.2
bled,2020,82.8,77.8,88.4,33.2,34,32.3,66.8,66,67.7
bled,2021,81.2,77.7,85.2,33,34.4,31.5,67,65.6,68.5
bled,2022,86.7,81.3,93.1,35.4,37.2,33.2,64.6,62.8,66.8
bled,2023,91.9,87.2,97.1,37.4,39.1,35.5,62.6,60.9,64.5
bled,2024,91.8,87,97.2,37.6,39,35.9,62.4,61,64.1
bloke,2000,45.8,55.5,32.7,34.3,42.5,23.3,65.7,57.5,76.7
bloke,2001,51.1,59.4,39.5,35,43.7,22.8,65,56.3,77.2
bloke,2002,54.6,64.8,40.8,35.9,45.7,22.7,64.1,54.3,77.3
bloke,2003,54.1,65.1,39.5,35.6,44.8,23.5,64.4,55.2,76.5
bloke,2004,62.2,79.6,37.4,36.6,46.4,22.7,63.4,53.6,77.3
bloke,2005,68.7,84.7,45.4,38.2,48.1,23.8,61.8,51.9,76.3
bloke,2006,74.7,91.1,48.4,40,50.4,23.4,60,49.6,76.6
bloke,2007,81.2,103.6,44.3,43.1,54,25.3,56.9,46,74.7
bloke,2008,93.8,123.1,47.2,42,52.4,25.6,58,47.6,74.4
bloke,2009,96.1,132.8,45.6,37.9,48.8,22.8,62.1,51.2,77.2
bloke,2010,72.3,94.3,42.6,37.3,47.9,22.9,62.7,52.1,77.1
bloke,2011,59.7,74.9,39,35.3,44.5,22.7,64.7,55.5,77.3
bloke,2012,48.5,58.5,35.7,31.2,38.6,21.7,68.8,61.4,78.3
bloke,2013,33.1,35.8,29.8,21.4,24.7,17.2,78.6,75.3,82.8
bloke,2014,33.5,36.5,29.6,21.9,24.8,18.2,78.1,75.2,81.8
bloke,2015,32.7,34.9,29.8,21.1,23.5,17.9,78.9,76.5,82.1
bloke,2016,36.2,40.2,31.2,21.4,23.8,18.4,78.6,76.2,81.6
bloke,2017,32,35.7,27.1,19.5,22,16.2,80.5,78,83.8
bloke,2018,30.3,32.1,27.6,18.5,20.6,15.4,81.5,79.4,84.6
bloke,2019,29.8,31.4,27.7,18,20.3,14.9,82,79.7,85.1
bloke,2020,31.8,37.6,25.1,18.5,22.3,14.1,81.5,77.7,85.9
bloke,2021,35.2,43,25.7,18.6,23.4,12.7,81.4,76.6,87.3
bloke,2022,35,42.3,26.2,19.1,24.3,12.8,80.9,75.7,87.2
bloke,2023,36.7,45.6,25.5,21.6,27.9,13.6,78.4,72.1,86.4
bloke,2024,36,40.4,29.6,20.6,24.9,14.2,79.4,75.1,85.8
bohinj,2000,64.1,65.1,63,56.6,57.6,55.3,43.4,42.4,44.7
bohinj,2001,63,64.7,60.9,55.6,56.7,54.2,44.4,43.3,45.8
bohinj,2002,63.9,66.1,61.2,55.4,56.3,54.2,44.6,43.7,45.8
bohinj,2003,63.4,65,61.3,54.2,55,53.2,45.8,45,46.8
bohinj,2004,62.8,63.9,61.4,53.8,54.3,53.2,46.2,45.7,46.8
bohinj,2005,62.1,62.5,61.6,52,51.9,52.2,48,48.1,47.8
bohinj,2006,60.4,60.6,60,50.2,50,50.3,49.8,50,49.7
bohinj,2007,58.8,59.3,58.2,48.9,49.2,48.6,51.1,50.8,51.4
bohinj,2008,58.8,59.3,58.1,49.6,49.8,49.3,50.4,50.2,50.7
bohinj,2009,62.1,60.7,63.8,51.2,50.1,52.6,48.8,49.9,47.4
bohinj,2010,62.4,60.6,64.7,50.8,49.7,52.1,49.2,50.3,47.9
bohinj,2011,60.4,59.5,61.6,49.5,49,50.2,50.5,51,49.8
bohinj,2012,57.8,56.1,59.9,47.8,46.7,49.2,52.2,53.3,50.8
bohinj,2013,60.6,58.7,62.8,49.8,48.9,51,50.2,51.1,49
bohinj,2014,62.8,62.1,63.7,50,48.8,51.5,50,51.2,48.5
