obcina,leto,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population
jesenice,2014,2,-20,-207,-225,-10.7
jesenice,2015,-29,8,-159,-180,-8.6
jesenice,2016,-3,50,-154,-107,-5.2
jesenice,2017,-10,56,-38,8,0.4
jesenice,2018,-26,-17,276,233,11.2
jesenice,2019,-5,46,307,348,16.4
jesenice,2020,-102,22,409,329,15.3
jesenice,2021,-52,-14,183,117,5.4
jesenice,2022,-57,37,188,168,7.7
jesenice,2023,-25,-158,251,68,3.1
jezersko,1995,-,-,-,-,...
jezersko,1996,-,-,-,-,...
jezersko,1997,-,-,-,-,-
jezersko,1998,-,-,-,-,-
jezersko,1999,0,-3,0,-3,-4.4
jezersko,2000,9,-2,-1,6,8.9
jezersko,2001,-1,-5,-4,-10,-14.9
jezersko,2002,6,3,-4,5,7.4
jezersko,2003,1,12,2,15,22
jezersko,2004,3,-2,0,1,1.5
jezersko,2005,1,3,-1,3,4.4
jezersko,2006,0,8,4,12,17.2
jezersko,2007,-4,-14,2,-16,-22.9
jezersko,2008,-5,9,3,7,10.4
jezersko,2009,0,-9,-2,-11,-16.5
jezersko,2010,1,0,0,1,1.5
jezersko,2011,-7,-14,-3,-24,-36.4
jezersko,2012,-1,-5,0,-6,-9.4
jezersko,2013,7,11,0,18,28.1
jezersko,2014,-1,-7,1,-7,-10.8
jezersko,2015,-1,-15,-5,-21,-33.1
jezersko,2016,3,-1,-1,1,1.6
jezersko,2017,-1,9,-4,4,6.4
jezersko,2018,0,2,1,3,4.8
jezersko,2019,4,-8,-4,-8,-12.6
jezersko,2020,7,24,9,40,62
jezersko,2021,8,-6,-1,1,1.5
jezersko,2022,1,2,2,5,7.6
jezersko,2023,3,-14,2,-9,-13.7
juršinci,1995,7,-13,1,-5,...
juršinci,1996,-3,-3,2,-4,...
juršinci,1997,-9,5,0,-4,-1.7
juršinci,1998,-12,6,-2,-8,-3.4
juršinci,1999,-20,0,3,-17,-7.3
juršinci,2000,-8,10,0,2,0.9
juršinci,2001,-10,1,1,-8,-3.4
juršinci,2002,-1,9,-7,1,0.4
juršinci,2003,-15,9,1,-5,-2.1
juršinci,2004,-8,9,-5,-4,-1.7
juršinci,2005,8,-3,-1,4,1.7
juršinci,2006,-9,22,-13,0,0
juršinci,2007,4,22,-7,19,8.1
juršinci,2008,0,3,1,4,1.7
juršinci,2009,11,-13,1,-1,-0.4
juršinci,2010,13,5,-7,11,4.7
juršinci,2011,1,11,-4,8,3.4
juršinci,2012,-1,47,-17,29,12
juršinci,2013,-8,25,-14,3,1.3
juršinci,2014,-3,-10,-13,-26,-10.9
juršinci,2015,-6,13,-14,-7,-3
juršinci,2016,-1,15,5,19,8
juršinci,2017,-1,-1,1,-1,-0.4
juršinci,2018,-16,1,2,-13,-5.5
juršinci,2019,-3,20,1,18,7.6
juršinci,2020,-28,43,22,37,15.4
juršinci,2021,-21,95,6,80,32.6
juršinci,2022,-40,12,1,-27,-10.8
juršinci,2023,-37,14,1,-22,-9
kamnik,1995,88,53,18,159,...
kamnik,1996,76,128,1,205,...
kamnik,1997,13,78,-9,82,2.7
kamnik,1998,53,128,-17,164,5.5
kamnik,1999,65,158,36,259,10
kamnik,2000,68,72,67,207,7.9
kamnik,2001,44,78,-50,72,2.7
kamnik,2002,77,37,-40,74,2.8
kamnik,2003,53,104,39,196,7.3
kamnik,2004,61,133,7,201,7.5
kamnik,2005,61,78,84,223,8.2
kamnik,2006,116,167,74,357,13
kamnik,2007,119,361,206,686,24.5
kamnik,2008,167,5,221,393,13.7
kamnik,2009,169,-35,176,310,10.7
kamnik,2010,163,-72,25,116,4
kamnik,2011,188,-166,35,57,2
kamnik,2012,131,-43,49,137,4.7
kamnik,2013,123,-64,70,129,4.4
kamnik,2014,122,-89,16,49,1.7
kamnik,2015,45,-93,-22,-70,-2.4
kamnik,2016,60,-40,31,51,1.7
kamnik,2017,95,-33,14,76,2.6
kamnik,2018,102,-69,169,202,6.8
kamnik,2019,39,-35,228,232,7.8
kamnik,2020,-12,-106,182,64,2.1
kamnik,2021,17,-216,4,-195,-6.5
kamnik,2022,-7,-15,228,206,6.9
kamnik,2023,-27,-27,101,47,1.6
kanal,1995,-43,-27,3,-67,...
kanal,1996,-28,-21,-2,-51,...
kanal,1997,-21,19,5,3,0.5
kanal,1998,-27,-28,-1,-56,-8.9
kanal,1999,-19,-10,43,14,2.2
kanal,2000,-10,-10,17,-3,-0.5
kanal,2001,-13,-32,-33,-78,-12.3
kanal,2002,-20,-17,7,-30,-4.8
kanal,2003,-29,-3,11,-21,-3.4
kanal,2004,-31,-22,-3,-56,-9.1
kanal,2005,-40,-22,19,-43,-7
kanal,2006,-42,-34,10,-66,-10.9
kanal,2007,-31,-22,52,-1,-0.2
kanal,2008,1,-104,47,-56,-9.5
kanal,2009,8,-118,-15,-125,-21.5
kanal,2010,11,-43,14,-18,-3.1
kanal,2011,-2,-56,-11,-69,-12.1
kanal,2012,-18,-21,0,-39,-6.9
kanal,2013,-7,-70,-10,-87,-15.5
kanal,2014,-9,-32,-16,-57,-10.3
kanal,2015,-26,-34,-11,-71,-12.9
kanal,2016,-26,-60,-3,-89,-16.5
kanal,2017,-15,-21,5,-31,-5.8
kanal,2018,-19,-19,27,-11,-2.1
kanal,2019,-17,-10,17,-10,-1.9
kanal,2020,-8,-29,22,-15,-2.8
kanal,2021,-26,-8,-1,-35,-6.7
kanal,2022,-33,-8,5,-36,-6.9
kanal,2023,-28,-95,16,-107,-20.7
kidričevo,1995,-12,49,2,39,...
kidričevo,1996,-9,7,3,1,...
kidričevo,1997,-10,13,2,5,0.7
kidričevo,1998,1,42,0,43,6.4
kidričevo,1999,4,43,-1,46,6.8
kidričevo,2000,-15,-12,3,-24,-3.5
kidričevo,2001,-28,10,47,29,4.2
kidričevo,2002,-26,16,10,0,0
kidričevo,2003,-25,-2,12,-15,-2.2
kidričevo,2004,1,11,5,17,2.5
kidričevo,2005,-15,11,12,8,1.2
kidričevo,2006,-20,19,26,25,3.7
kidričevo,2007,-5,-45,35,-15,-2.2
kidričevo,2008,-1,-16,42,25,3.8
kidričevo,2009,7,49,5,61,9.1
kidričevo,2010,-2,-38,3,-37,-5.5
kidričevo,2011,-6,5,7,6,0.9
kidričevo,2012,14,-28,-10,-24,-3.6
kidričevo,2013,-11,5,-29,-35,-5.3
kidričevo,2014,-13,-42,-23,-78,-11.9
kidričevo,2015,-23,-21,-18,-62,-9.6
kidričevo,2016,3,-37,4,-30,-4.7
kidričevo,2017,-14,36,10,32,5
kidričevo,2018,-2,32,16,46,7.1
kidričevo,2019,-16,7,52,43,6.6
kidričevo,2020,-17,-12,24,-5,-0.8
kidričevo,2021,0,6,5,11,1.7
kidričevo,2022,-31,30,44,43,6.6
kidričevo,2023,-19,-4,41,18,2.7
kobarid,1995,-3,-3,6,0,...
kobarid,1996,-21,-11,7,-25,...
kobarid,1997,-40,-11,0,-51,-10.9
kobarid,1998,-23,1,-5,-27,-5.8
kobarid,1999,-22,-6,-17,-45,-9.8
kobarid,2000,-24,9,9,-6,-1.3
kobarid,2001,-16,8,-2,-10,-2.2
kobarid,2002,-25,-13,8,-30,-6.5
kobarid,2003,-28,5,12,-11,-2.4
kobarid,2004,-20,-8,-2,-30,-6.7
kobarid,2005,-27,-15,24,-18,-4
kobarid,2006,-22,-12,-6,-40,-8.9
kobarid,2007,-27,-19,29,-17,-3.8
kobarid,2008,-15,-50,17,-48,-11.4
kobarid,2009,7,-72,20,-45,-10.7
kobarid,2010,1,-4,4,1,0.2
kobarid,2011,4,-13,-3,-12,-2.9
kobarid,2012,4,-3,10,11,2.6
kobarid,2013,19,-38,-7,-26,-6.2
kobarid,2014,-18,-17,8,-27,-6.5
kobarid,2015,-6,5,-13,-14,-3.4
kobarid,2016,-16,-6,6,-16,-3.9
kobarid,2017,-20,25,-8,-3,-0.7
kobarid,2018,-9,-28,12,-25,-6.1
kobarid,2019,-24,-26,23,-27,-6.6
kobarid,2020,-14,-20,17,-17,-4.2
kobarid,2021,-24,21,17,14,3.4
kobarid,2022,-15,10,8,3,0.7
kobarid,2023,-2,-17,18,-1,-0.2
kobilje,1995,-8,12,0,4,...
kobilje,1996,0,-3,-1,-4,...
kobilje,1997,0,6,1,7,11
kobilje,1998,-5,4,0,-1,-1.6
kobilje,1999,-5,5,-1,-1,-1.6
kobilje,2000,-6,-8,1,-13,-20.8
kobilje,2001,-4,2,0,-2,-3.2
kobilje,2002,-1,13,0,12,18.9
kobilje,2003,-1,-3,-3,-7,-11.1
kobilje,2004,0,2,-2,0,0
kobilje,2005,2,2,2,6,9.5
kobilje,2006,-2,-3,1,-4,-6.3
kobilje,2007,-6,-1,1,-6,-9.6
kobilje,2008,-1,6,-1,4,6.5
kobilje,2009,0,-8,0,-8,-13.1
kobilje,2010,4,6,0,10,16.4
kobilje,2011,0,4,0,4,6.4
kobilje,2012,-3,-8,-20,-31,-51.2
kobilje,2013,5,-6,-3,-4,-6.8
kobilje,2014,-2,7,0,5,8.5
kobilje,2015,4,-17,-4,-17,-29.1
kobilje,2016,-3,-9,-2,-14,-24.6
kobilje,2017,0,-3,2,-1,-1.8
kobilje,2018,-6,-10,-1,-17,-30.9
kobilje,2019,3,2,-5,0,0
kobilje,2020,-4,5,-3,-2,-3.7
kobilje,2021,-5,-2,-1,-8,-14.9
kobilje,2022,-10,-8,-3,-21,-39.7
kobilje,2023,0,-2,1,-1,-1.9
komen,1995,-34,19,7,-8,...
komen,1996,-9,2,4,-3,...
komen,1997,-8,5,4,1,0.3
komen,1998,-26,4,0,-22,-6.1
komen,1999,-32,24,-1,-9,-2.5
komen,2000,-18,7,4,-7,-1.9
komen,2001,-7,-1,1,-7,-1.9
komen,2002,-20,-1,11,-10,-2.8
komen,2003,-27,10,7,-10,-2.8
komen,2004,-10,-24,2,-32,-8.9
komen,2005,-9,-6,0,-15,-4.2
komen,2006,-12,-2,-4,-18,-5.1
komen,2007,-5,8,17,20,5.6
komen,2008,8,-45,33,-4,-1.2
komen,2009,-6,12,16,22,6.3
komen,2010,22,-16,5,11,3.1
komen,2011,4,11,11,26,7.3
komen,2012,22,-41,3,-16,-4.5
komen,2013,16,-3,0,13,3.6
komen,2014,2,3,-3,2,0.6
komen,2015,-11,-30,-1,-42,-11.9
komen,2016,-6,1,12,7,2
komen,2017,-2,18,-3,13,3.7
komen,2018,-11,-6,14,-3,-0.9
komen,2019,1,7,-13,-5,-1.4
komen,2020,-6,73,52,119,33.5
komen,2021,-11,-13,10,-14,-3.9
komen,2022,-8,-35,-14,-57,-15.8
komen,2023,-22,-29,-18,-69,-19.5
komenda,1995,-,-,-,-,...
komenda,1996,-,-,-,-,...
komenda,1997,-,-,-,-,-
komenda,1998,-,-,-,-,-
komenda,1999,16,56,-2,70,16.2
komenda,2000,22,6,10,38,8.7
komenda,2001,31,27,6,64,14.5
komenda,2002,25,20,-13,32,7.1
komenda,2003,17,40,9,66,14.6
komenda,2004,20,17,-5,32,7
komenda,2005,32,43,34,109,23.4
komenda,2006,37,39,14,90,19
komenda,2007,45,29,22,96,19.9
komenda,2008,45,200,35,280,56.5
komenda,2009,65,109,62,236,45.2
komenda,2010,65,67,8,140,26
komenda,2011,82,129,15,226,40.3
komenda,2012,47,3,12,62,10.8
komenda,2013,48,60,15,123,21.1
komenda,2014,66,-9,9,66,11.2
komenda,2015,58,11,1,70,11.8
komenda,2016,60,35,13,108,17.9
komenda,2017,55,25,4,84,13.7
komenda,2018,41,9,29,79,12.7
komenda,2019,31,23,65,119,18.8
komenda,2020,43,-60,67,50,7.8
komenda,2021,18,19,13,50,7.7
komenda,2022,36,64,63,163,24.9
komenda,2023,14,52,32,98,14.7
koper/capodistria,1995,-29,64,54,89,...
koper/capodistria,1996,13,103,30,146,...
koper/capodistria,1997,-103,83,3,-17,-0.4
koper/capodistria,1998,-51,107,20,76,1.6
koper/capodistria,1999,-31,152,170,291,6.1
koper/capodistria,2000,-27,182,143,298,6.2
koper/capodistria,2001,-76,77,106,107,2.2
koper/capodistria,2002,-59,60,136,137,2.8
koper/capodistria,2003,-71,172,220,321,6.6
koper/capodistria,2004,-14,110,67,163,3.3
koper/capodistria,2005,-40,116,333,409,8.3
koper/capodistria,2006,-1,196,226,421,8.4
koper/capodistria,2007,17,194,685,896,17.9
koper/capodistria,2008,100,195,1055,1350,26.6
koper/capodistria,2009,106,408,623,1137,21.9
koper/capodistria,2010,113,275,101,489,9.3
koper/capodistria,2011,90,85,160,335,6.3
koper/capodistria,2012,159,-83,218,294,5.5
koper/capodistria,2013,68,908,130,1106,20.6
koper/capodistria,2014,133,-334,-84,-285,-5.2
koper/capodistria,2015,62,28,57,147,2.9
koper/capodistria,2016,52,103,161,316,6.2
koper/capodistria,2017,11,252,168,431,8.3
koper/capodistria,2018,-55,187,309,441,8.5
koper/capodistria,2019,-68,101,353,386,7.3
koper/capodistria,2020,-75,394,333,652,12.4
koper/capodistria,2021,-117,32,258,173,3.2
koper/capodistria,2022,-120,-27,562,415,7.7
koper/capodistria,2023,-144,189,333,378,7
kostanjevica na krki,1995,-,-,-,-,...
kostanjevica na krki,1996,-,-,-,-,...
kostanjevica na krki,1997,-,-,-,-,-
kostanjevica na krki,1998,-,-,-,-,-
kostanjevica na krki,1999,-,-,-,-,-
kostanjevica na krki,2000,-,-,-,-,-
kostanjevica na krki,2001,-,-,-,-,-
kostanjevica na krki,2002,-,-,-,-,-
kostanjevica na krki,2003,-,-,-,-,-
kostanjevica na krki,2004,-,-,-,-,-
kostanjevica na krki,2005,-,-,-,-,-
kostanjevica na krki,2006,-,-,-,-,-
kostanjevica na krki,2007,-4,6,-3,-1,-0.4
kostanjevica na krki,2008,2,-17,7,-8,-3.3
kostanjevica na krki,2009,-1,-8,0,-9,-3.7
kostanjevica na krki,2010,-3,-13,-1,-17,-7
kostanjevica na krki,2011,18,-7,-1,10,4.1
kostanjevica na krki,2012,5,1,-2,4,1.7
kostanjevica na krki,2013,-3,-15,2,-16,-6.6
kostanjevica na krki,2014,19,34,3,56,23.1
kostanjevica na krki,2015,-1,-19,-16,-36,-14.7
kostanjevica na krki,2016,-2,18,-10,6,2.5
kostanjevica na krki,2017,8,0,6,14,5.7
kostanjevica na krki,2018,11,-21,22,12,4.9
kostanjevica na krki,2019,2,-18,-1,-17,-7
kostanjevica na krki,2020,-8,13,9,14,5.7
kostanjevica na krki,2021,-7,9,7,9,3.7
kostanjevica na krki,2022,-12,21,11,20,8.2
kostanjevica na krki,2023,-8,1,-1,-8,-3.2
kostel,1995,-,-,-,-,...
kostel,1996,-,-,-,-,...
kostel,1997,-,-,-,-,-
kostel,1998,-,-,-,-,-
kostel,1999,-7,13,1,7,10.3
kostel,2000,-11,13,1,3,4.5
kostel,2001,-13,14,2,3,4.4
kostel,2002,-13,19,2,8,11.7
kostel,2003,-6,3,-2,-5,-7.3
kostel,2004,-2,4,4,6,8.6
kostel,2005,-4,-1,-2,-7,-10
kostel,2006,-4,-2,0,-6,-8.8
kostel,2007,-5,14,-3,6,8.8
kostel,2008,-3,-18,2,-19,-29.2
kostel,2009,-8,2,14,8,12.4
kostel,2010,0,-2,-1,-3,-4.5
kostel,2011,-10,-11,-8,-29,-44.5
kostel,2012,-5,15,1,11,17.1
kostel,2013,-1,8,1,8,12.3
kostel,2014,0,-5,0,-5,-7.7
kostel,2015,-1,-6,3,-4,-6.2
kostel,2016,-13,14,-2,-1,-1.6
kostel,2017,-6,9,-6,-3,-4.7
kostel,2018,-4,9,-3,2,3.1
kostel,2019,-1,-7,4,-4,-6.2
kostel,2020,3,41,10,54,80.1
kostel,2021,-5,-7,2,-10,-14.5
kostel,2022,-8,-49,0,-57,-89.2
kostel,2023,-2,5,1,4,6.5
kozje,1995,-19,-3,6,-16,...
kozje,1996,-21,3,4,-14,...
kozje,1997,-8,-13,6,-15,-4.2
kozje,1998,-23,-11,0,-34,-9.8
kozje,1999,-8,2,0,-6,-1.7
kozje,2000,-8,13,-3,2,0.6
kozje,2001,-20,-20,0,-40,-11.6
kozje,2002,-38,-1,4,-35,-10.1
kozje,2003,-14,-4,0,-18,-5.3
kozje,2004,-32,14,-1,-19,-5.6
kozje,2005,-18,1,-1,-18,-5.4
kozje,2006,-6,2,5,1,0.3
kozje,2007,-15,12,2,-1,-0.3
kozje,2008,-9,-25,0,-34,-10.4
kozje,2009,-12,-23,7,-28,-8.6
kozje,2010,14,-19,2,-3,-0.9
kozje,2011,-11,-22,4,-29,-9
kozje,2012,-10,-25,-4,-39,-12.2
kozje,2013,-25,-44,7,-62,-19.6
kozje,2014,-16,0,-4,-20,-6.4
kozje,2015,-9,9,-2,-2,-0.6
kozje,2016,2,-23,5,-16,-5.2
kozje,2017,-12,-10,-1,-23,-7.5
kozje,2018,-2,-15,0,-17,-5.6
kozje,2019,1,-53,3,-49,-16
kozje,2020,-5,24,22,41,13.6
kozje,2021,0,-18,14,-4,-1.3
kozje,2022,-12,-6,0,-18,-6
kozje,2023,-1,-8,-10,-19,-6.3
kočevje,1995,-2,-40,39,-3,...
kočevje,1996,-6,-2,17,9,...
kočevje,1997,-3,-18,6,-15,-0.9
kočevje,1998,-39,-45,15,-69,-4
kočevje,1999,-9,-14,22,-1,-0.1
kočevje,2000,-3,-10,7,-6,-0.4
kočevje,2001,1,-44,47,4,0.2
kočevje,2002,4,-32,60,32,1.9
kočevje,2003,-15,-41,15,-41,-2.5
kočevje,2004,17,21,23,61,3.6
kočevje,2005,-8,-36,67,23,1.4
kočevje,2006,-20,0,34,14,0.8
kočevje,2007,-9,-44,139,86,5.1
kočevje,2008,8,-41,139,106,6.3
kočevje,2009,-35,-102,2,-135,-8.1
kočevje,2010,46,-63,-29,-46,-2.8
kočevje,2011,40,-63,25,2,0.1
kočevje,2012,-2,-138,10,-130,-7.9
kočevje,2013,1,-167,-25,-191,-11.7
kočevje,2014,19,-110,-25,-116,-7.2
kočevje,2015,2,-55,-13,-66,-4.1
kočevje,2016,-19,-99,-4,-122,-7.6
kočevje,2017,5,-76,-38,-109,-6.9
kočevje,2018,-47,-111,72,-86,-5.5
kočevje,2019,-19,-59,66,-12,-0.8
kočevje,2020,-78,-17,56,-39,-2.5
kočevje,2021,-69,59,0,-10,-0.6
kočevje,2022,-68,-9,125,48,3.1
kočevje,2023,-58,-27,71,-14,-0.9
kranj,1995,97,8,34,139,...
kranj,1996,115,-65,43,93,...
kranj,1997,58,-133,-1,-76,-1.5
kranj,1998,110,-174,-358,-422,-8.1
kranj,1999,54,-137,165,82,1.6
kranj,2000,80,-84,-16,-20,-0.4
kranj,2001,41,-173,25,-107,-2.1
kranj,2002,82,-204,-16,-138,-2.7
kranj,2003,46,-129,47,-36,-0.7
kranj,2004,79,-110,23,-8,-0.2
kranj,2005,96,-106,202,192,3.6
kranj,2006,156,-124,181,213,4
kranj,2007,125,-21,497,601,11.2
kranj,2008,213,-243,682,652,12.1
kranj,2009,254,-42,403,615,11.3
kranj,2010,240,-59,43,224,4.1
kranj,2011,262,-29,177,410,7.4
kranj,2012,206,-219,87,74,1.3
kranj,2013,237,-107,-27,103,1.9
kranj,2014,219,-72,80,227,4.1
kranj,2015,263,-20,10,253,4.5
kranj,2016,186,-190,-23,-27,-0.5
kranj,2017,177,-286,-18,-127,-2.3
kranj,2018,116,-266,479,329,5.9
kranj,2019,153,-138,796,811,14.3
kranj,2020,22,-431,524,115,2
kranj,2021,-17,-292,-178,-487,-8.6
kranj,2022,-19,-37,585,529,9.3
kranj,2023,3,-273,244,-26,-0.5
kranjska gora,1995,-12,6,4,-2,...
kranjska gora,1996,-8,-8,-3,-19,...
kranjska gora,1997,-18,25,-3,4,0.7
kranjska gora,1998,-8,-11,-2,-21,-3.9
kranjska gora,1999,-16,13,7,4,0.7
kranjska gora,2000,-34,12,-12,-34,-6.3
kranjska gora,2001,-5,12,15,22,4.1
kranjska gora,2002,-20,7,2,-11,-2
kranjska gora,2003,-19,-2,7,-14,-2.6
kranjska gora,2004,-7,-1,1,-7,-1.3
kranjska gora,2005,-7,9,2,4,0.7
kranjska gora,2006,-20,20,11,11,2
kranjska gora,2007,9,22,8,39,7.2
kranjska gora,2008,3,-74,16,-55,-10.3
kranjska gora,2009,9,-56,-3,-50,-9.4
kranjska gora,2010,9,-14,17,12,2.3
kranjska gora,2011,0,40,-3,37,7
kranjska gora,2012,-19,25,-25,-19,-3.6
kranjska gora,2013,-41,64,-1,22,4.1
kranjska gora,2014,-32,15,-28,-45,-8.4
kranjska gora,2015,-26,55,-37,-8,-1.5
kranjska gora,2016,-23,17,-1,-7,-1.3
kranjska gora,2017,-48,-22,-2,-72,-13.8
kranjska gora,2018,-33,15,6,-12,-2.3
kranjska gora,2019,-49,32,40,23,4.4
kranjska gora,2020,-63,2176,73,2186,391.1
kranjska gora,2021,-43,302,19,278,34.9
kranjska gora,2022,-29,-1789,0,-2,-256.3
kranjska gora,2023,-49,-595,12,-632,-120.7
križevci,1995,-,-,-,-,...
križevci,1996,-,-,-,-,...
križevci,1997,-,-,-,-,-
križevci,1998,-,-,-,-,-
križevci,1999,-15,-18,0,-33,-9.3
križevci,2000,7,13,0,20,5.6
križevci,2001,-2,3,1,2,0.6
križevci,2002,2,6,2,10,2.8
križevci,2003,-3,19,1,17,4.8
križevci,2004,-2,2,-1,-1,-0.3
križevci,2005,-14,-2,-1,-17,-4.8
križevci,2006,0,10,11,21,5.9
križevci,2007,-10,-19,2,-27,-7.6
križevci,2008,-10,25,9,24,6.4
križevci,2009,-19,-13,2,-30,-8
križevci,2010,-21,9,-6,-18,-4.8
križevci,2011,-3,44,4,45,11.9
križevci,2012,-8,-9,-1,-18,-4.8
križevci,2013,-14,-15,-21,-50,-13.3
križevci,2014,-20,10,0,-10,-2.7
križevci,2015,-38,-30,-7,-75,-20.5
križevci,2016,-13,12,-5,-6,-1.6
križevci,2017,-21,-21,-3,-45,-12.4
križevci,2018,-16,-3,11,-8,-2.2
križevci,2019,-25,0,2,-23,-6.5
križevci,2020,-33,22,22,11,3.1
križevci,2021,-33,23,-4,-14,-4
križevci,2022,-12,27,12,27,7.6
križevci,2023,-26,5,-7,-28,-7.9
krško,1995,2,-47,20,-25,...
krško,1996,-1,-58,4,-55,...
krško,1997,-35,-46,1,-80,-2.8
krško,1998,-87,-28,-61,-176,-6.3
krško,1999,-56,-51,76,-31,-1.1
krško,2000,-25,-28,160,107,3.8
krško,2001,19,-1,77,95,3.4
krško,2002,-40,9,115,84,3
krško,2003,-53,-18,158,87,3.1
krško,2004,-30,10,60,40,1.4
krško,2005,-22,19,141,138,4.9
krško,2006,33,-30,127,130,4.6
krško,2007,-22,-2,185,161,6.2
krško,2008,-3,-243,365,119,4.7
krško,2009,47,-150,168,65,2.5
krško,2010,21,48,-7,62,2.4
krško,2011,50,-50,26,26,1
krško,2012,28,50,82,160,6.2
krško,2013,43,-223,21,-159,-6.1
krško,2014,40,-106,8,-58,-2.2
krško,2015,74,-18,-6,50,1.9
krško,2016,53,-76,-8,-31,-1.2
krško,2017,36,-54,-8,-26,-1
krško,2018,32,-108,234,158,6.1
krško,2019,32,-28,227,231,8.8
krško,2020,-39,-229,-1,-269,-10.3
krško,2021,-35,-50,-7,-92,-3.6
krško,2022,-43,-4,202,155,6
krško,2023,-25,-37,103,41,1.6
kungota,1995,-11,-8,1,-18,...
kungota,1996,7,23,0,30,...
kungota,1997,-26,48,2,24,5.6
kungota,1998,-24,5,-1,-20,-4.7
kungota,1999,-5,26,-4,17,4
kungota,2000,-10,48,9,47,10.9
kungota,2001,-26,53,-1,26,6
kungota,2002,-3,30,-1,26,6
kungota,2003,6,82,3,91,20.6
kungota,2004,12,47,2,61,13.5
kungota,2005,-8,51,-7,36,7.9
kungota,2006,-24,104,2,82,17.7
kungota,2007,1,16,18,35,7.4
kungota,2008,8,69,-32,45,9.6
kungota,2009,-22,2,14,-6,-1.3
kungota,2010,19,64,9,92,19.5
kungota,2011,5,13,-1,17,3.5
kungota,2012,12,-19,-9,-16,-3.3
kungota,2013,10,2,-5,7,1.5
kungota,2014,15,-2,-3,10,2.1
kungota,2015,0,-17,-26,-43,-9
kungota,2016,-2,28,0,26,5.5
kungota,2017,-5,10,-26,-21,-4.4
kungota,2018,-6,-66,13,-59,-12.5
kungota,2019,-23,36,3,16,3.4
kungota,2020,-9,72,57,120,25
kungota,2021,-29,69,30,70,14.4
kungota,2022,-12,2,37,27,5.5
kungota,2023,4,49,21,74,14.8
kuzma,1995,-31,-7,-3,-41,...
kuzma,1996,-16,-9,0,-25,...
kuzma,1997,-25,-32,-5,-62,-14.7
kuzma,1998,-45,-5,-1,-51,-12.1
kuzma,1999,-3,7,0,4,2.4
kuzma,2000,-7,-2,-3,-12,-7.1
kuzma,2001,-11,9,0,-2,-1.2
kuzma,2002,-18,-11,-1,-30,-18.1
kuzma,2003,-1,-15,0,-16,-9.7
kuzma,2004,-12,17,2,7,4.3
kuzma,2005,-4,9,1,6,3.7
kuzma,2006,-13,-14,0,-27,-16.4
kuzma,2007,-1,-10,-1,-12,-7.4
kuzma,2008,-3,-18,1,-20,-12.6
kuzma,2009,-27,74,2,49,31.2
kuzma,2010,-22,-27,-4,-53,-33
kuzma,2011,-1,46,-1,44,27.5
kuzma,2012,-12,-3,-6,-21,-13.3
kuzma,2013,-12,19,-7,0,0
kuzma,2014,-2,27,-6,19,11.8
kuzma,2015,-12,-6,-3,-21,-13.2
kuzma,2016,-13,27,-19,-5,-3.2
kuzma,2017,-11,-4,-7,-22,-14.1
kuzma,2018,-24,36,5,17,10.9
kuzma,2019,-25,29,-4,0,0
kuzma,2020,-29,34,48,53,33.5
kuzma,2021,-15,40,2,27,16.3
kuzma,2022,-29,11,-1,-19,-11.6
kuzma,2023,-28,7,10,-11,-6.7
laško,1995,-27,-5,5,-27,...
laško,1996,-43,16,1,-26,...
laško,1997,-9,-16,-3,-28,-2
laško,1998,-46,8,4,-34,-2.4
laško,1999,-19,-29,0,-48,-3.4
laško,2000,-21,4,-6,-23,-1.7
laško,2001,-38,37,15,14,1
laško,2002,-31,-19,5,-45,-3.2
laško,2003,-49,9,-6,-46,-3.3
laško,2004,-40,-27,-7,-74,-5.4
laško,2005,-49,23,14,-12,-0.9
laško,2006,-45,-15,32,-28,-2
laško,2007,-3,1,72,70,5.1
laško,2008,-33,17,60,44,3.2
laško,2009,-76,71,26,21,1.5
laško,2010,-55,-67,-10,-132,-9.7
laško,2011,-19,-47,22,-44,-3.3
laško,2012,-38,-25,-36,-99,-7.4
laško,2013,-15,-75,7,-83,-6.2
laško,2014,-61,3,-13,-71,-5.3
laško,2015,-77,-3,-27,-107,-8.1
laško,2016,-4,-15,9,-10,-0.8
laško,2017,-76,20,-7,-63,-4.8
laško,2018,-40,-73,38,-75,-5.8
laško,2019,-39,29,68,58,4.5
laško,2020,-77,18,93,34,2.6
laško,2021,-100,10,-28,-118,-9
laško,2022,-68,-1,104,35,2.7
laško,2023,-85,37,41,-7,-0.5
lenart,1995,49,23,-8,64,...
lenart,1996,15,17,3,35,...
lenart,1997,-4,26,-7,15,0.8
lenart,1998,-10,74,11,75,4.2
lenart,1999,6,33,0,39,3.5
lenart,2000,-2,67,-1,64,5.6
lenart,2001,2,60,2,64,5.6
lenart,2002,-4,116,5,117,10.2
lenart,2003,-22,17,6,1,0.1
lenart,2004,10,51,1,62,5.4
lenart,2005,6,22,8,36,3.1
lenart,2006,-4,53,4,53,4.6
lenart,2007,4,31,13,48,6.6
lenart,2008,-10,273,-40,223,28.6
lenart,2009,-57,173,18,134,16.9
lenart,2010,-43,174,0,131,16.2
lenart,2011,-29,72,-3,40,4.9
lenart,2012,-15,4,-15,-26,-3.2
lenart,2013,-19,89,-15,55,6.8
lenart,2014,-45,68,-14,9,1.1
