obcina,leto,Basic or less,Education - TOTAL,Tertiary,Upper secondary
idrija,2013,3387,10210,1844,4979
idrija,2014,3354,10170,1951,4865
idrija,2015,3250,10132,1999,4883
idrija,2016,3125,10119,2066,4928
idrija,2017,3057,10061,2168,4836
idrija,2018,2976,10033,2187,4870
idrija,2019,2882,10029,2226,4921
idrija,2020,2915,10090,2264,4911
idrija,2021,2825,10024,2294,4905
idrija,2022,2775,10003,2337,4891
idrija,2023,2775,10053,2388,4890
idrija,2024,2730,10041,2432,4879
ig,2011,1580,5703,965,3158
ig,2012,1549,5758,1050,3159
ig,2013,1518,5853,1104,3231
ig,2014,1464,5841,1193,3184
ig,2015,1443,5900,1241,3216
ig,2016,1433,5934,1300,3201
ig,2017,1403,5985,1367,3215
ig,2018,1406,6030,1423,3201
ig,2019,1369,6102,1474,3259
ig,2020,1383,6215,1537,3295
ig,2021,1342,6237,1580,3315
ig,2022,1327,6300,1624,3349
ig,2023,1336,6335,1655,3344
ig,2024,1361,6443,1696,3386
ilirska bistrica,2011,4065,12203,1703,6435
ilirska bistrica,2012,3923,12168,1831,6414
ilirska bistrica,2013,3818,12134,1890,6426
ilirska bistrica,2014,3735,12033,1954,6344
ilirska bistrica,2015,3610,11950,2014,6326
ilirska bistrica,2016,3459,11821,2075,6287
ilirska bistrica,2017,3344,11706,2155,6207
ilirska bistrica,2018,3155,11525,2184,6186
ilirska bistrica,2019,3032,11512,2223,6257
ilirska bistrica,2020,2974,11484,2258,6252
ilirska bistrica,2021,2955,11551,2324,6272
ilirska bistrica,2022,2923,11573,2398,6252
ilirska bistrica,2023,2859,11563,2408,6296
ilirska bistrica,2024,2817,11571,2444,6310
ivančna gorica,2011,3849,12895,1972,7074
ivančna gorica,2012,3708,13084,2217,7159
ivančna gorica,2013,3554,13146,2347,7245
ivančna gorica,2014,3514,13250,2509,7227
ivančna gorica,2015,3370,13318,2690,7258
ivančna gorica,2016,3255,13353,2766,7332
ivančna gorica,2017,3163,13451,2961,7327
ivančna gorica,2018,3041,13570,3117,7412
ivančna gorica,2019,2948,13747,3261,7538
ivančna gorica,2020,2907,13909,3374,7628
ivančna gorica,2021,2935,14339,3535,7869
ivančna gorica,2022,2843,14348,3675,7830
ivančna gorica,2023,2788,14456,3788,7880
ivančna gorica,2024,2878,14800,3925,7997
izola/isola,2011,4173,13822,2494,7155
izola/isola,2012,4045,13931,2703,7183
izola/isola,2013,3922,13863,2780,7161
izola/isola,2014,3825,13736,2921,6990
izola/isola,2015,3694,13692,2998,7000
izola/isola,2016,3596,13741,3085,7060
izola/isola,2017,3487,13756,3243,7026
izola/isola,2018,3421,13752,3325,7006
izola/isola,2019,3408,13968,3440,7120
izola/isola,2020,3460,14140,3529,7151
izola/isola,2021,3477,14374,3655,7242
izola/isola,2022,3445,14274,3705,7124
izola/isola,2023,3424,14233,3686,7123
izola/isola,2024,3470,14257,3755,7032
jesenice,2011,6132,18589,2009,10448
jesenice,2012,5892,18471,2154,10425
jesenice,2013,5697,18330,2177,10456
jesenice,2014,5585,18215,2298,10332
jesenice,2015,5421,17994,2400,10173
jesenice,2016,5239,17859,2439,10181
jesenice,2017,5068,17755,2498,10189
jesenice,2018,4965,17760,2587,10208
jesenice,2019,4895,17923,2621,10407
jesenice,2020,5010,18226,2678,10538
jesenice,2021,5089,18493,2758,10646
jesenice,2022,5095,18602,2845,10662
jesenice,2023,5064,18725,2912,10749
jesenice,2024,5167,18830,2932,10731
jezersko,2011,148,563,97,318
jezersko,2012,135,544,103,306
jezersko,2013,133,542,105,304
jezersko,2014,136,555,117,302
jezersko,2015,131,545,123,291
jezersko,2016,119,529,122,288
jezersko,2017,111,527,123,293
jezersko,2018,106,527,123,298
jezersko,2019,106,538,129,303
jezersko,2020,104,530,131,295
jezersko,2021,112,568,148,308
jezersko,2022,103,556,158,295
jezersko,2023,104,559,161,294
jezersko,2024,104,560,162,294
juršinci,2011,924,2022,145,953
juršinci,2012,870,2019,164,985
juršinci,2013,858,2052,169,1025
juršinci,2014,810,2039,187,1042
juršinci,2015,785,2012,188,1039
juršinci,2016,755,2004,218,1031
juršinci,2017,732,2013,236,1045
juršinci,2018,713,2006,240,1053
juršinci,2019,683,1987,238,1066
juršinci,2020,657,1984,250,1077
juršinci,2021,657,2036,279,1100
juršinci,2022,674,2106,297,1135
juršinci,2023,686,2106,302,1118
juršinci,2024,658,2087,300,1129
kamnik,2011,7287,24381,4251,12843
kamnik,2012,6947,24294,4520,12827
kamnik,2013,6789,24339,4632,12918
kamnik,2014,6756,24424,4942,12726
kamnik,2015,6560,24385,5094,12731
kamnik,2016,6334,24346,5284,12728
kamnik,2017,6199,24380,5529,12652
kamnik,2018,6099,24454,5709,12646
kamnik,2019,6001,24627,5802,12824
kamnik,2020,5951,24874,5907,13016
kamnik,2021,5846,24957,6017,13094
kamnik,2022,5764,24851,6105,12982
kamnik,2023,5783,24999,6207,13009
kamnik,2024,5827,25155,6322,13006
kanal,2011,1253,4972,599,3120
kanal,2012,1207,4917,654,3056
kanal,2013,1166,4874,674,3034
kanal,2014,1134,4796,723,2939
kanal,2015,1098,4741,731,2912
kanal,2016,1060,4704,775,2869
kanal,2017,1005,4632,797,2830
kanal,2018,974,4603,813,2816
kanal,2019,953,4597,826,2818
kanal,2020,927,4597,847,2823
kanal,2021,897,4574,863,2814
kanal,2022,843,4519,892,2784
kanal,2023,841,4502,921,2740
kanal,2024,845,4427,906,2676
kidričevo,2011,1778,5772,718,3276
kidričevo,2012,1705,5763,785,3273
kidričevo,2013,1667,5737,806,3264
kidričevo,2014,1594,5685,874,3217
kidričevo,2015,1538,5614,913,3163
kidričevo,2016,1456,5554,960,3138
kidričevo,2017,1405,5524,1007,3112
kidričevo,2018,1346,5525,1024,3155
kidričevo,2019,1288,5519,1060,3171
kidričevo,2020,1267,5570,1078,3225
kidričevo,2021,1213,5548,1112,3223
kidričevo,2022,1191,5555,1150,3214
kidričevo,2023,1161,5591,1177,3253
kidričevo,2024,1155,5628,1221,3252
kobarid,2011,1312,3647,508,1827
kobarid,2012,1256,3617,537,1824
kobarid,2013,1227,3612,562,1823
kobarid,2014,1171,3570,597,1802
kobarid,2015,1125,3540,628,1787
kobarid,2016,1100,3545,646,1799
kobarid,2017,1054,3521,697,1770
kobarid,2018,1009,3507,728,1770
kobarid,2019,956,3486,742,1788
kobarid,2020,943,3470,759,1768
kobarid,2021,914,3458,784,1760
kobarid,2022,874,3466,808,1784
kobarid,2023,839,3462,815,1808
kobarid,2024,826,3465,825,1814
kobilje,2011,205,536,53,278
kobilje,2012,206,541,57,278
kobilje,2013,193,514,51,270
kobilje,2014,181,503,56,266
kobilje,2015,181,508,61,266
kobilje,2016,172,497,61,264
kobilje,2017,168,488,63,257
kobilje,2018,164,486,63,259
kobilje,2019,155,471,62,254
kobilje,2020,151,473,70,252
kobilje,2021,148,477,76,253
kobilje,2022,144,469,73,252
kobilje,2023,134,452,70,248
kobilje,2024,125,449,72,252
komen,2011,948,3058,514,1596
komen,2012,906,3080,550,1624
komen,2013,886,3062,552,1624
komen,2014,837,3058,609,1612
komen,2015,813,3065,640,1612
komen,2016,782,3034,648,1604
komen,2017,752,3046,686,1608
komen,2018,731,3045,711,1603
komen,2019,699,3033,733,1601
komen,2020,689,3022,737,1596
komen,2021,705,3125,788,1632
komen,2022,697,3127,818,1612
komen,2023,676,3106,812,1618
komen,2024,639,3062,815,1608
komenda,2011,1015,4380,919,2446
komenda,2012,1035,4533,1022,2476
komenda,2013,1016,4563,1064,2483
komenda,2014,1021,4668,1145,2502
komenda,2015,988,4702,1196,2518
komenda,2016,967,4750,1244,2539
komenda,2017,972,4825,1346,2507
komenda,2018,954,4886,1404,2528
komenda,2019,939,4956,1416,2601
komenda,2020,932,5054,1453,2669
komenda,2021,948,5122,1484,2690
komenda,2022,938,5171,1511,2722
komenda,2023,979,5332,1576,2777
komenda,2024,1001,5460,1651,2808
koper/capodistria,2011,13532,45832,8385,23915
koper/capodistria,2012,13079,45965,8980,23906
koper/capodistria,2013,12761,46002,9250,23991
koper/capodistria,2014,12653,46946,9858,24435
koper/capodistria,2015,11653,43705,9287,22765
koper/capodistria,2016,11296,43709,9604,22809
koper/capodistria,2017,11008,43873,10027,22838
koper/capodistria,2018,10800,44214,10296,23118
koper/capodistria,2019,10332,44558,10580,23646
koper/capodistria,2020,10257,44958,10832,23869
koper/capodistria,2021,10109,45478,11282,24087
koper/capodistria,2022,10031,45619,11520,24068
koper/capodistria,2023,10087,46087,11662,24338
koper/capodistria,2024,10134,46637,11955,24548
kostanjevica na krki,2011,690,2049,265,1094
kostanjevica na krki,2012,670,2058,292,1096
kostanjevica na krki,2013,653,2056,305,1098
kostanjevica na krki,2014,636,2042,331,1075
kostanjevica na krki,2015,635,2065,358,1072
kostanjevica na krki,2016,610,2042,367,1065
kostanjevica na krki,2017,578,2033,390,1065
kostanjevica na krki,2018,574,2050,399,1077
kostanjevica na krki,2019,564,2059,411,1084
kostanjevica na krki,2020,560,2057,420,1077
kostanjevica na krki,2021,532,2066,442,1092
kostanjevica na krki,2022,519,2074,456,1099
kostanjevica na krki,2023,516,2094,457,1121
kostanjevica na krki,2024,507,2095,471,1117
kostel,2011,188,596,92,316
kostel,2012,171,571,92,308
kostel,2013,165,580,96,319
kostel,2014,157,581,97,327
kostel,2015,151,577,103,323
kostel,2016,154,570,100,316
kostel,2017,146,569,111,312
kostel,2018,146,573,117,310
kostel,2019,134,569,120,315
kostel,2020,137,568,123,308
kostel,2021,145,624,149,330
kostel,2022,137,617,151,329
kostel,2023,130,570,132,308
kostel,2024,125,570,134,311
kozje,2011,1254,2779,267,1258
kozje,2012,1184,2753,292,1277
kozje,2013,1144,2725,300,1281
kozje,2014,1107,2672,322,1243
kozje,2015,1055,2654,342,1257
kozje,2016,1015,2651,361,1275
kozje,2017,993,2646,387,1266
kozje,2018,947,2611,383,1281
kozje,2019,907,2613,400,1306
kozje,2020,878,2571,414,1279
kozje,2021,871,2605,436,1298
kozje,2022,858,2610,450,1302
kozje,2023,813,2589,448,1328
kozje,2024,791,2577,461,1325
kočevje,2011,4882,14307,1722,7703
kočevje,2012,4747,14245,1874,7624
kočevje,2013,4558,14091,1895,7638
kočevje,2014,4458,13902,1938,7506
kočevje,2015,4277,13747,1996,7474
kočevje,2016,4137,13678,2066,7475
kočevje,2017,4069,13579,2107,7403
kočevje,2018,3981,13452,2146,7325
kočevje,2019,3863,13381,2175,7343
kočevje,2020,3783,13359,2214,7362
kočevje,2021,3722,13322,2261,7339
kočevje,2022,3609,13291,2345,7337
kočevje,2023,3605,13367,2345,7417
kočevje,2024,3622,13390,2356,7412
kranj,2011,12282,46945,9559,25104
kranj,2012,11969,47165,10270,24926
kranj,2013,11724,47054,10470,24860
kranj,2014,11540,46971,10946,24485
kranj,2015,11277,47080,11297,24506
kranj,2016,10915,47138,11609,24614
kranj,2017,10652,46999,12091,24256
kranj,2018,10477,46890,12284,24129
kranj,2019,10273,47140,12516,24351
kranj,2020,10667,47895,12699,24529
kranj,2021,10600,47954,12840,24514
kranj,2022,10377,47538,13106,24055
kranj,2023,10576,48065,13375,24114
kranj,2024,10600,48205,13579,24026
kranjska gora,2011,973,4687,889,2825
kranjska gora,2012,931,4712,973,2808
kranjska gora,2013,892,4687,982,2813
kranjska gora,2014,870,4721,1037,2814
kranjska gora,2015,832,4692,1067,2793
kranjska gora,2016,789,4662,1096,2777
kranjska gora,2017,775,4651,1144,2732
kranjska gora,2018,733,4592,1148,2711
kranjska gora,2019,726,4589,1166,2697
kranjska gora,2020,738,4615,1185,2692
kranjska gora,2021,848,6314,2337,3129
kranjska gora,2022,848,6616,2557,3211
kranjska gora,2023,740,5183,1653,2790
kranjska gora,2024,710,4681,1296,2675
križevci,2011,1299,3243,334,1610
križevci,2012,1271,3271,368,1632
križevci,2013,1231,3263,390,1642
križevci,2014,1175,3216,417,1624
križevci,2015,1152,3222,434,1636
križevci,2016,1105,3171,445,1621
križevci,2017,1080,3162,470,1612
križevci,2018,1017,3110,479,1614
križevci,2019,994,3118,506,1618
križevci,2020,964,3092,522,1606
križevci,2021,949,3113,530,1634
križevci,2022,921,3098,535,1642
križevci,2023,891,3109,566,1652
križevci,2024,858,3084,563,1663
krško,2011,7507,22080,3070,11503
krško,2012,7199,22025,3380,11446
krško,2013,7032,22144,3489,11623
krško,2014,6813,21914,3677,11424
krško,2015,6580,21849,3801,11468
krško,2016,6353,21800,3980,11467
krško,2017,6207,21732,4163,11362
krško,2018,6027,21696,4242,11427
krško,2019,5883,21813,4278,11652
krško,2020,5913,22000,4388,11699
krško,2021,5665,21695,4466,11564
krško,2022,5593,21658,4525,11540
krško,2023,5594,21800,4646,11560
krško,2024,5560,21873,4780,11533
kungota,2011,1272,4108,549,2287
kungota,2012,1234,4134,610,2290
kungota,2013,1186,4122,634,2302
kungota,2014,1165,4111,691,2255
kungota,2015,1130,4120,718,2272
kungota,2016,1059,4073,742,2272
kungota,2017,1036,4103,792,2275
kungota,2018,1011,4111,819,2281
kungota,2019,972,4073,839,2262
kungota,2020,974,4077,859,2244
kungota,2021,960,4165,899,2306
kungota,2022,933,4228,941,2354
kungota,2023,914,4269,961,2394
kungota,2024,946,4358,987,2425
kuzma,2011,678,1343,84,581
kuzma,2012,675,1379,109,595
kuzma,2013,627,1355,109,619
kuzma,2014,623,1356,121,612
kuzma,2015,636,1378,132,610
kuzma,2016,619,1353,135,599
kuzma,2017,605,1350,150,595
kuzma,2018,583,1315,142,590
kuzma,2019,589,1340,154,597
kuzma,2020,561,1335,164,610
kuzma,2021,558,1382,177,647
kuzma,2022,564,1408,183,661
kuzma,2023,552,1409,194,663
kuzma,2024,548,1404,185,671
laško,2011,4294,11680,1393,5993
laško,2012,4121,11605,1501,5983
laško,2013,3968,11521,1559,5994
laško,2014,3854,11436,1649,5933
laško,2015,3763,11403,1744,5896
laško,2016,3634,11320,1829,5857
laško,2017,3520,11296,1924,5852
laško,2018,3439,11261,1981,5841
laško,2019,3286,11197,2006,5905
laško,2020,3220,11251,2084,5947
laško,2021,3128,11262,2136,5998
laško,2022,2953,11126,2220,5953
laško,2023,2962,11159,2276,5921
laško,2024,2940,11179,2342,5897
lenart,2011,2317,7042,978,3747
lenart,2012,2209,7038,1075,3754
lenart,2013,2124,6983,1140,3719
lenart,2014,2098,7024,1196,3730
lenart,2015,1997,7005,1251,3757
lenart,2016,1997,7051,1269,3785
lenart,2017,1934,7020,1353,3733
lenart,2018,1909,7057,1382,3766
lenart,2019,1862,7193,1405,3926
lenart,2020,1818,7243,1477,3948
lenart,2021,1774,7259,1502,3983
lenart,2022,1702,7282,1550,4030
lenart,2023,1692,7353,1584,4077
lenart,2024,1688,7363,1611,4064
lendava/lendva,2011,3463,9798,1364,4971
lendava/lendva,2012,3394,9805,1459,4952
lendava/lendva,2013,3188,9549,1468,4893
lendava/lendva,2014,3094,9450,1506,4850
lendava/lendva,2015,2996,9396,1550,4850
lendava/lendva,2016,2899,9360,1606,4855
lendava/lendva,2017,2789,9335,1683,4863
lendava/lendva,2018,2709,9228,1687,4832
lendava/lendva,2019,2623,9207,1717,4867
lendava/lendva,2020,2565,9220,1717,4938
lendava/lendva,2021,2504,9283,1774,5005
lendava/lendva,2022,2409,9110,1763,4938
lendava/lendva,2023,2315,8987,1798,4874
lendava/lendva,2024,2290,8965,1807,4868
litija,2011,3988,12575,1682,6905
litija,2012,3886,12586,1855,6845
litija,2013,3860,12687,1941,6886
litija,2014,3838,12718,2097,6783
litija,2015,3731,12734,2186,6817
litija,2016,3624,12778,2300,6854
litija,2017,3519,12815,2427,6869
litija,2018,3465,12866,2508,6893
litija,2019,3336,12883,2586,6961
litija,2020,3273,12988,2647,7068
litija,2021,3274,13166,2685,7207
litija,2022,3273,13177,2742,7162
litija,2023,3218,13257,2853,7186
litija,2024,3250,13368,2936,7182
ljubljana,2011,51805,242947,66108,125034
ljubljana,2012,49526,242709,70084,123099
ljubljana,2013,48294,244301,72538,123469
ljubljana,2014,47418,246376,76207,122751
ljubljana,2015,46466,246903,78842,121595
ljubljana,2016,45452,247419,81328,120639
ljubljana,2017,44273,247520,84902,118345
ljubljana,2018,43130,247610,86544,117936
ljubljana,2019,42307,250619,89094,119218
ljubljana,2020,42297,252830,90353,120180
ljubljana,2021,42079,252727,91422,119226
ljubljana,2022,41533,251280,92004,117743
ljubljana,2023,42093,253807,94308,117406
ljubljana,2024,42749,255783,96298,116736
ljubno,2011,859,2253,261,1133
ljubno,2012,835,2265,286,1144
ljubno,2013,813,2255,294,1148
ljubno,2014,779,2234,320,1135
ljubno,2015,761,2217,328,1128
ljubno,2016,742,2229,347,1140
ljubno,2017,703,2200,369,1128
ljubno,2018,674,2170,380,1116
ljubno,2019,629,2153,393,1131
ljubno,2020,588,2148,400,1160
ljubno,2021,581,2162,401,1180
ljubno,2022,563,2130,415,1152
ljubno,2023,545,2126,435,1146
ljubno,2024,538,2108,424,1146
ljutomer,2011,3592,10128,1254,5282
ljutomer,2012,3451,10102,1373,5278
ljutomer,2013,3347,10018,1399,5272
ljutomer,2014,3257,9942,1459,5226
ljutomer,2015,3146,9905,1515,5244
ljutomer,2016,3058,9874,1575,5241
ljutomer,2017,2943,9776,1644,5189
ljutomer,2018,2882,9751,1665,5204
ljutomer,2019,2784,9700,1693,5223
ljutomer,2020,2752,9717,1733,5232
ljutomer,2021,2674,9704,1785,5245
ljutomer,2022,2608,9634,1833,5193
ljutomer,2023,2554,9580,1851,5175
ljutomer,2024,2518,9593,1859,5216
log - dragomer,2011,532,3020,813,1675
log - dragomer,2012,507,3043,861,1675
log - dragomer,2013,500,3058,882,1676
log - dragomer,2014,493,3049,919,1637
log - dragomer,2015,485,3058,944,1629
log - dragomer,2016,486,3039,954,1599
log - dragomer,2017,495,3095,1007,1593
log - dragomer,2018,480,3083,1032,1571
log - dragomer,2019,486,3125,1054,1585
log - dragomer,2020,469,3133,1061,1603
log - dragomer,2021,466,3107,1039,1602
log - dragomer,2022,450,3142,1060,1632
log - dragomer,2023,465,3233,1106,1662
log - dragomer,2024,463,3285,1157,1665
logatec,2011,3321,10876,1946,5609
logatec,2012,3209,11041,2152,5680
logatec,2013,3174,11228,2245,5809
logatec,2014,3151,11228,2378,5699
logatec,2015,3091,11278,2476,5711
logatec,2016,2994,11291,2602,5695
logatec,2017,2927,11299,2700,5672
logatec,2018,2877,11406,2777,5752
logatec,2019,2772,11516,2892,5852
logatec,2020,2725,11706,2987,5994
logatec,2021,2729,11941,3142,6070
logatec,2022,2665,11948,3182,6101
logatec,2023,2785,12263,3299,6179
logatec,2024,2746,12317,3391,6180
lovrenc na pohorju,2011,944,2677,304,1429
lovrenc na pohorju,2012,912,2687,330,1445
lovrenc na pohorju,2013,892,2669,354,1423
lovrenc na pohorju,2014,871,2684,371,1442
lovrenc na pohorju,2015,848,2675,384,1443
lovrenc na pohorju,2016,817,2650,401,1432
lovrenc na pohorju,2017,779,2635,423,1433
lovrenc na pohorju,2018,762,2604,430,1412
lovrenc na pohorju,2019,717,2567,436,1414
lovrenc na pohorju,2020,684,2556,443,1429
lovrenc na pohorju,2021,656,2570,452,1462
lovrenc na pohorju,2022,628,2541,451,1462
lovrenc na pohorju,2023,609,2530,466,1455
lovrenc na pohorju,2024,620,2548,483,1445
loška dolina,2011,1166,3283,473,1644
loška dolina,2012,1143,3283,510,1630
loška dolina,2013,1114,3262,519,1629
loška dolina,2014,1108,3269,525,1636
loška dolina,2015,1090,3275,540,1645
loška dolina,2016,1059,3280,560,1661
loška dolina,2017,1061,3287,582,1644
loška dolina,2018,994,3190,579,1617
loška dolina,2019,988,3211,585,1638
loška dolina,2020,979,3229,596,1654
loška dolina,2021,945,3191,588,1658
loška dolina,2022,868,3125,605,1652
loška dolina,2023,833,3083,612,1638
loška dolina,2024,814,3061,619,1628
loški potok,2011,744,1710,145,821
loški potok,2012,703,1696,161,832
loški potok,2013,666,1661,165,830
loški potok,2014,622,1638,177,839
loški potok,2015,604,1632,188,840
loški potok,2016,583,1618,203,832
loški potok,2017,558,1613,213,842
loški potok,2018,538,1588,214,836
loški potok,2019,513,1559,214,832
loški potok,2020,494,1549,222,833
loški potok,2021,483,1568,231,854
loški potok,2022,450,1551,239,862
loški potok,2023,444,1536,248,844
loški potok,2024,428,1532,254,850
lukovica,2011,1439,4458,538,2481
lukovica,2012,1418,4522,623,2481
lukovica,2013,1400,4562,650,2512
lukovica,2014,1391,4609,704,2514
lukovica,2015,1379,4653,738,2536
lukovica,2016,1341,4683,792,2550
lukovica,2017,1295,4703,869,2539
lukovica,2018,1255,4720,894,2571
lukovica,2019,1191,4744,927,2626
lukovica,2020,1179,4806,961,2666
lukovica,2021,1147,4783,1000,2636
lukovica,2022,1116,4841,1051,2674
lukovica,2023,1110,4885,1084,2691
lukovica,2024,1127,4999,1140,2732
majšperk,2011,1282,3502,386,1834
majšperk,2012,1217,3464,440,1807
majšperk,2013,1170,3427,446,1811
majšperk,2014,1131,3376,479,1766
majšperk,2015,1114,3390,505,1771
majšperk,2016,1071,3415,524,1820
majšperk,2017,1035,3437,576,1826
majšperk,2018,1002,3434,569,1863
majšperk,2019,973,3470,602,1895
majšperk,2020,946,3473,623,1904
majšperk,2021,927,3481,645,1909
majšperk,2022,900,3431,656,1875
majšperk,2023,857,3407,670,1880
majšperk,2024,849,3437,692,1896
makole,2011,708,1799,180,911
makole,2012,680,1801,198,923
makole,2013,655,1753,199,899
makole,2014,648,1741,216,877
makole,2015,628,1754,229,897
makole,2016,617,1752,238,897
makole,2017,605,1747,241,901
makole,2018,584,1745,251,910
makole,2019,560,1740,264,916
makole,2020,538,1738,272,928
makole,2021,511,1768,275,982
makole,2022,491,1768,291,986
makole,2023,473,1751,305,973
makole,2024,467,1747,322,958
maribor,2011,21871,99072,20429,56772
maribor,2012,20830,98862,21871,56161
maribor,2013,20063,98608,22576,55969
maribor,2014,19534,99074,23919,55621
maribor,2015,18983,99071,24536,55552
maribor,2016,18291,98437,25169,54977
maribor,2017,17743,97375,25920,53712
maribor,2018,17255,96955,26338,53362
maribor,2019,16942,97949,26894,54113
maribor,2020,16887,98330,27185,54258
maribor,2021,16922,99260,27572,54766
maribor,2022,16641,98658,27692,54325
maribor,2023,16781,98691,28010,53900
maribor,2024,16919,99517,28613,53985
markovci,2011,1195,3451,352,1904
markovci,2012,1142,3452,382,1928
markovci,2013,1089,3461,404,1968
markovci,2014,1068,3420,442,1910
markovci,2015,1006,3408,472,1930
markovci,2016,969,3421,512,1940
markovci,2017,922,3399,542,1935
markovci,2018,885,3371,556,1930
markovci,2019,829,3368,591,1948
markovci,2020,804,3399,605,1990
markovci,2021,791,3413,622,2000
markovci,2022,769,3413,650,1994
markovci,2023,753,3472,669,2050
markovci,2024,724,3486,665,2097
medvode,2011,3137,13209,2774,7298
medvode,2012,3022,13253,2975,7256
medvode,2013,3022,13356,3075,7259
medvode,2014,2950,13336,3212,7174
medvode,2015,2887,13412,3350,7175
medvode,2016,2796,13427,3494,7137
medvode,2017,2716,13615,3754,7145
medvode,2018,2670,13704,3884,7150
medvode,2019,2582,13843,4041,7220
medvode,2020,2577,14032,4156,7299
medvode,2021,2558,14016,4226,7232
medvode,2022,2489,13995,4310,7196
medvode,2023,2499,14253,4492,7262
medvode,2024,2491,14403,4632,7280
mengeš,2011,1535,6227,1176,3516
mengeš,2012,1500,6231,1251,3480
mengeš,2013,1466,6272,1328,3478
mengeš,2014,1456,6330,1442,3432
mengeš,2015,1428,6326,1489,3409
mengeš,2016,1408,6367,1567,3392
mengeš,2017,1422,6423,1656,3345
mengeš,2018,1390,6540,1752,3398
mengeš,2019,1370,6678,1836,3472
mengeš,2020,1379,6839,1930,3530
mengeš,2021,1400,6965,2001,3564
mengeš,2022,1412,7029,2032,3585
mengeš,2023,1421,7096,2076,3599
mengeš,2024,1447,7216,2147,3622
metlika,2011,2332,7162,895,3935
metlika,2012,2273,7176,1001,3902
metlika,2013,2225,7159,1023,3911
metlika,2014,2231,7168,1064,3873
metlika,2015,2166,7160,1094,3900
metlika,2016,2097,7154,1162,3895
metlika,2017,2043,7125,1209,3873
metlika,2018,1983,7124,1235,3906
metlika,2019,1910,7139,1252,3977
metlika,2020,1909,7244,1284,4051
metlika,2021,1876,7249,1329,4044
metlika,2022,1831,7213,1360,4022
metlika,2023,1774,7214,1408,4032
metlika,2024,1736,7201,1453,4012
mežica,2011,954,3202,430,1818
mežica,2012,897,3165,453,1815
mežica,2013,875,3150,463,1812
mežica,2014,842,3147,488,1817
mežica,2015,822,3153,497,1834
mežica,2016,795,3137,505,1837
mežica,2017,768,3110,525,1817
mežica,2018,747,3078,531,1800
mežica,2019,724,3100,543,1833
mežica,2020,723,3129,549,1857
mežica,2021,712,3116,570,1834
mežica,2022,693,3079,588,1798
mežica,2023,668,3076,590,1818
mežica,2024,674,3090,593,1823
miklavž na dravskem polju,2011,1268,5446,836,3342
miklavž na dravskem polju,2012,1240,5534,925,3369
miklavž na dravskem polju,2013,1177,5523,966,3380
miklavž na dravskem polju,2014,1162,5542,1032,3348
miklavž na dravskem polju,2015,1124,5518,1062,3332
miklavž na dravskem polju,2016,1083,5560,1113,3364
miklavž na dravskem polju,2017,1050,5592,1186,3356
miklavž na dravskem polju,2018,1040,5585,1199,3346
miklavž na dravskem polju,2019,1003,5743,1258,3482
miklavž na dravskem polju,2020,1023,5919,1282,3614
miklavž na dravskem polju,2021,1029,5982,1298,3655
miklavž na dravskem polju,2022,1020,6026,1336,3670
miklavž na dravskem polju,2023,1017,6120,1383,3720
miklavž na dravskem polju,2024,1040,6175,1429,3706
miren - kostanjevica,2011,1251,4180,639,2290
miren - kostanjevica,2012,1223,4203,694,2286
miren - kostanjevica,2013,1179,4180,728,2273
miren - kostanjevica,2014,1160,4171,771,2240
miren - kostanjevica,2015,1133,4159,808,2218
miren - kostanjevica,2016,1100,4154,848,2206
miren - kostanjevica,2017,1050,4158,913,2195
miren - kostanjevica,2018,1030,4157,914,2213
miren - kostanjevica,2019,986,4198,950,2262
miren - kostanjevica,2020,979,4213,971,2263
miren - kostanjevica,2021,997,4277,1003,2277
miren - kostanjevica,2022,996,4326,1042,2288
miren - kostanjevica,2023,987,4336,1057,2292
miren - kostanjevica,2024,979,4332,1047,2306
mirna,2011,-,-,-,-
mirna,2012,606,2226,379,1241
mirna,2013,580,2205,390,1235
mirna,2014,583,2186,405,1198
mirna,2015,550,2152,428,1174
mirna,2016,526,2131,450,1155
mirna,2017,512,2153,479,1162
mirna,2018,506,2177,502,1169
mirna,2019,492,2207,510,1205
mirna,2020,471,2205,515,1219
mirna,2021,459,2235,533,1243
mirna,2022,458,2239,553,1228
mirna,2023,450,2240,548,1242
mirna,2024,453,2279,583,1243
mirna peč,2011,809,2335,310,1216
mirna peč,2012,787,2371,345,1239
mirna peč,2013,745,2358,356,1257
mirna peč,2014,730,2393,395,1268
mirna peč,2015,704,2374,416,1254
mirna peč,2016,695,2409,455,1259
mirna peč,2017,689,2424,481,1254
mirna peč,2018,676,2441,494,1271
mirna peč,2019,641,2446,525,1280
mirna peč,2020,616,2440,534,1290
mirna peč,2021,597,2470,545,1328
mirna peč,2022,604,2505,578,1323
mirna peč,2023,605,2553,610,1338
mirna peč,2024,605,2597,633,1359
mislinja,2011,1347,3980,548,2085
mislinja,2012,1277,3937,583,2077
mislinja,2013,1244,3957,608,2105
mislinja,2014,1217,3930,653,2060
mislinja,2015,1153,3910,673,2084
mislinja,2016,1132,3912,720,2060
mislinja,2017,1084,3877,755,2038
mislinja,2018,1047,3879,765,2067
mislinja,2019,995,3862,787,2080
mislinja,2020,972,3879,831,2076
mislinja,2021,938,3844,841,2065
mislinja,2022,922,3867,861,2084
mislinja,2023,914,3863,877,2072
