obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
bovec,2015,9634.35,6516.08,457.05,2403.81,257.4
bovec,2016,10101.03,6910.76,447.33,2476.29,266.64
bovec,2017,10707.53,7500.68,458.46,2511.77,236.61
bovec,2018,11129.44,7790.46,468.8,2580.72,289.46
bovec,2019,11688.49,8307.1,z,2631.86,z
bovec,2020,12662.44,8945.88,543.07,2820.43,353.06
bovec,2021,13880.08,9999.91,525.97,3074.12,280.08
bovec,2022,15235.53,10399.11,z,3372.13,z
bovec,2023,16275.27,11555.42,560.85,3466.99,692.01
braslovče,2014,11111.42,8191.26,578.76,1993.86,347.54
braslovče,2015,11534.5,8400.45,z,2014.6,z
braslovče,2016,11766.13,8774.76,604.62,2033.27,353.48
braslovče,2017,12103.02,9143.54,558.99,2084.56,315.93
braslovče,2018,13485.2,9833.96,z,2147.85,z
braslovče,2019,14602.82,10473.5,z,2229.98,z
braslovče,2020,14308.56,10885.58,687.68,2409.15,326.16
braslovče,2021,15534.25,11928.27,667.15,2532.15,406.68
braslovče,2022,17094.11,12697.61,z,2774.38,z
braslovče,2023,19021.83,14278.31,1147.2,2938.62,657.7
brda,2014,10138.17,7205.39,441.13,2138.9,352.74
brda,2015,10287.2,7291.83,455.06,2156.42,383.88
brda,2016,10392.25,7549.34,457.81,2201.71,183.38
brda,2017,10885.24,7980.14,479.84,2246.78,178.48
brda,2018,11681.77,8564.51,509.46,2364.13,243.68
brda,2019,12125.8,8861.14,507.98,2477.49,279.19
brda,2020,12540.02,9065.8,577.63,2647.36,249.23
brda,2021,13361.95,9724.17,558.67,2821,258.11
brda,2022,14619.98,10428.84,618.79,3117.2,455.15
brda,2023,16021.69,11704.89,631.22,3297.89,387.69
brezovica,2014,11926.69,8932.47,499.83,2016.99,477.4
brezovica,2015,12030.42,9083.73,502.54,2025.91,418.24
brezovica,2016,12505.04,9523.76,517.55,2002.3,461.43
brezovica,2017,12940.31,9962.56,512.1,2046.9,418.75
brezovica,2018,13685.6,10494.97,559.21,2106.23,525.19
brezovica,2019,14685.26,11147.65,573.98,2147.88,815.75
brezovica,2020,14652.37,11258.75,653.28,2306.92,433.41
brezovica,2021,15927.37,12350.95,651.72,2423.21,501.49
brezovica,2022,17559.28,13436.99,677.23,2633.01,812.04
brezovica,2023,19255.01,14927.28,714.81,2794.35,818.58
brežice,2014,9802.95,6904.53,558.72,2044.26,295.44
brežice,2015,9988.67,7036.82,566.52,2045.14,340.19
brežice,2016,10364.96,7389.56,585.71,2077.26,312.43
brežice,2017,10773.35,7787.08,571.99,2129.46,284.82
brežice,2018,11520.07,8359.88,610.4,2214.15,335.64
brežice,2019,12264.7,9014.38,650.79,2303.02,296.51
brežice,2020,12729.43,9278.7,705.89,2466.93,277.9
brežice,2021,13807.55,10188.93,726.27,2606.53,285.82
brežice,2022,15023.29,10963.92,776.48,2795.84,487.06
brežice,2023,16703,12501.36,775.43,2955.9,470.31
cankova,2014,8681.09,6475.71,614.55,1453.61,137.21
cankova,2015,8952.47,6715.32,607.94,1487.85,141.35
cankova,2016,9433.47,7026.52,687.42,1534.37,185.16
cankova,2017,8736.75,6345.06,692.5,1610.3,88.89
cankova,2018,9222.22,6704.78,725.67,1711.75,80.03
cankova,2019,9564.86,6846.08,791.63,1819.31,107.84
cankova,2020,10959.01,7791.93,929.68,2140.91,96.49
cankova,2021,11258.66,8024.49,887.39,2286.54,60.25
cankova,2022,12504.93,8930.27,960.6,2473.1,140.96
cankova,2023,13727.2,9927.93,987.9,2656.88,154.49
celje,2014,10691.98,7422.78,663.94,2252.5,352.77
celje,2015,10734.23,7520.21,681.83,2237.72,294.48
celje,2016,11095.32,7881.03,688.16,2238.1,288.03
celje,2017,11648.28,8368.82,689.81,2253.31,336.33
celje,2018,12318.88,8932.24,714.19,2319.29,353.16
celje,2019,13190.9,9487.17,775.44,2398.09,530.19
celje,2020,13403.13,9731.43,821.22,2566.31,284.17
celje,2021,14461.54,10565.2,827.32,2702.38,366.64
celje,2022,15740.39,11425.88,869.52,2929.65,515.33
celje,2023,17335.22,12770.14,897.19,3040.67,627.22
cerklje na gorenjskem,2014,10835.19,8211.46,492.56,1680.06,451.11
cerklje na gorenjskem,2015,10990.08,8321.05,512.94,1795.41,360.68
cerklje na gorenjskem,2016,11519.1,8808.75,516.28,1843.03,351.04
cerklje na gorenjskem,2017,12033.2,9228.79,567.8,1873.95,362.66
cerklje na gorenjskem,2018,12881.53,9852.35,574.15,1947.96,507.07
cerklje na gorenjskem,2019,13780.13,10446.37,z,1990.35,z
cerklje na gorenjskem,2020,14181.04,10547.63,z,2152.12,z
cerklje na gorenjskem,2021,15183.03,11719.73,691.4,2289.39,482.51
cerklje na gorenjskem,2022,16451.8,12450.07,760.22,2516.77,724.74
cerklje na gorenjskem,2023,17952.34,13837.09,795.59,2718.9,600.75
cerknica,2014,10809.7,8003,582.28,1972.7,251.73
cerknica,2015,10950.66,8174.17,570.76,1989.49,216.24
cerknica,2016,11312.53,8407.12,570.59,2005.21,329.61
cerknica,2017,11667.84,8737.81,601.48,2080.43,248.13
cerknica,2018,12314.4,9306.18,605.79,2149.9,252.53
cerknica,2019,13074.54,9963.04,624.56,2234.4,252.54
cerknica,2020,13491.66,10184.3,661.18,2403.03,243.14
cerknica,2021,14769.36,11274.54,658.85,2552.76,283.21
cerknica,2022,15854.18,11948.42,734.79,2771.06,399.91
cerknica,2023,17553.19,13331.2,750.73,2946.67,524.59
cerkno,2014,11061.83,8134.4,451.76,2175.87,299.8
cerkno,2015,11966.71,8294.47,z,2221.58,z
cerkno,2016,11352.72,8354.51,525.52,2262.47,210.22
cerkno,2017,11689.41,8627.72,519.81,2357.11,184.77
cerkno,2018,12247.42,9056.53,z,2436.08,z
cerkno,2019,12793.01,9436.68,542.22,2568.85,245.27
cerkno,2020,13058.13,9496.88,561.7,2836.59,162.95
cerkno,2021,14241.54,10494.38,575.62,2990.53,181
cerkno,2022,15429.83,11327.74,661.67,3224.69,215.73
cerkno,2023,16820.86,12266.08,661.79,3425.62,467.38
cerkvenjak,2014,8661.9,6987.27,548.3,992.24,134.09
cerkvenjak,2015,8952.51,7227.33,590.68,1010.1,124.39
cerkvenjak,2016,9071.27,7260.32,569.17,1104.76,137.03
cerkvenjak,2017,9205.03,7251.1,z,1133.89,z
cerkvenjak,2018,9646.78,7729.11,z,1174.87,z
cerkvenjak,2019,10076.62,8058.28,677.7,z,z
cerkvenjak,2020,12178.99,9900.05,715.62,z,z
cerkvenjak,2021,13084.55,10524.26,z,1537.07,z
cerkvenjak,2022,14586.65,11866.3,733.3,z,z
cerkvenjak,2023,16476.13,13347.71,z,1698.98,z
cirkulane,2014,8989.2,6653.89,z,1293.06,z
cirkulane,2015,9094.92,6962.34,625.6,1362.8,144.18
cirkulane,2016,9831.71,7537.89,634.66,1397.62,261.54
cirkulane,2017,10227.2,7997.05,627.4,1466.56,136.19
cirkulane,2018,11190.61,8804.86,699,1537.17,149.58
cirkulane,2019,11741.91,9146.41,z,1689.16,z
cirkulane,2020,12300.76,9341.44,849.15,z,z
cirkulane,2021,13484.9,10485.16,z,2007.48,z
cirkulane,2022,14385.49,11258.66,832.44,2144.24,150.15
cirkulane,2023,16026.24,12721.71,822.54,2324.64,157.36
destrnik,2014,9220.84,7048.15,z,1294.03,z
destrnik,2015,9217.23,7169.99,z,1337.9,z
destrnik,2016,9730.31,7577.26,z,1387.08,z
destrnik,2017,10082.71,7919.04,z,1427.1,z
destrnik,2018,10981.25,8424.42,z,1513.11,z
destrnik,2019,11386.16,8823.71,z,1569.49,z
destrnik,2020,11895.6,9347.4,700.53,z,z
destrnik,2021,13230.7,10395.56,z,1816.09,z
destrnik,2022,14342.1,11397.12,z,1987.01,z
destrnik,2023,15807.23,12493.68,z,2145.05,z
divača,2014,10898.21,7958.82,494.67,2118.82,325.9
divača,2015,11116.51,8199.77,491,2121.98,303.75
divača,2016,11437.53,8501.07,518.84,2150.71,266.91
divača,2017,12192.61,8770.12,z,2133.21,z
divača,2018,12513.23,9512.89,536.09,2149.23,315.02
divača,2019,13221.74,10205.82,594.56,2215.41,205.96
divača,2020,13479.01,10228.13,683.87,2383.1,183.91
divača,2021,14228.21,10872.95,662.3,2512.74,180.23
