obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
hajdina,2023,16572.06,12690.89,669.91,2766.74,444.52
hodoš/hodos,2014,7225.68,4482.67,z,1601.76,z
hodoš/hodos,2015,7125.76,4256.67,z,1652.26,z
hodoš/hodos,2016,7513.54,4533.38,z,1775.28,z
hodoš/hodos,2017,7230.94,4206.88,z,1838.92,z
hodoš/hodos,2018,7721.57,4355.3,z,2073.48,z
hodoš/hodos,2019,8363.5,4494.38,z,2203.8,z
hodoš/hodos,2020,9376.55,5150.93,z,2760.87,z
hodoš/hodos,2021,9361.49,5211.33,z,2847.35,z
hodoš/hodos,2022,10704.65,5907.3,z,3114.85,z
hodoš/hodos,2023,11690.99,6706.06,z,3178.03,z
horjul,2014,11388.01,8295.91,528.87,2076.08,487.16
horjul,2015,11445.66,8371.82,546.08,2110.96,416.8
horjul,2016,11767.19,8601.86,566.04,2128.35,470.94
horjul,2017,12002.16,8736.77,599.21,2199.93,466.25
horjul,2018,12860.02,9325.59,z,2267.37,z
horjul,2019,13179.24,9786.69,599.11,2353.31,440.14
horjul,2020,13597.97,9969.95,674.48,2497.68,455.86
horjul,2021,14849.61,10889.44,728.94,2776.34,454.9
horjul,2022,15952.43,11480.05,815.1,2998.58,658.69
horjul,2023,17449.87,12798.92,z,3142.04,z
hoče - slivnica,2014,10330.97,7476.36,574.76,1967.79,312.06
hoče - slivnica,2015,10535.59,7742.85,536.4,1959.5,296.84
hoče - slivnica,2016,10992.36,8096.16,542.46,2061.76,291.97
hoče - slivnica,2017,11543.87,8496.98,566.56,2073.58,406.75
hoče - slivnica,2018,12277.27,9172.06,571.16,2092.28,441.77
hoče - slivnica,2019,13290.4,9786.44,648.29,2188.86,666.82
hoče - slivnica,2020,13521.58,10030.16,721.33,2411.83,358.25
hoče - slivnica,2021,14550.77,10882.12,695.15,2542.53,430.98
hoče - slivnica,2022,15695.23,11540.16,738.16,2822.37,594.55
hoče - slivnica,2023,17140.22,13009.41,741.95,2971.54,417.32
hrastnik,2014,9975.69,6577.05,626.91,2624.16,147.58
hrastnik,2015,10152.83,6763.58,620.05,2636.78,132.41
hrastnik,2016,10494.76,7089.01,616.44,2664.69,124.63
hrastnik,2017,10980.86,7504.18,602.93,2707.29,166.47
hrastnik,2018,11610.64,8000.8,z,2779.92,z
hrastnik,2019,12317.35,8638.05,659.52,2885.49,134.29
hrastnik,2020,12684.88,8742.28,z,3103.45,z
hrastnik,2021,13587.21,9485.39,707.86,3260.83,133.14
hrastnik,2022,14865.52,10377.36,784.98,3511.84,191.35
hrastnik,2023,16472.38,11761.7,758.75,3682.31,269.61
hrpelje - kozina,2014,10586.8,7687.02,485.79,1994.2,419.79
hrpelje - kozina,2015,10650.63,7797.45,495.85,2003.18,354.15
hrpelje - kozina,2016,11233.94,8221.45,476.27,2051.25,484.96
hrpelje - kozina,2017,11571.33,8647.21,497.85,2071.77,354.5
hrpelje - kozina,2018,12048.62,9120.88,504.81,2147,275.93
hrpelje - kozina,2019,12868.12,9862.65,566.36,2172.76,266.34
hrpelje - kozina,2020,13206.15,10061.22,652.29,2263.04,229.61
hrpelje - kozina,2021,14516.02,11289.57,586.91,2369.91,269.64
hrpelje - kozina,2022,15505.97,11993.23,673.85,2507.23,331.65
hrpelje - kozina,2023,17336.23,13451.88,704.44,2689.86,490.05
idrija,2014,11776.32,8354.88,538.28,2399.49,483.66
idrija,2015,11858.1,8473.69,530.66,2399.85,453.9
idrija,2016,12224.61,8834.48,522.3,2436.19,431.64
idrija,2017,12693.89,9271.03,511.22,2482.7,428.95
idrija,2018,13496.65,9796.82,529.36,2574.57,595.9
idrija,2019,13952.42,10148.75,573.46,2652.41,577.8
idrija,2020,13937.53,10111.86,636.03,2857.43,332.21
idrija,2021,15381.55,11266.02,646.05,3030.52,438.96
idrija,2022,16799.47,12278.42,674.1,3284.11,562.84
idrija,2023,18166.43,13198.05,658.82,3498.93,810.63
ig,2014,10943.07,8050.39,600.6,1987.59,304.49
ig,2015,11104.56,8275.84,548.09,2002.58,278.04
ig,2016,11337.47,8464.65,575.22,2012.69,284.9
ig,2017,11770.07,8794.29,663.04,2038.75,273.98
ig,2018,12378.33,9365.68,663.13,2065.27,284.25
ig,2019,13466.62,10117.58,748.14,2120.68,480.22
ig,2020,13888.3,10405.39,790.05,2287.09,405.77
ig,2021,14722.81,11178.82,799.93,2414.13,329.94
ig,2022,16000.88,12160.75,779.81,2588.84,471.47
ig,2023,17741.23,13570.49,789.99,2731.03,649.72
ilirska bistrica,2014,10147.58,7158.72,537.56,2218.85,232.45
ilirska bistrica,2015,10347.18,7340.24,551.2,2237.86,217.89
ilirska bistrica,2016,10777.79,7694.88,546.94,2268.53,267.45
ilirska bistrica,2017,11195.37,8099.75,591.33,2314.74,189.55
ilirska bistrica,2018,11731.38,8562.74,589.35,2374.03,205.26
ilirska bistrica,2019,12564.61,9210.52,618.01,2471.05,265.02
ilirska bistrica,2020,12944.15,9440.35,664.08,2659.81,179.9
ilirska bistrica,2021,13966.57,10344.91,674.46,2785.98,161.22
ilirska bistrica,2022,15085.5,11104.16,709.59,3019.28,252.47
ilirska bistrica,2023,16721.42,12444.27,709.85,3218.79,348.51
ivančna gorica,2014,11110,8514,573.88,1644.31,377.81
ivančna gorica,2015,11308.92,8784.69,564.94,1651.82,307.47
ivančna gorica,2016,11662.06,9043.34,577.23,1654.7,386.8
ivančna gorica,2017,12183.45,9472.73,578.69,1701.5,430.52
ivančna gorica,2018,12905.16,10160.82,613.17,1738.7,392.48
ivančna gorica,2019,14023.76,10868.16,z,1794.72,z
ivančna gorica,2020,14361.06,11049.54,z,1966.92,z
ivančna gorica,2021,15235.81,11844.28,z,2088.23,z
ivančna gorica,2022,16570.98,12830.52,748.51,2257.83,734.13
ivančna gorica,2023,18322.6,14413.57,788.66,2382.28,738.09
izola/isola,2014,10774.79,7427.35,530.78,2248.87,567.8
izola/isola,2015,10896.51,7503.52,537.1,2283.89,572
izola/isola,2016,11262.13,7842.1,551.1,2346.38,522.54
izola/isola,2017,11622.63,8188.69,555.98,2366.87,511.1
izola/isola,2018,12288.96,8726.44,564.04,2450.02,548.46
izola/isola,2019,13292.92,9395.4,611.19,2527.79,758.55
izola/isola,2020,13430.28,9460.23,676.94,2713.63,579.48
izola/isola,2021,14290.69,10101.04,695.7,2892.73,601.22
izola/isola,2022,15643.52,10912.37,692.53,3161.22,877.4
izola/isola,2023,17235.43,12133.82,706.8,3377.77,1017.04
jesenice,2014,10060.83,7178.95,534.99,2107.07,239.82
jesenice,2015,10262.39,7410.43,517.57,2133.2,201.19
jesenice,2016,10696.32,7842.62,515.58,2164.41,173.7
jesenice,2017,11190.07,8308.6,539.67,2192.38,149.42
jesenice,2018,11759.54,8784.23,566.24,2229.34,179.72
jesenice,2019,12338.01,9261.47,573.87,2280.72,221.96
jesenice,2020,12383.91,9152.83,655.59,2401.77,173.73
jesenice,2021,13374.29,10048.65,652.6,2527.26,145.78
jesenice,2022,14786.53,11130.49,691.07,2731.97,233
jesenice,2023,16180.27,12357.89,699.6,2875.83,246.95
jezersko,2014,11302.17,8228.3,446.96,2371.19,255.73
jezersko,2015,11877.82,8742.78,530.37,2349.88,254.8
jezersko,2016,12037.47,9008.06,z,2383.22,z
jezersko,2017,12526.81,9512.56,z,2334.4,z
jezersko,2018,13567.88,10431.91,z,2425.52,z
jezersko,2019,14312.99,11075.54,z,2489.82,z
jezersko,2020,17965.55,11339.32,z,2674.49,z
jezersko,2021,16047.21,12439.71,z,2813.8,z
jezersko,2022,16399.17,12371.49,z,2986.25,z
jezersko,2023,18695.08,13855.21,z,3445.27,z
juršinci,2014,8365.16,6519.43,610.01,1136.74,98.96
juršinci,2015,8573.89,6628.79,656.14,1169.39,119.57
juršinci,2016,9159.56,7101.42,612.62,1274.43,171.09
juršinci,2017,9409.25,7309.69,709.32,1301.67,88.56
juršinci,2018,10013.27,7780.94,655.34,z,z
juršinci,2019,10587.65,8277.55,717.44,z,z
juršinci,2020,11032.13,8519,781.74,1657,74.39
juršinci,2021,12024.75,9153.95,784.44,2007.11,79.25
juršinci,2022,13019.46,9848.86,835.97,2171.05,163.58
juršinci,2023,14457.33,11218.23,885.08,2170.43,183.58
kamnik,2014,11015.85,8152.49,548.58,2004.29,310.49
kamnik,2015,11131.47,8230.15,559.59,2013.65,328.08
kamnik,2016,11572.01,8658.38,544.8,2025.04,343.78
kamnik,2017,12050.32,9081.67,553.33,2073.06,342.26
kamnik,2018,12688.56,9549.36,591.33,2135.27,412.61
kamnik,2019,13492.46,10223.04,621.42,2197.79,450.22
kamnik,2020,13898.54,10471.97,662.27,2373.8,390.51
kamnik,2021,14948.56,11285.18,667.46,2515.63,480.29
kamnik,2022,16240.24,12076.93,704.21,2726.17,732.94
kamnik,2023,18014.72,13568.33,802.3,2881.9,762.19
kanal,2014,9750.54,6673.24,499.63,2338.87,238.8
kanal,2015,9912.93,6896.79,469.5,2363.73,182.92
kanal,2016,10328.57,7312.04,460.84,2402.48,153.22
kanal,2017,10701.49,7656.22,483.46,2417.52,144.28
kanal,2018,11198.87,8040.04,509.01,2512.41,137.41
kanal,2019,11875.93,8564.13,538.86,2600.27,172.68
kanal,2020,12315.39,8645.29,625.9,2804.35,239.85
kanal,2021,13250.62,9468.61,627.04,2933.99,220.98
kanal,2022,14656.71,10527.24,605.98,3157.52,365.96
kanal,2023,16438.75,11923.18,619.42,3346.07,550.09
kidričevo,2014,10014.66,7380.38,561.67,1780.85,291.76
kidričevo,2015,10196.09,7680.29,537.23,1810.13,168.44
kidričevo,2016,10866.3,8077.1,566.94,1886.89,335.37
kidričevo,2017,11092.55,8427.51,580.82,1910.25,173.96
kidričevo,2018,11773.46,8912.46,638.85,1968.06,254.1
kidričevo,2019,12394.9,9497.17,659.28,2040.67,197.78
kidričevo,2020,12752.67,9734.44,712.77,2170.26,135.2
kidričevo,2021,13767.15,10594.74,738.28,2289.02,145.12
kidričevo,2022,15036.5,11519.94,789.21,2502.58,224.77
kidričevo,2023,16596.07,12821.1,765.49,2702.75,306.73
kobarid,2014,9963.1,7034.65,509.88,2172.59,245.99
kobarid,2015,10007.83,7200.24,z,2151.62,z
kobarid,2016,10532.35,7602.13,540.34,2174.85,215.03
kobarid,2017,10810.37,7936.9,z,2214.19,z
kobarid,2018,11589.44,8436.06,538,2316.97,298.42
kobarid,2019,12189.12,8926,523.43,2451.7,287.99
kobarid,2020,12625.34,9131.84,551.76,2673.86,267.87
kobarid,2021,13554.57,9870.1,591.58,2875.34,217.55
kobarid,2022,14749.24,10656.29,649.09,3138.75,305.12
kobarid,2023,16007.35,11715.92,637.64,3338.53,315.26
kobilje,2014,8567.02,6324.3,620.58,1480.3,141.84
kobilje,2015,8649.23,6406.69,564.56,1576.85,101.13
kobilje,2016,9332.69,6943.75,z,1677.57,z
kobilje,2017,9132.77,6727.82,z,1719.14,z
kobilje,2018,9703.02,7295.44,z,1750.42,z
kobilje,2019,10523.84,7984.04,z,1823.4,z
kobilje,2020,11710.74,8845.18,z,2111.43,z
kobilje,2021,12285.04,9269.3,z,2292.3,z
kobilje,2022,13980.45,10831.73,686.04,2399.42,63.26
kobilje,2023,14970.6,11300.35,z,2592.11,z
komen,2014,10575.17,7595.57,486.51,2174.78,318.31
komen,2015,10597.43,7667.47,424.72,2200.6,304.64
komen,2016,10844.6,7862.14,502.14,2226.4,253.91
komen,2017,11507.81,8184.57,z,2298.43,z
komen,2018,12103.93,8882.75,477.37,2414.64,329.17
komen,2019,12637.65,9269.46,539.49,2514.19,314.5
komen,2020,12809.51,9323.3,549.61,2669.15,267.45
komen,2021,14188.13,10465.01,537.4,2839.67,346.05
komen,2022,15629.88,11449.74,582.61,3122.35,475.18
komen,2023,17179.07,12695.93,533.65,3441.63,507.86
komenda,2014,11780.96,9126.83,546.67,1669.3,438.17
komenda,2015,12033.29,9413.35,525.31,1657.91,436.72
komenda,2016,12487.22,9767.28,z,1643.53,z
komenda,2017,13002.8,10308.36,581.28,1652.77,460.39
komenda,2018,13707.47,10907.71,599.89,1694.02,505.85
komenda,2019,14977.67,11604.28,z,1742.28,z
komenda,2020,14843.76,11906.41,645.84,1853.8,437.7
komenda,2021,16401.22,12769.75,z,1977.34,z
komenda,2022,17213.25,13698.29,658.76,2157.98,698.22
komenda,2023,20058.75,15377.31,1586.1,2332.94,762.39
koper/capodistria,2014,10935.87,7808.75,545.28,2112.09,469.75
koper/capodistria,2015,11183.87,8001.22,547.69,2117.62,517.34
koper/capodistria,2016,11440.37,8341.4,554.32,2138.11,406.54
koper/capodistria,2017,11878.72,8769.52,549.15,2151.82,408.23
koper/capodistria,2018,12492.36,9271.39,573.87,2221.3,425.8
koper/capodistria,2019,13496.23,9895.98,625.84,2295.09,679.32
koper/capodistria,2020,13525.11,9980.98,689.95,2453.62,400.56
koper/capodistria,2021,14613.43,10874.27,679.92,2572.83,486.41
koper/capodistria,2022,16086.93,11835.21,713.3,2766.96,771.46
koper/capodistria,2023,17564.1,13199.72,720.82,2919.83,723.73
kostanjevica na krki,2014,10189.64,7540,577.58,1752.14,319.92
kostanjevica na krki,2015,10372.83,7832.18,529.18,1789.49,221.98
kostanjevica na krki,2016,11019.08,8363.69,z,1796.03,z
kostanjevica na krki,2017,11571.63,8855.96,z,1840.24,z
kostanjevica na krki,2018,12299.69,9584.44,z,1950.44,z
kostanjevica na krki,2019,13182.52,10199.06,z,2049.26,z
kostanjevica na krki,2020,13714.4,10588.05,z,2240.99,z
kostanjevica na krki,2021,15001.07,11723.98,z,2364.55,z
kostanjevica na krki,2022,16185.71,12633.21,z,2544.7,z
kostanjevica na krki,2023,17952.8,14164.35,665.99,2741.39,381.06
kostel,2014,9539.84,6535.7,502.74,2345.59,155.81
kostel,2015,9760.97,6566.07,z,2424.27,z
kostel,2016,10352.17,7092,z,2435.32,z
kostel,2017,10976.97,7640.38,z,2645.93,z
kostel,2018,11364.22,7973.99,z,2676.17,z
kostel,2019,11626.57,8008.5,649.97,z,z
kostel,2020,13113.58,8979.88,z,3227.76,z
kostel,2021,14229.48,9941.08,z,3470.14,z
kostel,2022,15334.55,10337.69,z,3745.7,z
kostel,2023,17071.9,12204.09,728.89,3928.47,210.44
kozje,2014,8642.55,6200.06,577,1726.67,138.82
kozje,2015,8760,6308.4,613.46,1730.56,107.58
kozje,2016,9218.78,6692.95,595.4,1785.15,145.28
kozje,2017,9629,7134.03,661.01,1773.53,60.43
kozje,2018,10313.33,7680.84,677.23,1866.12,89.14
kozje,2019,10934.14,8177.78,736.76,1946.47,73.12
kozje,2020,11275.55,8209.21,781.64,2176.04,108.65
kozje,2021,12239.23,9065.23,801.1,2288.76,84.15
kozje,2022,13255.65,9826.64,862.04,2459.95,107.01
kozje,2023,14575.79,10865.45,922.15,2604.83,183.36
kočevje,2014,9520.88,6448.71,711.06,2160.36,200.75
kočevje,2015,9762.01,6582.83,768.08,2187.55,223.55
kočevje,2016,10085.08,6809.81,765.37,2232,277.89
kočevje,2017,10437.78,7218.12,756.31,2269.7,193.66
kočevje,2018,11147.8,7781.54,786.36,2349.37,230.52
kočevje,2019,11867.3,8298.14,862.63,2439.7,266.83
kočevje,2020,12219.83,8509.25,953.34,2583.83,173.42
kočevje,2021,13366.49,9504.03,943.83,2702.31,216.32
kočevje,2022,14548.74,10166.17,984.57,2927.44,470.56
kočevje,2023,15738.72,11207.96,1017.07,3058.86,454.84
kranj,2014,11475.66,8321.67,548.06,2123.37,482.55
kranj,2015,11489.43,8454.72,550.04,2118.63,366.05
kranj,2016,11784.94,8738.29,554.88,2151.08,340.69
kranj,2017,12277.98,9178.54,552.7,2192.73,354.01
kranj,2018,12956.3,9757.19,575.29,2250.74,373.08
kranj,2019,13753.35,10316.51,617.95,2311.12,507.77
kranj,2020,14070.81,10385.91,688.99,2444.07,551.85
kranj,2021,15061.86,11394.42,683.63,2598.94,384.88
kranj,2022,16386.24,12332.11,708.26,2809.48,536.39
kranj,2023,18174.23,13739.31,733.45,2990.97,710.5
kranjska gora,2014,12064.27,7921,434.87,2970.53,737.87
kranjska gora,2015,12501.15,8089.21,443.5,3012.37,956.07
kranjska gora,2016,12974.24,8601.05,432.81,3087.36,853.02
kranjska gora,2017,13533.58,9029.36,461.35,3178.28,864.59
kranjska gora,2018,14161.19,9363.38,477.01,3297.78,1023.03
kranjska gora,2019,15176.85,9845.81,z,3354.68,z
kranjska gora,2020,18660.97,13510.78,585.24,2974.15,1590.81
kranjska gora,2021,21234.59,15270.84,574.91,3192.22,2196.63
kranjska gora,2022,19817.61,13576.96,600.66,3952.83,1687.16
kranjska gora,2023,20243.96,13721.55,579.54,4352.58,1590.3
križevci,2014,9400.85,6786.33,695.94,1715.67,202.91
križevci,2015,9401.67,6737.44,689.07,1777.89,197.27
križevci,2016,9837.8,7040.92,712.53,1859.55,224.8
križevci,2017,10245.51,7290.96,z,1898.71,z
križevci,2018,10940.88,7894.23,z,1984.97,z
križevci,2019,11503.5,8294.48,z,2089.97,z
križevci,2020,12210.87,8759.96,z,2304.55,z
križevci,2021,13035.1,9427.58,z,2418.5,z
križevci,2022,14334.57,10315.31,z,2612.83,z
križevci,2023,15512.44,11330.23,1080.85,2760.86,340.51
krško,2014,10262.53,7421.48,625.35,1947.9,267.79
krško,2015,10548.96,7646.1,628.19,1960.64,314.02
krško,2016,10873.19,7932.15,658.23,1991.5,291.31
krško,2017,11330.47,8361.29,641.78,2044.03,283.37
krško,2018,11983.43,8947.81,677.49,2101.02,257.12
krško,2019,12918.54,9533.65,722.71,2164.86,497.32
krško,2020,13255.49,9788.4,810.72,2375.47,280.91
krško,2021,14367.01,10774.86,783.32,2497.47,311.37
krško,2022,15464.02,11551.88,843.22,2694.43,374.5
krško,2023,17057.68,12906.11,880.8,2851.06,419.71
kungota,2014,9305.38,6736.43,607.84,1722.32,238.78
kungota,2015,9649.23,7043.69,632.94,1735.13,237.48
kungota,2016,10011.11,7211.66,z,1799.4,z
kungota,2017,10209.73,7471.95,z,1843.39,z
kungota,2018,10469.79,7605.96,z,1955.49,z
kungota,2019,11088.33,8057.52,z,2018.43,z
kungota,2020,12227.96,9140.64,774.64,2138.66,174.03
kungota,2021,13182.89,9949.26,z,2238.28,z
kungota,2022,14332.14,10813.22,716.03,2434.33,368.55
kungota,2023,15784.48,12018.01,792.21,2587.63,386.63
kuzma,2014,8026.5,6052.76,631.43,1266.22,76.08
kuzma,2015,7443.25,5420.65,649.86,1310.29,62.45
kuzma,2016,8345.58,6062.2,z,1537.21,z
kuzma,2017,6361.91,4122.44,652.19,1548.26,39.03
kuzma,2018,6856.18,4438.02,689.23,1673.58,55.35
kuzma,2019,7235.5,4691.46,720.84,1752.23,70.96
kuzma,2020,8923.9,5773.98,z,2213.49,z
kuzma,2021,8968.9,5699.82,819.9,2354.7,94.49
kuzma,2022,10176.37,6723.86,878.73,2501.96,71.81
kuzma,2023,11312.74,7676.18,873.06,2633.02,130.46
laško,2014,9724.37,6806.88,596.44,2103.41,217.64
laško,2015,9964.85,7015.54,597.71,2149.4,202.2
laško,2016,10376.15,7359.75,638.21,2194.72,183.47
laško,2017,10662.46,7631.41,634.45,2267.88,128.72
laško,2018,11324.97,8155.57,656.76,2358.31,154.33
laško,2019,12048.2,8712.53,672.46,2453.35,209.85
laško,2020,12394.52,8821.3,739.55,2648.03,185.64
laško,2021,13479.24,9722.82,735.93,2796.26,224.22
laško,2022,14644.4,10595.53,786.84,3029.84,232.19
laško,2023,16079.19,11718.15,857.41,3225.97,277.67
lenart,2014,9940.07,7113.97,704.48,1804.23,317.39
lenart,2015,10096.19,7204.17,719.46,1842.65,329.91
lenart,2016,10400.27,7387.88,696.46,1929.9,386.03
lenart,2017,10659.25,7508.21,730.14,1990.81,430.1
lenart,2018,11127.75,7899.28,742.41,2070.23,415.84
lenart,2019,11888.95,8471.23,799.77,2122.01,495.94
lenart,2020,12566.66,9232.98,879.3,2268.32,186.06
lenart,2021,13702.82,10268.66,866.22,2402.71,165.24
lenart,2022,15008.44,10952.82,940.95,2612.58,502.09
lenart,2023,16269.7,12092.89,949.77,2832.69,394.35
lendava/lendva,2014,9378.11,6293.43,674.7,2053.64,356.35
lendava/lendva,2015,9287.52,6252.66,718.88,2093.8,222.19
lendava/lendva,2016,9787.15,6706.72,676.99,2203.58,199.85
lendava/lendva,2017,10020.12,6885.21,693.31,2281.66,159.95
lendava/lendva,2018,10626.52,7299.43,740.65,2395.99,190.45
lendava/lendva,2019,11422.07,7872.53,806.43,2485.73,257.38
lendava/lendva,2020,12035.56,8227.2,864,2709.9,234.46
lendava/lendva,2021,12861.27,8891,852.56,2911.95,205.75
lendava/lendva,2022,13968.91,9683.35,896.18,3099.28,290.11
lendava/lendva,2023,15314.39,10724.36,915.81,3297.26,376.96
litija,2014,10571.74,7866.61,572.68,1875.76,256.7
litija,2015,10823.66,8085.02,560.59,1917.26,260.79
litija,2016,11239.17,8425.36,599.41,1945.72,268.67
litija,2017,11623.53,8826.53,593.66,1998.29,205.06
litija,2018,12300.58,9449.97,589.85,2058.02,202.74
litija,2019,13121.37,10056.87,609.57,2136.2,318.73
litija,2020,13341.63,10134.05,680.52,2318.33,208.73
litija,2021,14311.62,10977.03,689.31,2434.34,210.94
litija,2022,15664.12,11927.12,707.03,2656.72,373.25
litija,2023,17529.15,13431.5,818.79,2811.14,467.72
ljubljana,2014,12368.49,8665.64,600.15,2394.26,708.44
ljubljana,2015,12527.04,8830.59,586.8,2378.5,731.15
ljubljana,2016,12884.65,9210.04,601.09,2387.77,685.75
ljubljana,2017,13451.84,9643.33,601.01,2413.52,793.98
ljubljana,2018,14267.36,10245.27,638.54,2445.56,937.99
ljubljana,2019,15427.62,10934.86,680.73,2497.77,1314.27
ljubljana,2020,15391.98,11161.78,730.56,2593.48,906.15
ljubljana,2021,16410.06,12078.74,747.26,2706.48,877.57
ljubljana,2022,18163.82,13095.4,792.22,2939.61,1336.59
ljubljana,2023,19952.82,14760.04,818.75,3077.52,1296.52
ljubno,2014,9285.72,6678.08,666.09,1693.23,248.31
ljubno,2015,9529.32,6920.4,705.17,1712.81,190.94
ljubno,2016,9900.24,7298,674.93,1753.2,174.1
ljubno,2017,10295.63,7636.99,z,1806.42,z
ljubno,2018,10551.5,7819.95,692.81,1898.35,140.39
ljubno,2019,11090.33,8212.73,762.62,1977.23,137.75
ljubno,2020,11623.49,8527.35,809.2,2148.9,138.04
ljubno,2021,12593.57,9365.88,776.47,2304.65,146.56
ljubno,2022,13639.96,9998.61,838.73,2472.65,329.96
ljubno,2023,16060.45,10985.95,2111.38,2638.02,325.11
ljutomer,2014,9201.48,6475.54,596.63,1827.02,302.3
ljutomer,2015,9218.11,6529.63,616.16,1858.81,213.5
ljutomer,2016,9766.61,6887.29,619.05,1931.61,328.65
ljutomer,2017,9967.75,6999.41,650.67,1996.56,321.11
ljutomer,2018,10426.95,7437.9,684.15,2107.77,197.12
ljutomer,2019,11126.71,7907.47,744.22,2196.01,279.02
ljutomer,2020,11650.04,8286.05,789.08,2421.17,153.74
ljutomer,2021,12625.22,9078.54,794.21,2573.55,178.92
ljutomer,2022,13854.22,9915.68,848.76,2803.94,285.84
ljutomer,2023,15270.55,11034.46,881.38,2984.37,370.34
log - dragomer,2014,13433.44,9379.54,433.98,2827.36,792.57
log - dragomer,2015,13448.7,9457.62,473.1,2862.96,655.02
log - dragomer,2016,13730.93,9796.42,453.9,2861.43,619.18
log - dragomer,2017,14234.36,10257.31,452.94,2902.31,621.79
log - dragomer,2018,14702.04,10604.03,518.66,2954.59,624.76
log - dragomer,2019,15631.46,11340.15,519.05,3068.93,703.34
log - dragomer,2020,18939.66,11267.93,z,3288.27,z
log - dragomer,2021,17114.11,12449.36,602.97,3373.67,688.11
log - dragomer,2022,19019.28,13506.21,624.07,3610.64,1278.35
log - dragomer,2023,20792.38,15301.65,658.39,3696.63,1135.72
logatec,2014,11353.15,8712.6,636.64,1704.87,299.04
logatec,2015,11868.8,8906.09,z,1733.86,z
logatec,2016,11942.1,9167.48,616.98,1765.84,391.8
logatec,2017,12095.38,9434.94,626.84,1798.12,235.47
logatec,2018,12829.41,9952.78,678.59,1866.49,331.55
logatec,2019,13974.13,10687.76,z,1919.3,z
logatec,2020,13934.56,10908.31,684.94,2064.27,277.04
logatec,2021,15092.77,11896.53,715.77,2188.81,291.66
logatec,2022,16478.82,12864.08,758.03,2314.61,542.11
logatec,2023,18258.98,14417.14,777.54,2504.66,559.64
lovrenc na pohorju,2014,10416.46,7167.66,z,1901.68,z
lovrenc na pohorju,2015,9935.99,7303.83,610.74,1926.06,95.35
lovrenc na pohorju,2016,10970.19,7565.05,z,2004.94,z
lovrenc na pohorju,2017,11456.48,7841.85,z,2053.27,z
lovrenc na pohorju,2018,11114.55,8230.34,z,2122.02,z
lovrenc na pohorju,2019,11746.21,8713.76,686.58,2240.56,105.31
lovrenc na pohorju,2020,12605.08,9331.09,712.65,z,z
lovrenc na pohorju,2021,13619.75,10238.02,693.15,2618.62,69.95
lovrenc na pohorju,2022,14649.2,10823.45,z,2816.81,z
lovrenc na pohorju,2023,15942.38,11997.42,z,2956.68,z
loška dolina,2014,9525.76,6622.85,533.76,2168.16,200.99
loška dolina,2015,9743.63,6877.17,532.28,2191.86,142.31
loška dolina,2016,10382.45,7481.27,549.06,2214.29,137.83
loška dolina,2017,10558.82,7478.61,634.96,2329.16,116.09
loška dolina,2018,11299.1,7985,z,2381.69,z
loška dolina,2019,11764.43,8574.88,594.85,2460.87,133.83
loška dolina,2020,12034.49,8467.83,z,2717.81,z
loška dolina,2021,13086.14,9385.19,z,2859.02,z
loška dolina,2022,14165.53,10221.03,657.7,3148.29,138.51
loška dolina,2023,15568.75,11164.71,722.73,3336.5,344.81
loški potok,2014,9470.96,6776.51,534.91,1981.19,178.36
loški potok,2015,9749.34,7092.04,557.54,1975.81,123.94
loški potok,2016,10146.58,7359.5,607.1,2027.42,152.56
loški potok,2017,10299.78,7514.38,620.28,2092.27,72.85
loški potok,2018,11114.96,8138.62,631.13,2255.99,89.21
loški potok,2019,11888.81,8905.63,575.64,2302.29,105.25
loški potok,2020,12410.72,9026.13,646.72,2643.56,94.3
loški potok,2021,13268.27,9760.71,653.64,2771.62,82.31
loški potok,2022,14318.65,10596.65,754.86,2857.11,110.04
loški potok,2023,15522.8,11427.61,777.85,3117.21,200.14
lukovica,2014,10353.58,7842.91,598.93,1616.25,295.5
lukovica,2015,10478.31,8045.13,589.59,1616.84,226.75
lukovica,2016,10931.11,8404.63,626.65,1640.85,258.98
lukovica,2017,11353.62,8818.63,606.1,1677.37,251.52
lukovica,2018,12082.13,9504.49,602.81,1726.77,248.05
lukovica,2019,12890.89,10229.57,607.18,1805.42,248.72
lukovica,2020,13548.64,10571.56,723.22,1943.51,310.35
lukovica,2021,14344.61,11320.67,739.44,2052.22,232.28
lukovica,2022,15541.88,12302.2,746.24,2197.25,296.19
lukovica,2023,17468.85,13933.04,771.62,2302.21,461.98
luče,2014,8180.18,5722.36,651.62,1625.36,180.84
luče,2015,8261.94,5723.12,747.86,1636.05,154.91
luče,2016,8590.13,6157.21,650.84,1672.87,109.22
luče,2017,9078.36,6586.19,672.24,1736.5,83.44
luče,2018,9398.87,6759.2,750.66,1789.65,99.36
luče,2019,9807.01,6978.54,820.42,z,z
luče,2020,10266.53,7261.35,875.65,2064.07,65.46
luče,2021,11600.82,8538.27,792.9,2183.66,86
luče,2022,12608.76,9201.91,z,2433.72,z
luče,2023,14779.7,10044.64,1878.06,2554.64,302.37
majšperk,2014,9335.93,6914.56,542.45,1719.31,159.61
majšperk,2015,9597.62,7165.11,571.04,1715.09,146.37
majšperk,2016,10183.74,7496.06,z,1765.5,z
