regija,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Employment rate,Employment rate for men,Employment rate for women,Natural increase,Net migration between statistical regions,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women
savinjska,2010,,,,,,59,64.4,53.1,419,-436,-281,-298,-1.1,1654,2105,451,8.1,20.4,3019,5294,2275,1210,1824,614,7,18.7,2712,4858,2146,-307,-436,-129,-1.7,-444,-281,163,-1.1,-751,-717,34,-2.8,97.7,98.8,96.2,86,85.4,86.7,14,14.6,13.3
savinjska,2011,,,,,,58.7,63.7,53.2,401,-105,228,524,2,872,1306,434,5,20.8,3019,5403,2384,975,1534,559,5.9,20.4,3030,5298,2268,11,-105,-116,-0.4,103,228,125,0.9,114,123,9,0.5,96.6,97.3,95.8,84.9,83.9,86,15.1,16.1,14
savinjska,2012,,,,,,58.2,63.1,52.9,204,-474,242,-28,-0.1,957,1569,612,6,22.3,3238,5819,2581,1150,1811,661,7,20.5,3024,5345,2321,-214,-474,-260,-1.8,193,242,49,0.9,-21,-232,-211,-0.9,96.4,97,95.7,84.4,83.1,85.9,15.6,16.9,14.1
savinjska,2013,,,,,,57.6,62.1,52.7,203,-1123,551,-369,-1.4,843,1315,472,5,23.1,3159,6006,2847,1226,1866,640,7.2,18.7,2771,4883,2112,-388,-1123,-735,-4.3,383,551,168,2.1,-5,-572,-567,-2.2,96.5,97.3,95.5,84.3,83.2,85.6,15.7,16.8,14.4
savinjska,2014,10236.53,7317.52,619.59,2030.83,268.59,58.1,63.2,52.6,263,-306,-172,-215,-0.8,1083,1696,613,6.5,22.4,3189,5833,2644,880,1524,644,5.9,21.3,3016,5527,2511,-173,-306,-133,-1.2,-203,-172,31,-0.7,-376,-478,-102,-1.8,96.3,97.3,95.2,83.8,83,84.8,16.2,17,15.2
savinjska,2015,10353.95,7453.16,628.38,2040.28,232.13,58.7,63.6,53.4,34,162,152,348,1.4,1055,1663,608,6.5,20.6,2755,5249,2494,1087,1815,728,7.1,21.3,2832,5411,2579,77,162,85,0.6,32,152,120,0.6,109,314,205,1.2,97.2,98.4,95.6,83.8,83.2,84.5,16.2,16.8,15.5
savinjska,2016,10746.02,7793.18,639.69,2076.75,236.4,59.8,64.3,55,57,80,300,437,1.7,1035,1716,681,6.7,20.8,2772,5294,2522,1365,2016,651,7.9,21.1,2925,5374,2449,153,80,-73,0.3,330,300,-30,1.2,483,380,-103,1.5,96.8,97.9,95.6,83.1,82.4,83.9,16.9,17.6,16.1
savinjska,2017,11192.01,8213.77,643.85,2118.61,215.79,62.6,67.3,57.4,-218,60,154,-4,0,1386,2174,788,8.5,21.1,2847,5373,2526,1648,2328,680,9.1,21.3,2854,5433,2579,7,60,53,0.2,262,154,-108,0.6,269,214,-55,0.8,95.8,96.5,94.9,82.2,81.5,83.1,17.8,18.5,16.9
savinjska,2018,11891.56,8761.05,669.46,2186.49,274.56,65,69.6,60,-121,-378,2099,1600,6.3,1003,1509,506,5.9,20.3,2915,5180,2265,2737,3608,871,14.1,18.8,2735,4802,2067,-180,-378,-198,-1.5,1734,2099,365,8.2,1554,1721,167,6.7,95.4,95.7,95.1,81.7,80.4,83.2,18.3,19.6,16.8
savinjska,2019,12684.11,9266.98,718.11,2267.66,431.36,66.7,71.5,61.4,-136,-366,2002,1500,5.8,1431,1988,557,7.7,20.5,3092,5273,2181,3017,3990,973,15.5,19.1,2808,4907,2099,-284,-366,-82,-1.4,1586,2002,416,7.8,1302,1636,334,6.4,95.6,96.1,94.9,81.3,80.1,82.7,18.7,19.9,17.3
