obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Basic or less,Education - TOTAL,Tertiary,Upper secondary,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for women
ankaran/ancarano,2018,14931.78,10980.78,507.92,2673.11,769.98,586,2795,836,1373,69,53.3,85.2,17.6,16.6,18.5,82.4,83.4,81.5,10,-31,20,-1,-0.3,26,35,9,10.9,132,256,124,79.6,34,55,21,17.1,110,225,115,70,-22,-31,-9,-9.6,8,20,12,6.2,-14,-11,3,-3.4,67.2,70.3,64.2
ankaran/ancarano,2019,15415.22,11474.87,539.08,2796.88,604.39,546,2789,839,1404,72.1,54,90.6,17.5,15.1,19.9,82.5,84.9,80.1,4,14,-1,17,5.3,38,56,18,17.4,99,219,120,68.1,29,55,26,17.1,114,233,119,72.5,15,14,-1,4.4,-9,-1,8,-0.3,6,13,7,4,68.7,71.3,66.3
ankaran/ancarano,2020,15939.29,11716.28,616.3,3061.65,545.06,554,2812,853,1405,70.5,50.3,92.2,17.8,15.2,20.5,82.2,84.8,79.5,-9,19,24,34,10.5,27,44,17,13.5,160,310,150,95.3,41,68,27,20.9,171,329,158,101.1,11,19,8,5.8,14,24,10,7.4,25,43,18,13.2,67.2,69.2,65.3
ankaran/ancarano,2021,17034.03,12472.84,641.09,3370.84,549.27,563,2861,879,1419,71.8,53.2,91.4,17.3,15.3,19.5,82.7,84.7,80.5,-5,22,3,20,6.2,23,37,14,11.4,126,255,129,78.5,19,40,21,12.3,137,277,140,85.3,11,22,11,6.8,-4,3,7,0.9,7,25,18,7.7,68.5,72.4,64.8
ankaran/ancarano,2022,18193.29,13150.38,629.09,3492.57,921.24,559,2883,900,1424,72,53.2,91.2,17.5,15.2,19.8,82.5,84.8,80.2,-13,20,99,106,32.2,28,44,16,13.4,145,289,144,87.9,62,143,81,43.5,157,309,152,94,12,20,8,6.1,34,99,65,30.1,46,119,73,36.2,69.7,73.1,66.5
ankaran/ancarano,2023,20127.52,14547.19,727.38,3730.92,1122.03,576,2955,918,1461,72.3,52.5,92.2,17.9,15.3,20.5,82.1,84.7,79.5,-1,-69,12,-58,-17.2,28,57,29,16.9,160,303,143,90,38,69,31,20.5,121,234,113,69.5,-39,-69,-30,-20.5,10,12,2,3.6,-29,-57,-28,-16.9,69.2,72.1,66.5
apače,2014,8975.53,6765.04,602.91,1471.94,135.63,1198,3132,295,1639,41.5,45.4,36.5,27.8,30.2,24.8,72.2,69.8,75.2,-20,-8,-4,-32,-8.9,12,16,4,4.4,63,133,70,36.9,8,12,4,3.3,61,125,64,34.7,-2,-8,-6,-2.2,-4,-4,0,-1.1,-6,-12,-6,-3.3,43.4,47.8,38.7
apače,2015,8980.01,6727.63,624.37,1478.91,149.11,1142,3097,305,1650,41.7,45.5,37.1,27.4,30,24.3,72.6,70,75.7,-7,8,-12,-11,-3.1,10,18,8,5,64,126,62,35.2,2,6,4,1.7,68,134,66,37.4,4,8,4,2.2,-8,-12,-4,-3.4,-4,-4,0,-1.1,43.6,47.9,38.9
apače,2016,9490.68,7133.79,622.89,1590.09,143.91,1101,3083,327,1655,41.6,45.3,37.3,27.1,29.5,24.2,72.9,70.5,75.8,-21,-15,-1,-37,-10.4,9,17,8,4.8,64,123,59,34.5,10,16,6,4.5,54,108,54,30.3,-10,-15,-5,-4.2,1,-1,-2,-0.3,-9,-16,-7,-4.5,42.7,45.3,39.9
apače,2017,8218.97,5800.24,623.21,1657.41,138.11,1056,3054,360,1638,41.6,45.8,36.8,27,30.2,23.3,73,69.8,76.7,0,11,-9,2,0.6,11,22,11,6.2,63,123,60,34.6,7,13,6,3.7,61,134,73,37.7,-2,11,13,3.1,-4,-9,-5,-2.5,-6,2,8,0.6,43.9,47.7,40
apače,2018,8657.63,6149.06,636.91,1756.96,114.7,1029,3042,366,1647,41.9,47.1,36.3,26.5,28.8,24,73.5,71.2,76,-13,-30,13,-30,-8.5,2,5,3,1.4,60,147,87,41.9,9,18,9,5.1,60,117,57,33.3,0,-30,-30,-8.5,7,13,6,3.7,7,-17,-24,-4.8,44.6,47.3,41.8
apače,2019,8934.76,6250.4,694.3,1857.63,132.43,1006,3028,381,1641,41.6,46.1,36.6,24.9,27.3,22.3,75.1,72.7,77.7,4,5,9,18,5.1,4,5,1,1.4,56,98,42,27.7,8,14,6,4,54,103,49,29.2,-2,5,7,1.4,4,9,5,2.5,2,14,12,4,45,47.8,42.1
apače,2020,10367.11,7381.81,796.13,2040.78,148.39,981,3033,391,1661,42.8,49.5,35,25.1,27.4,22.4,74.9,72.6,77.6,-9,15,18,24,6.8,9,19,10,5.4,77,158,81,44.6,23,37,14,10.4,90,173,83,48.9,13,15,2,4.2,14,18,4,5.1,27,33,6,9.3,45.4,47.4,43.3
