obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Basic or less,Education - TOTAL,Tertiary,Upper secondary,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for women
mokronog - trebelno,2014,10174.52,7719.02,537.76,1608.56,309.19,910,2534,372,1252,45.5,39.7,53.5,21,19.7,22.9,79,80.3,77.1,4,-8,1,-3,-1,3,6,3,2,61,154,93,50.9,3,7,4,2.3,59,146,87,48.2,-2,-8,-6,-2.6,0,1,1,0.3,-2,-7,-5,-2.3,60.9,68.3,52.8
mokronog - trebelno,2015,10477.92,8181.25,503.34,1604.6,188.74,892,2545,396,1257,46.6,40,55.5,20.9,19.2,23.2,79.1,80.8,76.8,5,-4,2,3,1,5,10,5,3.3,48,117,69,38.7,4,12,8,4,47,113,66,37.4,-1,-4,-3,-1.3,-1,2,3,0.7,-2,-2,0,-0.7,61.9,69.1,54
mokronog - trebelno,2016,10949.61,8559.19,532.51,1615.01,242.9,855,2547,431,1261,46.7,38.5,57.4,20,18.1,22.6,80,81.9,77.4,15,5,-6,14,4.6,7,10,3,3.3,44,101,57,33.3,3,4,1,1.3,49,106,57,35,5,5,0,1.6,-4,-6,-2,-2,1,-1,-2,-0.3,62.5,68.1,56.4
mokronog - trebelno,2017,11265.97,8902.7,563.18,1624.57,175.53,820,2548,450,1278,46.2,37.8,56.8,20.5,18.3,23.4,79.5,81.7,76.6,14,-22,-4,-12,-4,4,6,2,2,55,125,70,41.5,1,2,1,0.7,48,103,55,34.2,-7,-22,-15,-7.3,-3,-4,-1,-1.3,-10,-26,-16,-8.6,65.8,70.2,61
mokronog - trebelno,2018,12242.99,9538.58,z,1698.14,z,800,2528,454,1274,45.9,38.1,55.5,20.3,18.1,22.9,79.7,81.9,77.1,15,10,0,25,8.1,15,18,3,5.8,81,145,64,47,15,18,3,5.8,90,155,65,50.3,9,10,1,3.2,0,0,0,0,9,10,1,3.2,68.1,72,63.7
mokronog - trebelno,2019,12806.76,10118.55,690.41,1777.97,219.83,771,2547,470,1306,46.3,40.2,53.8,20.8,19.4,22.5,79.2,80.6,77.5,21,-6,18,33,10.7,6,9,3,2.9,54,111,57,36,18,27,9,8.8,58,105,47,34.1,4,-6,-10,-1.9,12,18,6,5.8,16,12,-4,3.9,69.1,72.5,65.2
mokronog - trebelno,2020,13354.93,10344.98,784.58,2022.82,202.55,756,2569,493,1320,46.8,41.1,53.5,20,18.5,21.6,80,81.5,78.4,26,26,17,69,22,3,9,6,2.9,89,174,85,55.4,18,26,8,8.3,95,200,105,63.7,6,26,20,8.3,15,17,2,5.4,21,43,22,13.7,71,74.9,66.7
mokronog - trebelno,2021,14299.83,11013.06,783.52,2188.67,314.57,758,2628,518,1352,48.8,42.4,56.6,20.5,20.1,20.9,79.5,79.9,79.1,27,-36,8,-1,-0.3,7,8,1,2.5,64,143,79,45.5,11,16,5,5.1,55,107,52,34,-9,-36,-27,-11.4,4,8,4,2.5,-5,-28,-23,-8.9,71.1,75.3,66.5
mokronog - trebelno,2022,15360.04,11906.05,817.66,2294.89,341.45,724,2601,523,1354,47.8,41.2,55.7,21.1,21.1,21.2,78.9,78.9,78.8,9,24,30,63,19.9,6,8,2,2.5,75,164,89,51.8,25,38,13,12,91,188,97,59.3,16,24,8,7.6,19,30,11,9.5,35,54,19,17,72.4,76.7,67.6
mokronog - trebelno,2023,17301.46,13512.61,783.83,2467.75,537.26,723,2649,555,1371,47.7,40.2,56.8,21.1,21.4,20.7,78.9,78.6,79.3,1,-8,1,-6,-1.9,9,14,5,4.3,61,135,74,41.8,12,15,3,4.6,66,127,61,39.3,5,-8,-13,-2.5,3,1,-2,0.3,8,-7,-15,-2.2,72.6,77.2,67.5
moravske toplice,2014,9246.96,6586.44,590.56,1855.21,214.76,1988,5146,705,2453,58.6,49.4,69.7,25,23.9,26.2,75,76.1,73.8,-15,8,-3,-10,-1.7,9,20,11,3.4,125,234,109,39.9,8,17,9,2.9,134,242,108,41.3,9,8,-1,1.4,-1,-3,-2,-0.5,8,5,-3,0.9,55.4,61.1,49.2
moravske toplice,2015,9266.28,6562.33,638.2,1877.76,187.99,1901,5119,754,2464,55.6,44.1,69.5,24.7,22.7,27.1,75.3,77.3,72.9,11,-12,-4,-5,-0.8,13,23,10,3.9,137,263,126,44.6,12,19,7,3.2,129,251,122,42.6,-8,-12,-4,-2,-1,-4,-3,-0.7,-9,-16,-7,-2.7,53.9,58.9,48.3
moravske toplice,2016,9799.28,7032.92,605.61,1945.28,215.47,1844,5101,792,2465,55.8,45.3,67.9,25,22.2,28.2,75,77.8,71.8,-14,9,-11,-16,-2.7,12,23,11,3.9,113,228,115,39.1,5,12,7,2.1,111,237,126,40.6,-2,9,11,1.5,-7,-11,-4,-1.9,-9,-2,7,-0.3,54.9,58.9,50.4
moravske toplice,2017,10033.69,7239.64,607.07,2015.84,171.14,1776,5081,843,2462,56.2,44.7,69.5,23.7,21.6,26,76.3,78.4,74,0,12,-16,-4,-0.7,12,30,18,5.1,134,268,134,46,10,14,4,2.4,136,280,144,48,2,12,10,2.1,-2,-16,-14,-2.7,0,-4,-4,-0.7,57.5,61.6,52.9
moravske toplice,2018,10529.09,7569.86,665.55,2112.97,180.71,1693,5077,883,2501,55.1,44.5,67.3,23.9,22.5,25.5,76.1,77.5,74.5,0,-17,2,-15,-2.6,9,21,12,3.6,113,220,107,37.8,13,23,10,4,102,203,101,34.9,-11,-17,-6,-2.9,4,2,-2,0.3,-7,-15,-8,-2.6,60,63.4,56.2
moravske toplice,2019,11182.4,8121.35,688.42,2203.32,169.32,1647,5040,887,2506,55.3,44.5,67.7,23.9,22.7,25.2,76.1,77.3,74.8,-17,17,24,24,4.1,13,23,10,3.9,117,202,85,34.5,32,47,15,8,103,219,116,37.4,-14,17,31,2.9,19,24,5,4.1,5,41,36,7,61,64.2,57.4
moravske toplice,2020,11939.66,8550.09,762.5,2492.78,134.3,1601,5074,914,2559,52.6,41.4,65.8,22.6,21.2,24.3,77.4,78.8,75.7,-24,49,101,126,21.4,16,22,6,3.7,160,320,160,54.4,79,123,44,20.9,202,369,167,62.8,42,49,7,8.3,63,101,38,17.2,105,150,45,25.5,60.7,64.1,56.9
moravske toplice,2021,12785.76,9223.66,z,2629.23,z,1578,5206,980,2648,53.6,42.8,65.8,22.5,20.5,24.8,77.5,79.5,75.2,-4,22,8,26,4.3,19,27,8,4.5,132,249,117,41.6,22,35,13,5.9,153,271,118,45.3,21,22,1,3.7,3,8,5,1.3,24,30,6,5,62.1,65,58.9
moravske toplice,2022,14043.5,10086.58,810.66,2792,354.26,1520,5219,1045,2654,53.2,42.5,65.5,22,20.2,24.2,78,79.8,75.8,-22,-29,27,-24,-4,28,38,10,6.4,197,352,155,59.3,43,65,22,11,160,323,163,54.5,-37,-29,8,-4.9,15,27,12,4.6,-22,-2,20,-0.3,64.6,67.5,61.3
moravske toplice,2023,15244.79,11152.13,784.65,2971.07,336.94,1462,5209,1053,2694,51.4,41,63.1,22.3,21.1,23.7,77.7,78.9,76.3,-12,-18,20,-10,-1.7,17,36,19,6,141,255,114,42.8,33,56,23,9.4,118,237,119,39.8,-23,-18,5,-3,16,20,4,3.4,-7,2,9,0.3,65.8,68.9,62.4
moravče,2014,10597.89,8159.97,552.59,1595.95,289.38,1346,4187,643,2198,35,37.2,32.4,19.5,21.8,16.8,80.5,78.2,83.2,22,22,-5,39,7.5,8,13,5,2.5,70,138,68,26.6,5,8,3,1.5,75,160,85,30.8,5,22,17,4.2,-3,-5,-2,-1,2,17,15,3.3,64.2,71.5,56.7
moravče,2015,10702.41,8346.69,572.48,1587.86,195.37,1323,4234,702,2209,34.6,37.1,31.6,19.6,22.3,16.3,80.4,77.7,83.7,36,25,0,61,11.6,3,7,4,1.3,68,139,71,26.5,4,7,3,1.3,75,164,89,31.2,7,25,18,4.8,1,0,-1,0,8,25,17,4.8,65.1,72.1,58
moravče,2016,11191.41,8784.13,580.63,1624.46,202.2,1270,4267,728,2269,35.2,38.1,31.9,19.6,22.1,16.6,80.4,77.9,83.4,24,20,-6,38,7.2,8,12,4,2.3,71,149,78,28.4,2,6,4,1.1,81,169,88,32.2,10,20,10,3.8,-6,-6,0,-1.1,4,14,10,2.7,65.5,71,59.8
moravče,2017,11615.39,9132.5,587.13,1664.07,231.69,1242,4315,786,2287,36.7,40.4,32.5,19.6,22.1,16.6,80.4,77.9,83.4,16,11,-9,18,3.4,11,18,7,3.4,73,158,85,29.6,5,9,4,1.7,81,169,88,31.7,8,11,3,2.1,-6,-9,-3,-1.7,2,2,0,0.4,67.2,72.8,61.6
moravče,2018,12212.46,9678.13,620.39,1713.52,200.43,1211,4340,805,2324,38.2,41.3,34.6,19.8,22.1,17.1,80.2,77.9,82.9,21,48,16,85,15.9,3,6,3,1.1,68,146,78,27.3,19,22,3,4.1,100,194,94,36.2,32,48,16,9,16,16,0,3,48,64,16,12,69.3,75.1,63.4
moravče,2019,13045.3,10248.38,z,1772.04,z,1163,4397,860,2374,38.7,43.3,33.6,19.8,22.3,16.9,80.2,77.7,83.1,38,-4,1,35,6.4,12,19,7,3.5,76,139,63,25.6,15,20,5,3.7,68,135,67,24.8,-8,-4,4,-0.7,3,1,-2,0.2,-5,-3,2,-0.6,70.2,75.6,64.7
moravče,2020,13228.83,10427.49,702.69,1921.28,177.36,1135,4428,880,2413,37,41.8,31.5,19.2,22.4,15.5,80.8,77.6,84.5,16,10,-10,16,2.9,21,30,9,5.5,125,244,119,44.5,12,20,8,3.7,125,254,129,46.4,0,10,10,1.8,-9,-10,-1,-1.8,-9,0,9,0,69.6,74.6,64.6
moravče,2021,14362.09,11491.73,680.93,2030.1,159.33,1112,4449,928,2409,38.8,45.5,31.5,19.4,23.3,15.1,80.6,76.7,84.9,20,21,8,49,8.9,10,14,4,2.6,77,167,90,30.4,12,22,10,4,94,188,94,34.3,17,21,4,3.8,2,8,6,1.5,19,29,10,5.3,70.7,75.4,65.9
moravče,2022,15587.27,12330.14,752.17,2200.52,304.44,1083,4500,965,2452,35,40.7,28.6,19.4,23.2,15.1,80.6,76.8,84.9,23,24,5,52,9.4,10,17,7,3.1,105,218,113,39.4,13,22,9,4,127,242,115,43.7,22,24,2,4.3,3,5,2,0.9,25,29,4,5.2,71.4,75.5,67.2
moravče,2023,17373.18,13892.91,782.35,2319.49,378.42,1079,4560,1007,2474,35.4,41.4,28.8,19.7,23.4,15.5,80.3,76.6,84.5,25,37,20,82,14.6,7,8,1,1.4,80,165,85,29.4,25,28,3,5,110,202,92,36,30,37,7,6.6,18,20,2,3.6,48,57,9,10.2,72,75.8,68.1
mozirje,2014,10340.58,7498.71,614.19,1985.68,242,1043,3451,662,1746,63.6,58.1,69.8,28.3,28.2,28.4,71.7,71.8,71.6,10,-18,-25,-33,-8,40,46,6,11.2,85,198,113,48.1,17,21,4,5.1,86,180,94,43.7,1,-18,-19,-4.4,-23,-25,-2,-6.1,-22,-43,-21,-10.4,59.9,63.6,55.8
mozirje,2015,10458.33,7638.58,634.17,1995.99,189.59,1003,3424,689,1732,60.3,56,65,28.2,28.7,27.6,71.8,71.3,72.4,21,10,-44,-13,-3.2,50,61,11,15.1,97,201,104,49.7,6,17,11,4.2,85,211,126,52.2,-12,10,22,2.5,-44,-44,0,-10.9,-56,-34,22,-8.4,60.3,64.4,56
mozirje,2016,11007.71,8127.93,635.84,2039.13,204.82,962,3414,727,1725,59.4,54.9,64.5,26.6,26.4,27,73.4,73.6,73,2,-27,7,-18,-4.4,7,13,6,3.2,104,233,129,57.4,18,20,2,4.9,99,206,107,50.7,-5,-27,-22,-6.6,11,7,-4,1.7,6,-20,-26,-4.9,61.9,65,58.8
mozirje,2017,11496.99,8598.67,603.03,2088.23,207.07,928,3421,772,1721,60.3,55.7,65.3,27.9,28,27.8,72.1,72,72.2,16,35,2,53,13.1,14,19,5,4.7,106,196,90,48.4,11,21,10,5.2,105,231,126,57,-1,35,36,8.6,-3,2,5,0.5,-4,37,41,9.1,64,67.5,60.5
mozirje,2018,12136.65,9099.17,645.49,2190.81,201.18,912,3462,816,1734,58.7,55.4,62.3,27.4,27.5,27.3,72.6,72.5,72.7,7,-2,9,14,3.4,7,11,4,2.7,85,172,87,41.8,9,20,11,4.9,86,170,84,41.3,1,-2,-3,-0.5,2,9,7,2.2,3,7,4,1.7,67.5,71.8,63.2
mozirje,2019,13622.69,9575.13,z,2292.68,z,876,3472,849,1747,58.2,54.1,62.4,27.4,27.6,27.2,72.6,72.4,72.8,25,-11,31,45,10.9,5,7,2,1.7,78,178,100,43.1,16,38,22,9.2,74,167,93,40.4,-4,-11,-7,-2.7,11,31,20,7.5,7,20,13,4.8,68.6,72.5,64.7
mozirje,2020,13322.53,9872.44,789.28,2463.38,197.43,858,3500,866,1776,59,56.1,62.1,25.7,26,25.3,74.3,74,74.7,8,70,15,93,22.1,7,20,13,4.7,117,263,146,62.4,20,35,15,8.3,148,333,185,79,31,70,39,16.6,13,15,2,3.6,44,85,41,20.2,68.8,72.6,65.1
mozirje,2021,14304.78,10673.38,784.03,2548.09,299.27,862,3579,922,1795,56.2,54.7,57.9,22.8,23.6,22,77.2,76.4,78,9,73,78,160,37.5,9,17,8,4,82,175,93,41,67,95,28,22.3,119,248,129,58.1,37,73,36,17.1,58,78,20,18.3,95,151,56,35.4,71.9,76.9,66.9
mozirje,2022,15749.77,11619.91,z,2733.51,z,877,3706,977,1852,54.6,52.6,56.9,22.8,23.6,21.9,77.2,76.4,78.1,10,26,46,82,18.5,27,36,9,8.1,139,276,137,62.3,52,82,30,18.5,159,302,143,68.2,20,26,6,5.9,25,46,21,10.4,45,72,27,16.3,72.9,77.7,68
mozirje,2023,17852.53,12725.55,1713.27,2916.84,496.87,868,3781,1009,1904,57.8,59.2,56.1,22.3,23.4,21,77.7,76.6,79,27,-41,53,39,8.6,22,33,11,7.2,139,267,128,58.6,55,86,31,18.9,111,226,115,49.6,-28,-41,-13,-9,33,53,20,11.6,5,12,7,2.6,73.5,79.1,67.6
murska sobota,2014,10513.32,6972.82,683.45,2502.48,354.57,4265,16586,3698,8623,184.9,178,192.1,64.3,59.9,68.9,35.7,40.1,31.1,-64,65,-38,-37,-2,42,84,42,4.4,437,853,416,45,27,46,19,2.4,503,918,415,48.5,66,65,-1,3.4,-15,-38,-23,-2,51,27,-24,1.4,50.7,53.6,47.9
murska sobota,2015,10603.23,7047.33,717.99,2513.53,324.38,4141,16531,3784,8606,182.4,176.7,188.2,63.1,58.7,67.7,36.9,41.3,32.3,-71,61,-41,-51,-2.7,62,108,46,5.7,424,802,378,42.4,45,67,22,3.5,433,863,430,45.6,9,61,52,3.2,-17,-41,-24,-2.2,-8,20,28,1.1,51.1,53.2,49
murska sobota,2016,10986.47,7361.77,709.18,2578.54,336.98,4045,16477,3893,8539,180.9,175.1,186.8,62.9,58.7,67.1,37.1,41.3,32.9,-49,28,-33,-54,-2.9,58,110,52,5.8,452,796,344,42.1,40,77,37,4.1,412,824,412,43.5,-40,28,68,1.5,-18,-33,-15,-1.7,-58,-5,53,-0.3,52.8,54.7,51
murska sobota,2017,11096.38,7438.85,719.1,2643.42,295.02,3929,16384,4019,8436,179.9,173.8,186.1,61.8,58.1,65.5,38.2,41.9,34.5,-73,-14,-52,-139,-7.4,74,126,52,6.7,416,811,395,43,40,74,34,3.9,415,797,382,42.3,-1,-14,-13,-0.7,-34,-52,-18,-2.8,-35,-66,-31,-3.5,54.9,57,52.8
murska sobota,2018,11700.66,7850.41,767.01,2732.47,350.78,3863,16293,4024,8406,179.9,173,186.9,61.1,57.1,65.2,38.9,42.9,34.8,-64,14,45,-5,-0.3,47,88,41,4.7,388,732,344,39,86,133,47,7.1,396,746,350,39.8,8,14,6,0.7,39,45,6,2.4,47,59,12,3.1,56.8,58.5,55.2
murska sobota,2019,12383.73,8356.91,826.38,2833.78,366.65,3801,16282,4095,8386,183.9,178.4,189.6,60.9,57.9,64,39.1,42.1,36,-87,74,42,29,1.5,56,83,27,4.4,345,638,293,34,94,125,31,6.7,394,712,318,38,49,74,25,3.9,38,42,4,2.2,87,116,29,6.2,58.1,59.9,56.2
murska sobota,2020,13089.39,8697.77,886.23,3076.5,428.89,3758,16311,4160,8393,187.4,178.9,196.3,59.8,56.5,63.2,40.2,43.5,36.8,-182,-99,142,-139,-7.4,47,86,39,4.6,547,1019,472,54.5,151,228,77,12.2,495,920,425,49.2,-52,-99,-47,-5.3,104,142,38,7.6,52,43,-9,2.3,58.7,60.8,56.5
murska sobota,2021,14136.81,9415.89,z,3243.96,z,3681,16243,4171,8391,187,177.3,197.1,59.1,56.1,62.3,40.9,43.9,37.7,-131,34,18,-79,-4.3,56,97,41,5.2,373,686,313,37,68,115,47,6.2,379,720,341,38.8,6,34,28,1.8,12,18,6,1,18,52,34,2.8,60,62.1,57.9
murska sobota,2022,15015.18,10125.39,948.47,3482.71,458.6,3658,16217,4206,8353,184.3,173.3,196,58.5,55.4,61.9,41.5,44.6,38.1,-97,107,118,128,6.9,46,81,35,4.4,415,822,407,44.1,124,199,75,10.7,506,929,423,49.9,91,107,16,5.7,78,118,40,6.3,169,225,56,12.1,62.2,64.1,60.2
murska sobota,2023,16628.51,11352.83,977.07,3681.94,616.68,3607,16328,4286,8435,184.6,174.3,195.6,58.1,55.2,61.2,41.9,44.8,38.8,-122,22,30,-70,-3.8,74,118,44,6.3,355,669,314,35.9,98,148,50,7.9,385,691,306,37.1,30,22,-8,1.2,24,30,6,1.6,54,52,-2,2.8,63,65.1,60.9
muta,2014,10016.82,7406.59,584.19,1858.01,168.01,939,2943,414,1590,84.8,102.4,62.3,33.6,39.1,26.5,66.4,60.9,73.5,20,-31,-12,-23,-6.7,10,19,9,5.5,75,173,98,50.5,1,7,6,2,60,142,82,41.4,-15,-31,-16,-9,-9,-12,-3,-3.5,-24,-43,-19,-12.6,54.2,61.2,46.7
muta,2015,10432.35,7812.25,544.71,1910.98,164.41,913,2910,425,1572,86.4,103.8,65.1,34.1,38.9,28.3,65.9,61.1,71.7,1,-26,-10,-35,-10.4,6,13,7,3.8,66,158,92,46.8,2,3,1,0.9,64,132,68,39.1,-2,-26,-24,-7.7,-4,-10,-6,-3,-6,-36,-30,-10.7,54.5,60.3,48.4
muta,2016,10855.7,8169.95,579.93,1926.65,179.16,880,2891,447,1564,86.1,101.9,66.4,35.1,39.4,29.6,64.9,60.6,70.4,22,12,-9,25,7.4,8,12,4,3.6,62,146,84,43.3,1,3,2,0.9,72,158,86,46.8,10,12,2,3.6,-7,-9,-2,-2.7,3,3,0,0.9,55.4,60.4,50.2
muta,2017,11106.73,8318.76,609.56,1961.96,216.45,858,2894,481,1555,86.9,104.8,66.2,35.2,40.4,29.1,64.8,59.6,70.9,-1,4,-10,-7,-2.1,9,17,8,5,63,145,82,42.8,4,7,3,2.1,72,149,77,44,9,4,-5,1.2,-5,-10,-5,-3,4,-6,-10,-1.8,56.7,61,52.2
muta,2018,11719.71,8894.92,584.46,2040.91,199.43,823,2893,494,1576,90.5,109.8,67.7,35.5,40.2,29.9,64.5,59.8,70.1,6,-12,7,1,0.3,5,9,4,2.7,60,134,74,39.7,12,16,4,4.7,51,122,71,36.1,-9,-12,-3,-3.6,7,7,0,2.1,-2,-5,-3,-1.5,59.1,62.5,55.4
muta,2019,11991.88,8845.52,608.84,2140.39,397.13,783,2892,510,1599,90.7,105.9,72.5,36.3,39.7,32.1,63.8,60.3,67.9,5,-5,28,28,8.2,4,8,4,2.3,58,115,57,33.8,31,36,5,10.6,52,110,58,32.3,-6,-5,1,-1.5,27,28,1,8.2,21,23,2,6.8,59.8,63.2,56
muta,2020,12766.68,9625.78,671.02,2303.42,166.47,776,2921,516,1629,88.4,102.1,72,35.2,39.1,30.6,64.8,60.9,69.4,-2,-17,20,1,0.3,7,11,4,3.2,101,201,100,58.9,22,31,9,9.1,82,184,102,53.9,-19,-17,2,-5,15,20,5,5.9,-4,3,7,0.9,61.3,64.2,58.1
muta,2021,14046.81,10773.57,667.29,2441.21,164.74,750,2923,541,1632,94.4,109.8,76.3,36.4,39.9,32.2,63.6,60.1,67.8,-7,-32,26,-13,-3.8,6,8,2,2.3,65,134,69,39.3,21,34,13,10,54,102,48,29.9,-11,-32,-21,-9.4,15,26,11,7.6,4,-6,-10,-1.8,62.4,64.6,60
muta,2022,15064.65,11428.63,714.68,2644.87,276.47,721,2903,548,1634,95.5,108.4,80.8,34.4,37.3,31,65.6,62.7,69,1,-7,1,-5,-1.5,16,24,8,7.1,102,184,82,54.1,17,25,8,7.4,89,177,88,52.1,-13,-7,6,-2.1,1,1,0,0.3,-12,-6,6,-1.8,63.6,66.5,60.5
muta,2023,16426.12,12517.04,763.75,2797.56,347.77,709,2900,558,1633,97.5,106.9,86.8,35,37.9,31.6,65,62.1,68.4,-2,-44,14,-32,-9.5,12,21,9,6.2,79,163,84,48.4,21,35,14,10.4,76,119,43,35.3,-3,-44,-41,-13.1,9,14,5,4.2,6,-30,-36,-8.9,64.5,67.1,61.7
naklo,2014,11227.5,7964.22,530.59,2162.54,570.15,,,,,102.8,118.2,85.4,25.5,28.9,21.6,74.5,71.1,78.4,-7,12,8,13,2.5,5,7,2,1.3,107,196,89,37,10,15,5,2.8,92,208,116,39.2,-15,12,27,2.3,5,8,3,1.5,-10,20,30,3.8,59.2,61.8,56.3
naklo,2015,11605.39,8171.37,z,2196.36,z,,,,,104.8,119.1,88.2,25.7,29.8,21,74.3,70.2,79,8,-28,3,-17,-3.2,9,16,7,3,90,193,103,36.4,11,19,8,3.6,83,165,82,31.1,-7,-28,-21,-5.3,2,3,1,0.6,-5,-25,-20,-4.7,60.6,63.6,57.4
naklo,2016,12101.25,8599.7,z,2190.92,z,,,,,102,116.1,85.9,25,28.8,20.7,75,71.2,79.3,2,50,16,68,12.8,9,18,9,3.4,109,203,94,38.2,27,34,7,6.4,135,253,118,47.6,26,50,24,9.4,18,16,-2,3,44,66,22,12.4,63.3,66.8,59.7
naklo,2017,12826.38,9132.31,z,2217.11,z,,,,,103,114.2,90.3,24.1,28.2,19.6,75.9,71.8,80.4,-4,37,-9,24,4.5,14,24,10,4.5,116,206,90,38.6,12,15,3,2.8,120,243,123,45.5,4,37,33,6.9,-2,-9,-7,-1.7,2,28,26,5.2,65.2,68.1,62.2
naklo,2018,13369.25,9748.53,z,2291.74,z,,,,,100.2,109.3,89,23.3,26.6,19.3,76.7,73.4,80.7,-4,0,46,42,7.8,11,19,8,3.6,107,208,101,38.9,58,65,7,12.1,113,208,95,38.9,6,0,-6,0,47,46,-1,8.6,53,46,-7,8.6,67.1,70.7,63.2
naklo,2019,14396.59,10318.12,z,2369.47,z,,,,,100.7,109.6,89.8,23.8,27.2,19.6,76.2,72.8,80.4,-4,-88,57,-35,-6.5,35,44,9,8.1,141,261,120,48.3,86,101,15,18.7,92,173,81,32,-49,-88,-39,-16.3,51,57,6,10.6,2,-31,-33,-5.7,69.2,73.3,64.6
naklo,2020,14287.87,10370.27,z,2526.66,z,,,,,103.7,113.5,91.6,23.9,27.6,19.4,76.1,72.4,80.6,-20,14,51,45,8.3,24,28,4,5.2,161,289,128,53.4,58,79,21,14.6,153,303,150,55.9,-8,14,22,2.6,34,51,17,9.4,26,65,39,12,69.1,72.6,65.2
naklo,2021,15487.94,11405.77,z,2680.61,z,,,,,103.4,116.2,87.8,24.1,28,19.4,75.9,72,80.6,-2,-62,3,-61,-11.3,38,47,9,8.7,159,277,118,51.4,36,50,14,9.3,114,215,101,39.9,-45,-62,-17,-11.5,-2,3,5,0.6,-47,-59,-12,-10.9,70.6,74.7,66
naklo,2022,16644.18,12284.66,672.4,2856.18,830.95,,,,,101.5,113,87.5,24.5,29.2,18.8,75.5,70.8,81.2,-20,69,55,104,19.1,34,37,3,6.8,133,259,126,47.5,69,92,23,16.9,157,328,171,60.1,24,69,45,12.6,35,55,20,10.1,59,124,65,22.7,72.8,77,68
naklo,2023,18562.91,13884.49,747.01,3016.95,914.47,,,,,101.7,114.1,87.2,24.4,29.1,18.9,75.6,70.9,81.1,-7,-25,9,-23,-4.2,40,53,13,9.7,151,280,129,51,44,62,18,11.3,137,255,118,46.5,-14,-25,-11,-4.6,4,9,5,1.6,-10,-16,-6,-2.9,72.6,76.1,68.8
nazarje,2014,9744.38,7057.34,665.2,1795.95,225.89,706,2224,323,1195,192.7,171.9,220.9,44,43.1,45.1,56,56.9,54.9,6,-15,14,5,1.9,9,11,2,4.3,73,140,67,54.4,22,25,3,9.7,66,125,59,48.6,-7,-15,-8,-5.8,13,14,1,5.4,6,-1,-7,-0.4,61.9,67.9,55.1
nazarje,2015,9868.0,7261.33,665.45,1768.38,172.84,674,2220,345,1201,183,162.4,210.5,40.5,40,41,59.5,60,59,0,-7,11,4,1.6,14,16,2,6.3,81,157,76,61.5,23,27,4,10.6,62,150,88,58.7,-19,-7,12,-2.7,9,11,2,4.3,-10,4,14,1.6,61.7,67.7,54.8
nazarje,2016,10074.81,7446.82,657.92,1833.12,136.95,653,2221,357,1211,173.2,154.1,199.2,40.3,40.3,40.2,59.7,59.7,59.8,6,-20,14,0,0,8,10,2,3.9,89,161,72,62.2,21,24,3,9.3,70,141,71,54.5,-19,-20,-1,-7.7,13,14,1,5.4,-6,-6,0,-2.3,63.5,69.6,56.7
nazarje,2017,10513.61,7901.04,621.97,1822.9,167.7,629,2216,381,1206,181.3,161.7,206.9,39.5,40.1,38.8,60.5,59.9,61.2,1,-15,21,7,2.7,12,21,9,8.1,80,148,68,57,37,42,5,16.2,63,133,70,51.2,-17,-15,2,-5.8,25,21,-4,8.1,8,6,-2,2.3,66.5,72.3,59.9
nazarje,2018,10981.67,8232.0,695.79,1907.18,146.7,598,2214,405,1211,193.4,177.6,212.9,44.5,45.4,43.3,55.5,54.6,56.7,14,-8,28,34,13.1,9,11,2,4.2,84,149,65,57.3,31,39,8,15,62,141,79,54.2,-22,-8,14,-3.1,22,28,6,10.8,0,20,20,7.7,66,71.1,60.4
nazarje,2019,11730.24,8773.35,z,1977.24,z,588,2236,420,1228,196.2,182,213.2,45.3,46.8,43.5,54.7,53.2,56.5,8,-12,21,17,6.5,9,10,1,3.8,64,125,61,47.9,29,31,2,11.9,56,113,57,43.3,-8,-12,-4,-4.6,20,21,1,8.1,12,9,-3,3.5,66.9,70.8,62.5
