regija,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Employment rate,Employment rate for men,Employment rate for women,Natural increase,Net migration between statistical regions,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women
gorenjska,2008,,,,,,62.4,68.1,56.5,606.0,-539.0,1663.0,1730.0,8.6,542.0,806.0,264.0,4.0,17.6,1772.0,3535.0,1763.0,1846.0,2469.0,623.0,12.3,14.9,1477.0,2996.0,1519.0,-295.0,-539.0,-244.0,-2.7,1304.0,1663.0,359.0,8.3,1009.0,1124.0,115.0,5.6,,,,,,,,,
gorenjska,2009,,,,,,61.1,66.7,55.4,631.0,-509.0,794.0,916.0,4.5,1103.0,1449.0,346.0,7.2,16.6,1774.0,3353.0,1579.0,1645.0,2243.0,598.0,11.1,14.0,1521.0,2844.0,1323.0,-253.0,-509.0,-256.0,-2.5,542.0,794.0,252.0,3.9,289.0,285.0,-4.0,1.4,84.7,86.0,83.1,75.1,75.3,74.8,24.9,24.7,25.2
gorenjska,2010,,,,,,60.0,65.0,54.8,707.0,-310.0,130.0,527.0,2.6,922.0,1292.0,370.0,6.4,17.5,1832.0,3561.0,1729.0,904.0,1422.0,518.0,7.0,16.0,1734.0,3251.0,1517.0,-98.0,-310.0,-212.0,-1.5,-18.0,130.0,148.0,0.6,-116.0,-180.0,-64.0,-0.9,84.9,86.1,83.3,74.2,74.6,73.7,25.8,25.4,26.3
gorenjska,2011,,,,,,59.4,64.0,54.5,658.0,-246.0,230.0,642.0,3.2,719.0,1082.0,363.0,5.3,17.9,1942.0,3642.0,1700.0,767.0,1312.0,545.0,6.4,16.7,1905.0,3396.0,1491.0,-37.0,-246.0,-209.0,-1.2,48.0,230.0,182.0,1.1,11.0,-16.0,-27.0,-0.1,84.2,85.5,82.6,73.6,74.1,73.1,26.4,25.9,26.9
gorenjska,2012,,,,,,59.2,63.6,54.7,585.0,-648.0,-18.0,-81.0,-0.4,758.0,1248.0,490.0,6.1,19.3,2055.0,3939.0,1884.0,695.0,1230.0,535.0,6.0,16.1,1758.0,3291.0,1533.0,-297.0,-648.0,-351.0,-3.2,-63.0,-18.0,45.0,-0.1,-360.0,-666.0,-306.0,-3.3,83.6,85.5,81.3,73.2,73.8,72.5,26.8,26.2,27.5
gorenjska,2013,,,,,,58.8,62.7,54.7,502.0,-400.0,-181.0,-79.0,-0.4,746.0,1274.0,528.0,6.2,19.0,1940.0,3877.0,1937.0,633.0,1093.0,460.0,5.4,17.1,1807.0,3477.0,1670.0,-133.0,-400.0,-267.0,-2.0,-113.0,-181.0,-68.0,-0.9,-246.0,-581.0,-335.0,-2.8,83.9,86.1,81.4,73.2,73.9,72.5,26.8,26.1,27.5
gorenjska,2014,11193.66,8071.49,534.7,2134.57,452.91,59.9,64.1,55.5,419.0,-248.0,-229.0,-58.0,-0.3,767.0,1349.0,582.0,6.6,19.3,2010.0,3929.0,1919.0,641.0,1120.0,479.0,5.5,18.1,1889.0,3681.0,1792.0,-121.0,-248.0,-127.0,-1.2,-126.0,-229.0,-103.0,-1.1,-247.0,-477.0,-230.0,-2.3,83.9,86.6,80.8,72.9,73.8,71.8,27.1,26.2,28.2
gorenjska,2015,11350.55,8269.45,534.7,2144.71,401.69,61.2,65.2,57.1,385.0,-246.0,-157.0,-18.0,-0.1,841.0,1434.0,593.0,7.0,18.7,1910.0,3813.0,1903.0,746.0,1277.0,531.0,6.3,17.5,1777.0,3567.0,1790.0,-133.0,-246.0,-113.0,-1.2,-95.0,-157.0,-62.0,-0.8,-228.0,-403.0,-175.0,-2.0,84.0,87.0,80.4,72.8,74.1,71.4,27.2,25.9,28.6
gorenjska,2016,11727.95,8632.48,538.59,2177.32,379.55,63.0,66.5,59.3,334.0,-119.0,-245.0,-30.0,-0.1,872.0,1543.0,671.0,7.6,17.8,1840.0,3626.0,1786.0,771.0,1298.0,527.0,6.4,17.2,1779.0,3507.0,1728.0,-61.0,-119.0,-58.0,-0.6,-101.0,-245.0,-144.0,-1.2,-162.0,-364.0,-202.0,-1.8,83.9,87.4,79.8,72.3,73.9,70.5,27.7,26.1,29.5
gorenjska,2017,12244.31,9080.7,548.87,2211.94,402.81,65.6,69.2,61.7,136.0,-258.0,-30.0,-152.0,-0.7,857.0,1509.0,652.0,7.4,18.4,1911.0,3740.0,1829.0,939.0,1479.0,540.0,7.3,17.1,1736.0,3482.0,1746.0,-175.0,-258.0,-83.0,-1.3,82.0,-30.0,-112.0,-0.1,-93.0,-288.0,-195.0,-1.4,84.7,88.8,79.9,72.5,74.4,70.3,27.5,25.6,29.7
gorenjska,2018,12967.19,9616.76,567.11,2277.95,505.38,68.0,71.8,64.0,150.0,-411.0,1296.0,1035.0,5.1,863.0,1377.0,514.0,6.8,16.6,1768.0,3382.0,1614.0,1886.0,2673.0,787.0,13.1,14.6,1582.0,2971.0,1389.0,-186.0,-411.0,-225.0,-2.0,1023.0,1296.0,273.0,6.4,837.0,885.0,48.0,4.3,85.9,90.5,80.5,72.9,74.9,70.5,27.1,25.1,29.5
